Instituição financeira;Código;TCB;SR;TD;TC;Cidade;UF;Data;Captações;;;;;;;;;;;;;;;;Instrumentos Derivativos (f);Outras Obrigações (g);Passivo Circulante e Exigível a Longo Prazo (h) = (e) + (f) + (g);Resultados de Exercícios Futuros (i);Patrimônio Líquido (j);Passivo Total (k) = (h) + (i) + (j)
;;;;;;;;;Depósito Total;;;;;;;Obrigações por Operações Compromissadas (b);Recursos de Aceites e Emissão de Títulos;;;;;;Obrigações por Empréstimos e Repasses (d);Captações (e) = (a) + (b) + (c) + (d);;;;;;
;;;;;;;;;Depósitos à Vista (a1);Depósitos de Poupança (a2);Depósitos Interfinanceiros (a3);Depósitos a Prazo (a4);Conta de Pagamento Pré-Paga (a5);Depósitos Outros (a6);Depósito Total (a);;Letras de Crédito Imobiliário (c1);Letras de Crédito do Agronegócio (c2);Letras Financeiras (c3);Obrigações por Títulos e Valores Mobiliários no Exterior (c4);Outros Recursos de Aceites e Emissão de Títulos (c5);Recursos de Aceites e Emissão de Títulos (c);;;;;;;;
COOPERATIVA CENTRAL DE CRÉDITO DO ESTADO DE SÃO PAULO - SICOOB SÃO PAULO;63917579;b3C;S4;I;2;RIBEIRAO PRETO;SP;44440;0;0;0;427715;0;0;427715;0;0;0;0;0;0;0;0;427715;0;9721170;10148885;0;288702;10437587
GM - PRUDENCIAL;1000080848;b2;S3;I;3;SAO PAULO;SP;44440;0;0;10150;2159232;0;0;2169382;0;0;0;2939043;0;0;2939043;0;5108425;0;2172896;7281321;50928;2802152;10134401
COOPERATIVA CENTRAL DE CRÉDITO, POUPANÇA E INVESTIMENTO DO SUL E SUDESTE - CENTRAL SICREDI SUL/SUDESTE;87437687;b3C;S3;I;2;PORTO ALEGRE;RS;44440;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9496144;9496144;0;590874;10087018
COOPERATIVA CENTRAL DE CRÉDITO DE SANTA CATARINA E RIO GRANDE DO SUL - SICOOB CENTRAL SC/RS;80160260;b3C;S3;I;2;FLORIANOPOLIS;SC;44440;118676;0;0;1587596;0;774;1707046;0;0;0;0;0;0;0;4211;1711257;0;7349769;9061026;0;578714;9639741
JOHN DEERE - PRUDENCIAL;1000080343;b1;S3;I;3;INDAIATUBA;SP;44440;176016;0;31266;483809;0;0;691091;0;0;0;1007454;0;0;1007454;6069405;7767950;0;162725;7930675;5003;1690043;9625722
SOFISA - PRUDENCIAL;1000080271;b1;S4;I;2;SAO PAULO;SP;44440;371838;0;41263;4401648;0;0;4814750;61523;274583;509656;1062110;71517;0;1917865;1093895;7888034;2363;526610;8417006;248;927189;9344443
PARANÁ BANCO - PRUDENCIAL;1000080233;b1;S4;I;2;CURITIBA;PR;44440;6928;0;50317;4623856;0;0;4681102;90750;5895;0;2723812;0;0;2729708;0;7501560;0;297817;7799377;0;1359522;9158899
COOPERATIVA DE CREDITO CREDICITRUS;54037916;b3S;S4;I;2;BEBEDOURO;SP;44440;1625145;0;0;3149708;0;3991;4778844;0;53538;1641110;0;0;0;1694648;1071;6474563;0;716136;7190699;0;1911218;9101917
BCO SUMITOMO MITSUI BRASIL S.A. - PRUDENCIAL;1000081720;b1;S3;I;3;SAO PAULO;SP;44440;149067;0;0;1713578;0;0;1862645;0;0;0;0;0;0;0;4252814;6115459;107873;900057;7123389;1766;1922158;9047313
ING - PRUDENCIAL;1000080501;b1;S3;I;3;SAO PAULO;SP;44440;0;0;0;51638;0;0;51638;0;0;0;0;0;0;0;1767686;1819324;57378;6255968;8132670;308;844960;8977939
COOPERATIVA DE CREDITO VALE DO ITAJAI - VIACREDI;82639451;b3S;S4;I;2;BLUMENAU;SC;44440;1533339;2574;122263;4794475;0;25283;6477934;0;0;0;0;0;0;0;2165;6480099;0;529946;7010045;0;1949647;8959692
BANCO MASTER - PRUDENCIAL;1000080367;b1;S4;I;2;RIO DE JANEIRO;RJ;44440;113506;0;0;6550426;135;0;6664067;404375;251289;0;21629;0;0;272918;0;7341361;602;636751;7978714;0;514799;8493513
BCO DES. DE MG S.A. - PRUDENCIAL;1000081328;b4;S3;I;1;BELO HORIZONTE;MG;44440;0;0;475207;259995;0;0;735203;0;0;576094;0;0;0;576094;4194320;5505616;41111;795399;6342127;17303;2121810;8481239
BCO TOYOTA DO BRASIL S.A. - PRUDENCIAL;1000081562;b2;S3;I;3;SAO PAULO;SP;44440;0;0;620165;374680;0;0;994845;15999;0;0;2520316;0;0;2520316;2738963;6270123;60986;764816;7095925;19373;1238444;8353742
