Instituição financeira;Código;TCB;SR;TD;TC;Cidade;UF;Data;Resultado de Intermediação Financeira;;;;;;;;;;;;;;Outras Receitas/Despesas Operacionais;;;;;;;;;Resultado Operacional (e) = (c) + (d);Resultado Não Operacional (f);Resultado antes da Tributação, Lucro e Participação (g) = (e) + (f);Imposto de Renda e Contribuição Social (h);Participação nos Lucros (i);Lucro Líquido (j) = (g) + (h) + (i);Juros Sobre Capital Social de Cooperativas (k)
;;;;;;;;;Receitas de Intermediação Financeira;;;;;;;Despesas de Intermediação Financeira;;;;;;Resultado de Intermediação Financeira (c) = (a) + (b);Rendas de Prestação de Serviços (d1);Rendas de Tarifas Bancárias (d2);Despesas de Pessoal (d3);Despesas Administrativas (d4);Despesas Tributárias (d5);Resultado de Participações (d6);Outras Receitas Operacionais (d7);Outras Despesas Operacionais (d8);Outras Receitas/Despesas  Operacionais (d) = (d1) + (d2) + (d3) + (d4) + (d5) + (d6) + (d7) + (d8);;;;;;;
;;;;;;;;;Rendas de Operações de Crédito (a1);Rendas de Operações de Arrendamento Mercantil (a2);Rendas de Operações com TVM (a3);Rendas de Operações com Instrumentos Financeiros Derivativos (a4);Resultado de Operações de Câmbio (a5);Rendas de Aplicações Compulsórias (a6);Receitas de Intermediação Financeira (a) = (a1) + (a2) + (a3) + (a4) + (a5) + (a6);Despesas de Captação (b1);Despesas de Obrigações por Empréstimos e Repasses (b2);Despesas de Operações de Arrendamento Mercantil (b3);Resultado de Operações de Câmbio (b4);Resultado de Provisão para Créditos de Difícil Liquidação (b5);Despesas de Intermediação Financeira (b) = (b1) + (b2) + (b3) + (b4) + (b5);;;;;;;;;;;;;;;;;
ORIGINAL;1000080903;b1;S3;C;2;SAO PAULO;SP;44075;438717;0;33141;-6168;1701;0;467391;-100389;-146186;0;0;-3786;-250361;217031;125088;10065;-134672;-208632;-28451;-5660;147175;-158699;-253786;-36755;-493;-37248;-13639;-9527;-60413;0
OMNI - PRUDENCIAL;1000080460;b1;S4;C;2;SAO PAULO;SP;44075;427357;3006;5195;-84;0;0;435473;-40048;-1919;-1632;0;-68901;-112500;322973;28777;18682;-18806;-124568;-14063;8510;13646;-216464;-304285;18688;-8;18680;10077;0;28756;0
CCB - PRUDENCIAL;1000080295;b1;S3;C;3;SAO PAULO;SP;44075;281290;9489;34100;32518;66229;2;423629;-107956;-214516;-7690;0;-160890;-491052;-67423;16349;3067;-44609;-17607;-5399;-111;40081;-25690;-33919;-101343;2397;-98946;65148;0;-33798;0
MORGAN STANLEY - PRUDENCIAL;1000080628;b1;S3;C;3;SAO PAULO;SP;44075;3594;0;96915;320891;0;0;421400;-103745;-13103;0;-466;0;-117314;304086;135552;0;-122144;-62226;-22584;0;5225;-191232;-257410;46677;0;46677;-18248;0;28429;0
HAITONG - PRUDENCIAL;1000080666;b2;S3;C;3;SAO PAULO;SP;44075;10630;0;367506;27883;13973;0;419992;-389587;-3086;0;0;136;-392537;27456;3005;0;-11672;-7168;-1882;0;919;-8768;-25566;1889;-605;1284;2439;-709;3013;0
ING - PRUDENCIAL;1000080501;b1;S3;C;3;SAO PAULO;SP;44075;11391;0;66799;37912;296592;0;412695;-13234;-338183;0;0;-62253;-413669;-975;18031;0;-15345;-16250;-4753;0;4372;-27227;-41172;-42147;0;-42147;19083;-696;-23760;0
ALFA - PRUDENCIAL;1000080570;b1;S3;C;2;SAO PAULO;SP;44075;247468;39526;65514;36949;0;0;389458;-77454;-49507;-33035;-7985;-11538;-179519;209938;19755;19182;-53968;-32936;-11572;1061;42410;-151166;-167235;42704;-47;42657;-11563;-3007;28087;0
BCO DO EST. DO PA S.A. - PRUDENCIAL;1000081586;b1;S3;I;1;BELEM;PA;44075;372444;0;12604;0;1021;1845;387915;-37457;-375;0;0;-35621;-73453;314462;4965;29386;-114855;-95794;-19320;0;9799;-9800;-195620;118843;642;119484;-59619;-10564;49302;0
GM - PRUDENCIAL;1000080848;b2;S3;C;3;SAO PAULO;SP;44075;347974;10070;11169;0;0;0;369213;-75342;0;-9333;0;-63299;-147974;221239;69961;17348;-37180;-148046;-20564;9016;17716;-13045;-104793;116446;2670;119115;-45806;-8637;64672;0
BCO TOYOTA DO BRASIL S.A. - PRUDENCIAL;1000081562;b2;S3;I;3;SAO PAULO;SP;44075;219374;4538;7379;130495;0;0;361787;-25510;-142424;-3371;0;1324;-169980;191806;0;11414;-16881;-50580;-9553;0;10244;-8893;-64249;127557;-3741;123816;-52807;-6821;64189;0
