Instituição financeira;Código;TCB;TD;TC;Cidade;UF;Data;Instituição Sujeita à Apuração da Exposição Total;Instituição Sujeita à Apuração do Patrimônio de Referência;Instituição Utiliza Metodologia Simplificada;Exposição Total ou Ativo Total (R$ mil);Total de Ativos Consolidados no Exterior (US$ mil);Data da Última Alteração de Segmento;SR
CENTRAL DAS COOPERATIVAS DE CREDITO UNICOOB - SICOOB CENTRAL UNICOOB;5036532;b3C;I;2;MARINGA;PR;44256;Sim;Sim;Não;2817861;NI;;S4
COOPERATIVA CENTRAL DE CRÉDITO - AILOS;5463212;b3C;I;2;BLUMENAU;SC;44256;Sim;Sim;Não;5309009;NI;;S4
CENTRAL COOPERATIVA DE CRÉDITO NO ESTADO DO ESPÍRITO SANTO - CECOOP;5790149;b3C;I;2;VITORIA;ES;44256;Sim;Sim;Não;5323;NI;;S4
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO DOS ESCRIVÃES, NOTÁRIOS E REGISTRADORES NO ESTADO DO PARANÁ - SICREDI CREDENOREG PR;6078926;b3S;I;2;CURITIBA;PR;44256;Sim;Sim;Não;63017;NI;;S4
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO DO CERRADO DE GOIÁS - SICREDI CERRADO GO;6332931;b3S;I;2;GOIANIA;GO;44256;Sim;Sim;Não;917329;NI;;S4
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO EMPREENDEDORES - SICREDI EMPREENDEDORES PR;7070495;b3S;I;2;CURITIBA;PR;44256;Sim;Sim;Não;134966;NI;;S4
COOPERATIVA CENTRAL DE CRÉDITO RURAL COM INTERAÇÃO SOLIDÁRIA - CRESOL CENTRAL SC/RS;7202627;b3C;I;2;CHAPECO;SC;44256;Sim;Sim;Não;1899698;NI;;S4
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO NOVOS HORIZONTES - SICREDI NOVOS HORIZONTES PR/SP;7206072;b3S;I;2;ARAPOTI;PR;44256;Sim;Sim;Não;871439;NI;;S4
COOPERATIVA CENTRAL DE CRÉDITO DA AGRICULTURA FAMILIAR E ECONOMIA SOLIDÁRIA - ASCOOB CENTRAL;10013534;b3C;I;2;SERRINHA;BA;44256;Sim;Sim;Não;77073;NI;;S4
COOPERATIVA DE CRÉDITO DO VALE DO ITAJAÍ E LITORAL CATARINENSE – SICREDI VALE LITORAL SC;10348181;b3S;I;2;ITAPEMA;SC;44256;Sim;Sim;Não;1501730;NI;;S4
CONFEDERAÇÃO NACIONAL DAS COOPERATIVAS CENTRAIS DE CRÉDITO E ECONOMIA FAMILIAR E SOLIDÁRIA – CRESOL CONFEDERAÇÃO;10398952;b3C;I;2;FLORIANOPOLIS;SC;44256;Sim;Sim;Não;878985;NI;;S4
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO DO PLANALTO CENTRAL - SICREDI PLANALTO CENTRAL;10736214;b3S;I;2;CRISTALINA;GO;44256;Sim;Sim;Não;1612711;NI;;S4
COOPERATIVA CENTRAL DE CRÉDITO DO RIO DE JANEIRO LTDA.;14568725;b3C;I;2;RIO DE JANEIRO;RJ;44256;Sim;Sim;Não;648790;NI;;S4
COOPERATIVA DE CRÉDITO POUPANÇA E INVESTIMENTO DOS ADVOGADOS DO ESTADO DO RIO GRANDE DO SUL - SICREDI COOABCRED RS;19962468;b3S;I;2;PORTO ALEGRE;RS;44256;Sim;Sim;Não;60072;NI;;S4
COOPERATIVA CENTRAL DE CREDITO RURAL COM INTERAÇÃO SOLIDÁRIA   CENTRAL CRESOL SICOPER;21198087;b3C;I;2;PASSO FUNDO;RS;44256;Sim;Sim;Não;1527113;NI;;S4
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO UNIÃO DOS ESTADOS DE MATO GROSSO DO SUL, TOCANTINS E OESTE DA BAHIA - SICREDI UNIÃO MS/TO;24654881;b3S;I;2;CAMPO GRANDE;MS;44256;Sim;Sim;Não;3000938;NI;;S4
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO ALTO RIO GRANDE MG - SICREDI CREDIGRANDE MG;25626490;b3S;I;2;LAVRAS;MG;44256;Sim;Sim;Não;64639;NI;;S4
COOPERATIVA CENTRAL DE CRÉDITO DE MINAS GERAIS LTDA. - SICOOB CENTRAL CREDIMINAS;25683434;b3C;I;2;BELO HORIZONTE;MG;44256;Sim;Sim;Não;9773179;NI;;S4
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO DO CENTRO SUL DO MATO GROSSO DO SUL – SICREDI CENTRO-SUL MS;26408161;b3S;I;2;DOURADOS;MS;44256;Sim;Sim;Não;3778388;NI;;S4
COOPERATIVA DE CRÉDITO POUPANÇA E INVESTIMENTO PANTANAL DO MATO GROSSO DO SUL - SICREDI PANTANAL MS;26408187;b3S;I;2;MARACAJU;MS;44256;Sim;Sim;Não;1183891;NI;;S4
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO OURO VERDE DO MATO GROSSO - SICREDI OURO VERDE MT;26529420;b3S;I;2;LUCAS DO RIO VERDE;MT;44256;Sim;Sim;Não;6124956;NI;;S4
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO DO SUL DE MATO GROSSO – SICREDI SUL MT;26549311;b3S;I;2;RONDONOPOLIS;MT;44256;Sim;Sim;Não;1505191;NI;;S4
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO SORRISO - SICREDI CELEIRO MT/RR;26555235;b3S;I;2;SORRISO;MT;44256;Sim;Sim;Não;3607650;NI;;S4
COOPERATIVA CENTRAL DE CREDITO DO ESPIRITO SANTO - SICOOB CENTRAL ES;32428294;b3C;I;2;VITORIA;ES;44256;Sim;Sim;Não;4108293;NI;;S4
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO VALE DO CERRADO - SICREDI VALE DO CERRADO;32983165;b3S;I;2;CAMPO VERDE;MT;44256;Sim;Sim;Não;3251288;NI;;S4
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO DO SUDOESTE MT/PA - SICREDI SUDOESTE MT/PA;32995755;b3S;I;2;TANGARA DA SERRA;MT;44256;Sim;Sim;Não;3796843;NI;;S4
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO DO ARAGUAIA E XINGU - SICREDI ARAXINGU;33021064;b3S;I;2;CANARANA;MT;44256;Sim;Sim;Não;3012101;NI;;S4
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO DO NOROESTE DE MATO GROSSO, ACRE E AMAZONAS - SICREDI BIOMAS;33022690;b3S;I;2;ARAPUTANGA;MT;44256;Sim;Sim;Não;1567409;NI;;S4
COOPERATIVA CENTRAL DE CRÉDITO DE GOIÁS LTDA;33416108;b3C;I;2;GOIANIA;GO;44256;Sim;Sim;Não;1509046;NI;;S4
COOPERATIVA CENTRAL DE CRÉDITO, POUPANÇA E INVESTIMENTO DO CENTRO NORTE DO BRASIL - CENTRAL SICREDI CENTRO NORTE;33667205;b3C;I;2;CUIABA;MT;44256;Sim;Sim;Não;3857373;NI;;S4
COOPERATIVA CENTRAL DE CRÉDITO, POUPANÇA E INVESTIMENTO DE MATO GROSSO DO SUL, GOIÁS, DISTRITO FEDERAL E TOCANTINS – CENTRAL SICREDI BRASIL CENTRAL;33737818;b3C;I;2;GOIANIA;GO;44256;Sim;Sim;Não;2309819;NI;;S4
COOPERATIVA CENTRAL DE CRÉDITO DA BAHIA LTDA – SICOOB CENTRAL BA;34148882;b3C;I;2;SALVADOR;BA;44256;Sim;Sim;Não;609208;NI;;S4
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO NORTE MATO-GROSSENSE E OESTE PARAENSE – SICREDI GRANDES RIOS MT/PA;37442605;b3S;I;2;COLIDER;MT;44256;Sim;Sim;Não;2976336;NI;;S4
COOPERATIVA DE CRÉDITO AGROCREDI LTDA. - SICOOB AGROCREDI;42873828;b3S;I;2;GUAXUPE;MG;44256;Sim;Sim;Não;1474849;NI;;S4
COOPECREDI GUARIBA - COOPERATIVA DE CREDITO;44469161;b3S;I;2;GUARIBA;SP;44256;Sim;Sim;Não;1200160;NI;;S4
COOPERATIVA DE CRÉDITO COOCRELIVRE;53935029;b3S;I;2;ORLANDIA;SP;44256;Sim;Sim;Não;451807;NI;;S4
COOPERATIVA DE CREDITO CREDICITRUS;54037916;b3S;I;2;BEBEDOURO;SP;44256;Sim;Sim;Não;8814129;NI;;S4
COOPERATIVA DE CRÉDITO COCRE;54401286;b3S;I;2;PIRACICABA;SP;44256;Sim;Sim;Não;957335;NI;;S4
