Instituição financeira;Código;TCB;SR;TD;TC;Cidade;UF;Data;Captações;;;;;;;;;;;;;;;;Instrumentos Derivativos (f);Outras Obrigações (g);Passivo Circulante e Exigível a Longo Prazo (h) = (e) + (f) + (g);Resultados de Exercícios Futuros (i);Patrimônio Líquido (j);Passivo Total (k) = (h) + (i) + (j)
;;;;;;;;;Depósito Total;;;;;;;Obrigações por Operações Compromissadas (b);Recursos de Aceites e Emissão de Títulos;;;;;;Obrigações por Empréstimos e Repasses (d);Captações (e) = (a) + (b) + (c) + (d);;;;;;
;;;;;;;;;Depósitos à Vista (a1);Depósitos de Poupança (a2);Depósitos Interfinanceiros (a3);Depósitos a Prazo (a4);Conta de Pagamento Pré-Paga (a5);Depósitos Outros (a6);Depósito Total (a);;Letras de Crédito Imobiliário (c1);Letras de Crédito do Agronegócio (c2);Letras Financeiras (c3);Obrigações por Títulos e Valores Mobiliários no Exterior (c4);Outros Recursos de Aceites e Emissão de Títulos (c5);Recursos de Aceites e Emissão de Títulos (c);;;;;;;;
BANCO CNH INDUSTRIAL CAPITAL S.A - PRUDENCIAL;1000081407;b2;S3;I;3;CURITIBA;PR;44256;0;0;150494;2148879;0;0;2299373;0;6785;412958;1064626;0;0;1484369;6576056;10359798;59871;211621;10631291;188308;1478876;12298475
BCO CSF S.A. - PRUDENCIAL;1000081610;b2;S3;I;3;SAO PAULO;SP;44256;9440;0;50828;5503;0;0;65771;0;0;0;1184824;0;0;1184824;0;1250595;0;7926776;9177371;0;2980482;12157853
BCO DO EST. DO PA S.A. - PRUDENCIAL;1000081586;b1;S3;I;1;BELEM;PA;44256;1183406;1367085;240211;7029768;0;0;9820470;35501;0;0;148999;0;0;148999;21550;10026520;0;371939;10398459;0;1543644;11942103
BOCOM - PRUDENCIAL;1000084624;b1;S3;C;3;SALVADOR;BA;44256;307793;0;620046;1293612;0;0;2221451;260525;60333;1394135;1651842;0;0;3106311;4169263;9757550;458593;738103;10954246;20169;754654;11729069
BCO CLASSICO S.A. - PRUDENCIAL;1000081665;b1;S3;C;2;RIO DE JANEIRO;RJ;44256;398;0;0;0;0;0;398;0;0;0;0;0;0;0;0;398;0;3346360;3346759;0;8049325;11396084
GM - PRUDENCIAL;1000080848;b2;S3;C;3;SAO PAULO;SP;44256;0;0;0;2407192;0;0;2407192;0;0;0;3602036;0;0;3602036;0;6009229;0;2304892;8314120;71126;2970074;11355321
MERCANTIL DO BRASIL - PRUDENCIAL;1000080123;b1;S3;C;2;BELO HORIZONTE;MG;44256;456481;231896;67840;7272974;0;5083;8034274;169896;5487;75351;4145;0;0;84982;0;8289152;0;1439697;9728848;288;1084514;10813650
PORTO SEGURO - PRUDENCIAL;1000080642;n1;S4;C;2;SAO PAULO;SP;44256;0;0;591992;214268;0;0;806260;0;0;0;1692055;0;0;1692055;0;2498316;0;6920143;9418459;0;1212969;10631428
APE POUPEX - PRUDENCIAL;1000081184;n1;S3;I;2;BRASILIA;DF;44256;0;0;85165;0;0;1633217;1718382;0;88174;0;0;0;0;88174;0;1806556;0;117525;1924081;0;8270056;10194137
JOHN DEERE - PRUDENCIAL;1000080343;b1;S3;I;3;INDAIATUBA;SP;44256;109249;0;30556;714131;0;0;853936;0;0;0;303268;0;0;303268;7328655;8485860;0;76366;8562226;6405;1570795;10139425
COOPERATIVA CENTRAL DE CRÉDITO DE MINAS GERAIS LTDA. - SICOOB CENTRAL CREDIMINAS;25683434;b3C;S4;I;2;BELO HORIZONTE;MG;44256;0;0;0;21003;0;0;21003;0;0;0;0;0;0;0;121239;142242;0;9231140;9373382;0;642989;10016370
BCO FIBRA S.A. - PRUDENCIAL;1000081483;b1;S3;C;2;SAO PAULO;SP;44256;133860;0;295386;5706201;0;0;6135448;234195;17551;337888;799812;0;0;1155251;166601;7691494;146630;854279;8692403;8802;1192100;9893305
PARANÁ BANCO - PRUDENCIAL;1000080233;b1;S4;C;2;CURITIBA;PR;44256;4225;0;87677;4322687;0;0;4414588;106374;8143;0;2978139;0;0;2986282;0;7507244;0;283105;7790348;0;1297624;9087972
