Instituição financeira;Código;TCB;SR;TD;TC;Cidade;UF;Data;Resultado de Intermediação Financeira;;;;;;;;;;;;;;Outras Receitas/Despesas Operacionais;;;;;;;;;Resultado Operacional (e) = (c) + (d);Resultado Não Operacional (f);Resultado antes da Tributação, Lucro e Participação (g) = (e) + (f);Imposto de Renda e Contribuição Social (h);Participação nos Lucros (i);Lucro Líquido (j) = (g) + (h) + (i);Juros Sobre Capital Social de Cooperativas (k)
;;;;;;;;;Receitas de Intermediação Financeira;;;;;;;Despesas de Intermediação Financeira;;;;;;Resultado de Intermediação Financeira (c) = (a) + (b);Rendas de Prestação de Serviços (d1);Rendas de Tarifas Bancárias (d2);Despesas de Pessoal (d3);Despesas Administrativas (d4);Despesas Tributárias (d5);Resultado de Participações (d6);Outras Receitas Operacionais (d7);Outras Despesas Operacionais (d8);Outras Receitas/Despesas  Operacionais (d) = (d1) + (d2) + (d3) + (d4) + (d5) + (d6) + (d7) + (d8);;;;;;;
;;;;;;;;;Rendas de Operações de Crédito (a1);Rendas de Operações de Arrendamento Mercantil (a2);Rendas de Operações com TVM (a3);Rendas de Operações com Instrumentos Financeiros Derivativos (a4);Resultado de Operações de Câmbio (a5);Rendas de Aplicações Compulsórias (a6);Receitas de Intermediação Financeira (a) = (a1) + (a2) + (a3) + (a4) + (a5) + (a6);Despesas de Captação (b1);Despesas de Obrigações por Empréstimos e Repasses (b2);Despesas de Operações de Arrendamento Mercantil (b3);Resultado de Operações de Câmbio (b4);Resultado de Provisão para Créditos de Difícil Liquidação (b5);Despesas de Intermediação Financeira (b) = (b1) + (b2) + (b3) + (b4) + (b5);;;;;;;;;;;;;;;;;
BOFA MERRILL LYNCH - PRUDENCIAL;1000080556;b1;S3;C;3;SAO PAULO;SP;43525;16422;0;185855;21454;197693;0;421425;-82639;-9720;0;0;-9;-92368;329057;193254;2982;-158799;-39210;-19772;0;12289;-200623;-209878;119178;0;119178;-48294;0;70884;0
BCO DO EST. DO PA S.A. - PRUDENCIAL;1000081586;b1;S3;I;1;BELEM;PA;43525;367529;0;29222;0;393;3636;400781;-70283;-57;0;0;-19146;-89485;311296;3075;24808;-119389;-87577;-17872;0;21352;-24912;-200515;110781;1247;112028;-37151;-8666;66211;0
BANCO IBM S.A. - PRUDENCIAL;1000081689;b2;S4;I;3;RIO DE JANEIRO;RJ;43525;13807;381276;5332;0;0;0;400415;-36363;0;-323734;0;25779;-334318;66097;0;0;0;-16749;-2215;0;663;-2779;-21081;45017;-1020;43996;-9931;0;34065;0
AGIBANK - PRUDENCIAL;1000083694;b1;S4;C;2;PORTO ALEGRE;RS;43525;385811;0;11602;-2;22;0;397433;-29484;0;0;0;-206956;-236440;160993;13795;7151;-21736;-140593;-18526;5901;334;-7978;-161653;-660;13;-647;8670;0;8023;0
OMNI - PRUDENCIAL;1000080460;b1;S4;C;2;SAO PAULO;SP;43525;375527;2863;5831;-2581;0;0;381640;-49997;0;-1322;0;-85234;-136554;245087;9693;14375;-12316;-116514;-12054;3615;14618;-136459;-235043;10044;38;10082;6813;0;16895;0
ALFA - PRUDENCIAL;1000080570;b1;S3;C;2;SAO PAULO;SP;43525;248615;45826;109317;-32483;10338;0;381613;-157668;-41168;-36696;0;-13996;-249529;132085;17907;9018;-53559;-34442;-10350;3208;34424;-47886;-81681;50404;283;50687;-17536;-2601;30550;0
MORGAN STANLEY - PRUDENCIAL;1000080628;b1;S3;C;3;SAO PAULO;SP;43525;4547;0;492045;-148683;15802;0;363710;-151344;-12168;0;0;-1262;-164774;198936;117917;0;-103082;-69390;-20622;0;2172;-54610;-127615;71321;0;71321;-28524;0;42798;0
BCO DA AMAZONIA S.A. - PRUDENCIAL;1000081249;b1;S3;I;1;BELEM;PA;43525;106388;0;230425;0;1240;0;338053;-51160;-126420;0;0;-117638;-295218;42835;162644;24057;-133695;-64230;-24913;0;178302;-208982;-66816;-23981;134;-23847;15117;0;-8730;0
BD REGIONAL DO EXTREMO SUL - PRUDENCIAL;1000081311;b4;S3;C;1;PORTO ALEGRE;RS;43525;264826;0;54939;0;0;0;319765;0;-157733;0;0;-6567;-164299;155466;11023;0;-42891;-11635;-7989;0;9401;-10646;-52736;102730;1964;104693;-40837;0;63857;0
XP INVESTIMENTOS CCTVM S/A - PRUDENCIAL;1000082475;n2;S4;I;2;RIO DE JANEIRO;RJ;43525;0;0;309424;-1818;1742;0;309349;-127886;-1098;0;0;-118;-129102;180247;356671;155226;-61055;-384596;-46791;0;47610;-8694;58370;238617;122;238739;-43365;-128700;66674;0
