Instituição financeira;Código;TCB;SR;TD;TC;Cidade;UF;Data;Disponibilidades (a);Aplicações Interfinanceiras de Liquidez (b);TVM e Instrumentos Financeiros Derivativos (c);Operações de Crédito;;;Arrendamento Mercantil;;;;;Outros Créditos - Líquido de Provisão (f);Outros Ativos Realizáveis (g);Permanente Ajustado (h);Ativo Total Ajustado (i) = (a) + (b) + (c) + (d) + (e) + (f) + (g) + (h);Credores por Antecipação de Valor Residual (j);Ativo Total (k) = (i) - (j)
;;;;;;;;;;;;Operações de Crédito (d1);Provisão sobre Operações de Crédito (d2);Operações de Crédito Líquidas de Provisão (d);Arrendamento Mercantil a Receber (e1);Imobilizado de Arrendamento (e2);Credores por Antecipação de Valor Residual (e3);Provisão sobre Arrendamento Mercantil (e4);Arrendamento Mercantil Líquido de Provisão (e);;;;;;
MIZUHO - PRUDENCIAL;1000080697;b1;;C;3;SAO PAULO;SP;41791;3562;157160;762444;287182;-473;286709;0;0;0;0;0;496892;868;4092;1711726;0;1711726
INTERMEDIUM - PRUDENCIAL;1000080996;b1;;C;2;BELO HORIZONTE;MG;41791;9770;177757;177124;1254212;-41859;1212353;0;0;0;0;0;34733;63445;11182;1686364;0;1686364
CAIXA GERAL - PRUDENCIAL;1000080927;b1;;C;3;SAO PAULO;SP;41791;50621;378187;370724;640223;-6230;633993;0;0;0;0;0;117302;5602;43481;1599909;0;1599909
BCO MODAL S.A. - PRUDENCIAL;1000081658;b1;;I;2;RIO DE JANEIRO;RJ;41791;10937;64670;771649;455540;-5645;449895;0;0;0;0;0;168714;93216;21596;1580676;0;1580676
RENASCENCA DTVM LTDA - PRUDENCIAL;1000084105;n2;;I;2;SAO PAULO;SP;41791;56;1515941;50552;0;0;0;0;0;0;0;0;6892;67;1216;1574724;0;1574724
CREDICOAMO CREDITO RURAL COOPERATIVA;81723108;b3S;;I;2;CAMPO MOURAO;PR;41791;3237;630766;157375;771212;-14269;756943;0;0;0;0;0;5582;2219;113;1556234;0;1556234
BCO DES. DO ES S.A. - PRUDENCIAL;1000081304;b4;;I;1;VITORIA;ES;41791;516;329681;214216;972099;-46514;925584;0;0;0;0;0;51657;3077;22077;1546808;0;1546808
COOPERATIVA CENTRAL DE CRÉDITO RURAL COM INTERAÇÃO SOLIDÁRIA - CENTRAL CRESOL BASER;1401771;b3C;;I;2;FRANCISCO BELTRAO;PR;41791;224;10351;464216;14284;-152;14132;0;0;0;0;0;6003;999582;9766;1504274;0;1504274
FATOR - PRUDENCIAL;1000080350;b1;;C;2;SAO PAULO;SP;41791;639;74350;990714;120895;-3670;117226;0;0;0;0;0;145770;1159;155153;1485011;0;1485011
BCO FORD S.A. - PRUDENCIAL;1000081782;b2;;I;3;SAO PAULO;SP;41791;1381;130075;0;1316455;-20237;1296218;0;0;0;0;0;30991;0;0;1458665;0;1458665
