Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total da Carteira de Pessoa Jurídica;Micro;Pequena;Média;Grande;Total não Individualizado Pessoa Jurídica;Total Exterior Pessoa Jurídica
UNICRED JOÃO PESSOA - COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS DE JOÃO PESSOA LTDA.;35571249;b3S;I;2;;9;JOAO PESSOA;PB;01/12/2013;220539;39538;42705;81322;56955;19;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO VANGUARDA DA REGIÃO DAS CATARATAS DO IGUAÇU E VALE DO PARAIBA - SICREDI VANGUARDA PR/SP;78414067;b3S;I;2;;9;MEDIANEIRA;PR;01/12/2013;216840;64580;60177;61819;30111;152;0
UNIPRIME NORTE DO PARANA - COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS MÉDICOS, PROFISSIONAIS DAS CIÊNCIAS E DAS ARTES E EMPRESÁRIOS LTDA.;2398976;b3S;I;2;;9;LONDRINA;PR;01/12/2013;210000;28086;58987;122001;896;30;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO SUL-SERRANA DO ESPÍRITO SANTO;815319;b3S;I;2;;9;VENDA NOVA DO IMIGRANTE;ES;01/12/2013;208178;66908;22015;46084;73107;64;0
CSILATINA ARRENDAMENTO MERCANTIL S.A.;5883884;n1;I;3;;19;BARUERI;SP;01/12/2013;204544;759;4552;83342;115888;3;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO SUL DO ESPÍRITO SANTO - SICOOB SUL;32467086;b3S;I;2;;9;CACHOEIRO DE ITAPEMIRIM;ES;01/12/2013;203406;91455;13359;53812;44729;52;0
COOPERATIVA CENTRAL DE CRÉDITO DO RIO GRANDE DO SUL E SANTA CATARINA - CENTRAL SICREDI SUL;87437687;b3C;I;2;;9;PORTO ALEGRE;RS;01/12/2013;201689;201689;0;0;0;0;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS DE CARLOS BARBOSA - SICREDI SERRANA RS;90608712;b3S;I;2;;9;CARLOS BARBOSA;RS;01/12/2013;201224;54895;64995;61110;20144;81;0
COOPERATIVA DE CRÉDITO DOS MÉDICOS, OUTROS PROFISSIONAIS DA SAÚDE E EMPRESÁRIOS DE MATO GROSSO.;36900256;b3S;I;2;;9;CUIABA;MT;01/12/2013;191949;8275;33798;132839;17024;13;0
COOPERATIVA DE CRÉDITO MAXI ALFA DE LIVRE ADMISSÃO DE ASSOCIADOS - SICOOB MAXICRÉDITO;78825270;b3S;I;2;;9;CHAPECO;SC;01/12/2013;182958;75844;28720;18890;59454;51;0
COOPERATIVA DE ECONOMIA E CREDITO MUTUO DOS MEDICOS DO RIO DE JANEIRO - UNICRED-RIO LTDA.;72128440;b3S;I;2;;9;RIO DE JANEIRO;RJ;01/12/2013;175974;15518;9127;143058;8269;2;0
SICOOB CREDICOM - COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS MÉDICOS E PROFISSIONAIS DA ÁREA DE SAÚDE DE BELO HORIZONTE E CIDADES PÓLO DE MINAS GERAIS LTDA.;42898825;b3S;I;2;;9;BELO HORIZONTE;MG;01/12/2013;173566;13020;1529;5;158993;19;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS SERRO AZUL - SICREDI UNIÃO RS;88894548;b3S;I;2;;9;CERRO LARGO;RS;01/12/2013;169044;41900;43967;49994;33091;92;0
COOPERATIVA DE CREDITO VALE DO ITAJAI - VIACREDI;82639451;b3S;I;2;;9;BLUMENAU;SC;01/12/2013;168598;73787;75426;19130;0;255;0
BANCO KEB DO BRASIL S.A.;2318507;b1;I;3;;2;SAO PAULO;SP;01/12/2013;165144;33667;0;87604;43873;0;0
COOPERATIVA DE CRÉDITO DOS MÉDICOS, PROFISSIONAIS DA SAÚDE, CONTABILISTAS, PROFESSORES E EMPRESÁRIOS DO LITORAL E NORTE CATARINENSE LTDA;74114042;b3S;I;2;;9;ITAJAI;SC;01/12/2013;158376;14176;35097;109069;0;34;0
CARUANA S.A. - SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO;9313766;n1;I;2;;14;SAO PAULO;SP;01/12/2013;156596;0;145863;6799;3934;0;0
NOVO BANCO CONTINENTAL S.A. - BANCO MÚLTIPLO;74828799;b1;I;3;;8;PORTO ALEGRE;RS;01/12/2013;149374;5979;12649;95322;35423;0;0
ASSOCIACAO DE POUPANCA E EMPRESTIMO - POUPEX;655522;n1;I;2;;25;BRASILIA;DF;01/12/2013;148053;4091;2210;131707;10045;0;0
PORTO SEGURO;51444;n1;C;2;;197;SAO PAULO;SP;01/12/2013;147742;134689;12871;161;0;21;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS DA REGIÃO CENTRO DO RGS - SICREDI REGIÃO CENTRO;95594941;b3S;I;2;;9;SANTA MARIA;RS;01/12/2013;144318;26939;24098;45377;47827;77;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS SÃO MIGUEL DO OESTE - SICOOB SÃO MIGUEL SC;81607046;b3S;I;2;;9;SAO MIGUEL D'OESTE;SC;01/12/2013;143497;65506;29329;23765;24867;30;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS DOS VALES DO ITAJAÍ E ITAPOCÚ E DO LITORAL NORTE DE SANTA CATARINA - SICOOB BLUCREDI SC;3960819;b3S;I;2;;9;BLUMENAU;SC;01/12/2013;141844;59643;21546;27533;33088;34;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE GOIÂNIA E REGIÃO LTDA;4388688;b3S;I;2;;9;GOIANIA;GO;01/12/2013;140105;11703;6009;29174;93212;6;0
