Instituição financeira;Código;TCB;SR;TD;TC;Cidade;UF;Data;a1;a2;a3;a4;a5;a6;a;b1;b2;b3;b4;b5;b;c;d1;d2;d3;d4;d5;d6;d7;d8;d;e;f;g;h;i;j;k
COOPERATIVA DE ECONOMIA E CREDITO MUTUO DOS SERVIDORES MUNICIPAIS DO SUL FLUMINENSE LTDA.;1819799;b3S;;I;2;VOLTA REDONDA;RJ;01/06/2016;339;0;8;0;0;0;347;0;0;0;0;-32;-32;315;0;0;-81;-146;1;0;3;-3;-228;87;1;88;-3;0;86;-49
COOPERATIVA DE CRÉDITO MÚTUO DOS SERVIDORES MUNICIPAIS DE BEBEDOURO - COOCRESB.;5969937;b3S;;I;2;BEBEDOURO;SP;01/06/2016;330;0;14;0;0;0;344;-25;-41;0;0;-16;-82;262;0;0;-64;-133;0;0;18;-3;-181;80;0;80;0;0;80;0
COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS EMPRESÁRIOS DA REGIÃO METROPOLITANA DE JOÃO PESSOA E LITORAL DA PARAÍBA - SICOOB LITORAL PARAIBANO;23295315;b3S;;I;2;JOAO PESSOA;PB;01/06/2016;253;0;89;0;0;0;342;-51;0;0;0;-62;-113;229;28;45;-215;-241;-2;0;137;-7;-256;-27;0;-26;0;0;-27;0
COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS EMPREGADOS DA ALCATEL-LUCENT BRASIL;62781232;b3S;;I;2;SAO PAULO;SP;01/06/2016;238;0;104;0;0;0;342;1;0;0;0;0;0;342;0;0;-135;-62;1;0;11;-2;-189;153;2;155;1;0;154;0
COOPERATIVA DE ECONOMIA E CREDITO MUTUO DOS EMPREGADOS DOS LABORATORIOS B.BRAUN LTDA;30586895;b3S;;I;2;SAO GONCALO;RJ;01/06/2016;321;0;19;0;0;0;341;0;0;0;0;0;0;341;0;0;-29;-116;0;0;0;0;-145;196;0;196;0;0;196;-143
COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS FUNCIONÁRIOS DA ASSEMBLÉIA LEGISLATIVA DO ESTADO DA PARAÍBA LTDA. -  COOPERLEGIS;41146382;b3S;;I;2;JOAO PESSOA;PB;01/06/2016;341;0;0;0;0;0;341;0;0;0;0;-15;-15;326;0;0;-186;-63;0;0;0;0;-250;76;0;76;0;0;76;0
COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS PEQUENOS EMPRESÁRIOS, MICROEMPRESÁRIOS E MICROEMPREENDEDORES DA REGIÃO METROPOLITANA DE PORTO ALEGRE - COOPESA;6975532;b3S;;I;2;PORTO ALEGRE;RS;01/06/2016;329;0;10;0;0;0;339;-34;-39;0;0;-399;-472;-133;56;4;-218;-362;0;0;4;-6;-522;-655;-26;-681;-5;0;-686;0
HSCM - SOCIEDADE DE CRÉDITO AO MICROEMPREENDEDOR E À EMPRESA DE PEQUENO PORTE LTDA.;7693858;n1;;I;2;IBIA;MG;01/06/2016;322;0;12;0;0;0;334;0;0;0;0;-56;-56;278;0;29;-27;-53;-17;0;0;-8;-76;202;0;202;-62;0;140;0
COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS SERVIDORES ESTADUAIS DO PODER EXECUTIVO DO ESTADO DO ACRE EM RIO BRANCO - CBCRED-ACRE;3232959;b3S;;I;2;RIO BRANCO;AC;01/06/2016;317;0;14;0;0;0;331;-112;0;0;0;-22;-134;197;48;2;-204;-114;-2;0;151;-1;-119;77;0;77;1;0;76;0
GDC PARTNERS SERVIÇOS FIDUCIÁRIOS DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.;10749264;n2;;I;2;RIO DE JANEIRO;RJ;01/06/2016;0;0;326;0;0;0;326;0;0;0;0;0;0;326;1672;0;-95;-560;-173;0;0;0;843;1169;0;1169;-514;0;655;0
