Instituição financeira;Código;TCB;SR;TD;TC;Cidade;UF;Data;Captações;;;;;;;;;;;;;;;Instrumentos Derivativos (f);Outras Obrigações (g);Passivo Circulante e Exigível a Longo Prazo (h) = (e) + (f) + (g);Resultados de Exercícios Futuros (i);Patrimônio Líquido (j);Passivo Total (k) = (h) + (i) + (j)
;;;;;;;;;Depósito Total;;;;;;Obrigações por Operações Compromissadas (b);Recursos de Aceites e Emissão de Títulos;;;;;;Obrigações por Empréstimos e Repasses (d);Captações (e) = (a) + (b) + (c) + (d);;;;;;
;;;;;;;;;Depósitos à Vista (a1);Depósitos de Poupança (a2);Depósitos Interfinanceiros (a3);Depósitos a Prazo (a4);Outros Depósitos (a5);Depósito Total (a);;Letras de Crédito Imobiliário (c1);Letras de Crédito do Agronegócio (c2);Letras Financeiras (c3);Obrigações por Títulos e Valores Mobiliários no Exterior (c4);Outros Recursos de Aceites e Emissão de Títulos (c5);Recursos de Aceites e Emissão de Títulos (c);;;;;;;;
BCO DES. DE MG S.A. - PRUDENCIAL;1000081328;b4;S3;I;1;BELO HORIZONTE;MG;43617;424;0;31747;90859;0;123030;0;0;248312;86687;0;0;334999;3356197;3814226;922;725232;4540380;11728;1741986;6294093
PARANÁ BANCO - PRUDENCIAL;1000080233;b1;S4;C;2;CURITIBA;PR;43617;4982;0;112963;1907846;0;2025790;29695;22319;0;2385114;0;0;2407434;3149;4466067;0;325206;4791273;0;1448023;6239296
COOPERATIVA DE CREDITO CREDICITRUS;54037916;b3S;S4;I;2;BEBEDOURO;SP;43617;615060;0;0;1743537;21270;2379867;0;0;1082951;0;0;0;1082951;1346;3464164;0;916531;4380695;0;1591903;5972598
SOFISA - PRUDENCIAL;1000080271;b1;S4;C;2;SAO PAULO;SP;43617;189935;0;33094;2855019;0;3078048;56167;273561;231457;1277882;24666;0;1807566;43783;4985565;0;252487;5238052;458;713874;5952383
CREFISA S.A. CFI - PRUDENCIAL;1000083632;b1;S4;C;2;SAO PAULO;SP;43617;20385;0;0;854;9246;30486;0;0;0;0;0;0;0;692;31178;0;467846;499023;1008;5407719;5907751
BCO DE LAGE LANDEN BRASIL S.A. - PRUDENCIAL;1000081421;b2;S4;I;3;PORTO ALEGRE;RS;43617;0;0;0;117222;0;117222;0;0;0;0;0;0;0;4286539;4403761;0;300894;4704655;113564;943562;5761781
BCO DO EST. DE SE S.A. - PRUDENCIAL;1000081634;b1;S4;C;1;ARACAJU;SE;43617;704705;1376009;111974;2180516;1117;4374322;46562;48283;0;49176;0;0;97459;68918;4587261;0;739812;5327073;11264;398917;5737254
COOPERATIVA DE CREDITO VALE DO ITAJAI - VIACREDI;82639451;b3S;S5;I;2;BLUMENAU;SC;43617;581530;0;95744;3121518;31084;3829877;0;0;0;0;0;0;0;3162;3833040;0;344672;4177711;0;1414670;5592381
CENTRAL DAS COOPERATIVAS DE ECONOMIA E CREDITO DO ESTADO DE MINAS GERAIS LTDA. - SICOOB CENTRAL CECREMGE;309024;b3C;S4;I;2;BELO HORIZONTE;MG;43617;0;0;0;2803;0;2803;0;0;0;0;0;0;0;0;2803;0;5356153;5358956;0;224665;5583620
BANCO FIDIS - PRUDENCIAL;1000081751;b2;S4;I;3;BETIM;MG;43617;0;0;881041;1628080;0;2509121;0;1305409;0;671146;0;0;1976555;0;4485677;1234;289456;4776368;1145;733908;5511420
MIZUHO - PRUDENCIAL;1000080697;b1;S4;C;3;SAO PAULO;SP;43617;26499;0;40115;1378530;0;1445144;130178;0;0;0;0;0;0;1872861;3448183;28894;1016665;4493742;340;705536;5199618
COOPERATIVA CENTRAL DE CRÉDITO DO ESTADO DE SÃO PAULO - SICOOB SÃO PAULO;63917579;b3C;S4;I;2;RIBEIRAO PRETO;SP;43617;0;0;0;4268535;0;4268535;0;0;0;0;0;0;0;0;4268535;0;196924;4465459;0;261151;4726611
MIDWAY S.A. - SCFI - PRUDENCIAL;1000083553;n1;S4;I;2;SAO PAULO;SP;43617;0;0;409771;0;0;409771;0;0;0;186384;0;865016;1051400;0;1461171;0;2216932;3678103;0;881932;4560035
HAITONG - PRUDENCIAL;1000080666;b2;S3;C;3;SAO PAULO;SP;43617;0;0;17217;321276;0;338492;2063496;0;0;781434;0;0;781434;200980;3384401;121011;220832;3726244;628;517517;4244390
VOLVO - PRUDENCIAL;1000080769;b2;S4;C;3;CURITIBA;PR;43617;0;0;0;3427;0;3427;0;0;0;0;0;0;0;2855591;2859019;0;158814;3017833;10374;1034980;4063187
COOPERATIVA CENTRAL DE CRÉDITO - AILOS;5463212;b3C;S4;I;2;BLUMENAU;SC;43617;0;0;0;0;0;0;0;0;0;0;0;0;0;170761;170761;0;3495751;3666512;0;324107;3990619
BCO CARGILL S.A. - PRUDENCIAL;1000081414;b1;S4;I;3;SAO PAULO;SP;43617;347;0;0;48175;0;48522;0;203548;114756;0;0;0;318304;949873;1316699;163884;1576479;3057061;0;582201;3639262
BCO MODAL S.A. - PRUDENCIAL;1000081658;b1;S4;C;2;RIO DE JANEIRO;RJ;43617;225993;0;0;1180402;0;1406395;1110685;70562;0;0;0;0;70562;0;2587642;11897;674224;3273763;0;350455;3624218
SICOOB COCRED COOPERATIVA DE CRÉDITO;71328769;b3S;S4;I;2;SERTAOZINHO;SP;43617;264651;0;0;1293803;6218;1564673;0;0;601253;0;0;0;601253;2680;2168606;0;898908;3067514;0;521617;3589131
INDUSTRIAL DO BRASIL - PRUDENCIAL;1000080477;b1;S4;C;2;SAO PAULO;SP;43617;92069;0;112457;1530030;0;1734557;214737;171656;24682;295129;0;0;491466;495159;2935919;192;116819;3052930;1025;519225;3573181
SCANIA - PRUDENCIAL;1000080776;b2;S4;C;3;SAO BERNARDO DO CAMPO;SP;43617;0;0;0;919312;0;919312;0;0;0;0;0;0;0;1965374;2884686;0;261518;3146204;1469;384755;3532427
PERNAMBUCANAS - PRUDENCIAL;1000080305;n1;S4;I;2;SAO PAULO;SP;43617;0;0;0;0;890;890;0;0;0;0;0;839038;839038;0;839928;0;1976737;2816665;0;633334;3449999
COOPERATIVA CENTRAL DE CRÉDITO, POUPANÇA E INVESTIMENTO DO CENTRO NORTE DO BRASIL - CENTRAL SICREDI CENTRO NORTE;33667205;b3C;S4;I;2;CUIABA;MT;43617;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3310381;3310381;0;122501;3432881
OMNI - PRUDENCIAL;1000080460;b1;S4;C;2;SAO PAULO;SP;43617;11608;0;0;1790144;8894;1810646;904;0;0;154148;0;382513;536662;107249;2455460;0;564741;3020201;1224;318062;3339487
COOPERATIVA CENTRAL DE CREDITO DO ESPIRITO SANTO - SICOOB CENTRAL ES;32428294;b3C;S4;I;2;VITORIA;ES;43617;0;0;0;7449;0;7449;0;0;0;0;0;0;0;194489;201938;0;2907664;3109602;0;179656;3289258
COOPERATIVA CENTRAL DE CRÉDITO RURAL COM INTERAÇÃO SOLIDÁRIA - CENTRAL CRESOL BASER;1401771;b3C;S4;I;2;FRANCISCO BELTRAO;PR;43617;0;0;155994;0;0;155994;0;0;0;0;0;0;0;2078846;2234840;0;851199;3086039;0;125754;3211793
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO UNIÃO PARANÁ/SÃO PAULO - SICREDI UNIÃO PR/SP;79342069;b3S;S4;I;2;MARINGA;PR;43617;343603;0;121910;1383762;10157;1859432;0;0;0;0;0;0;0;0;1859432;0;915722;2775154;0;426360;3201514
MÁXIMA - PRUDENCIAL;1000080367;b1;S4;C;2;RIO DE JANEIRO;RJ;43617;11074;0;0;2200182;157;2211413;104737;348796;29534;0;0;0;378330;0;2694479;9865;257133;2961478;0;193334;3154811
BCO CATERPILLAR S.A. - PRUDENCIAL;1000081397;b2;S4;C;3;SAO PAULO;SP;43617;0;0;780222;0;0;780222;0;0;0;0;0;0;0;1074130;1854352;2086;110114;1966553;4281;1028043;2998877
COOPERATIVA CENTRAL DE ECONOMIA E CRÉDITO MÚTUO DAS UNICRED'S DE SANTA CATARINA E DO PARANÁ LTDA - UNICRED CENTRAL SC/PR;543968;b3C;S4;I;2;FLORIANOPOLIS;SC;43617;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2859129;2859129;0;120545;2979674
CENTRAL SICOOB UNI DE COOPERATIVAS DE CRÉDITO;4243780;b3C;S4;I;2;GOIANIA;GO;43617;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2829527;2829527;0;117364;2946892
MERCADOPAGO.COM - PRUDENCIAL;1000084820;n4;;I;2;OSASCO;SP;43617;0;0;0;0;1654088;1654088;0;0;0;0;0;0;0;0;1654088;3949;1049079;2707116;0;162833;2869949
BCO TRIANGULO S.A. - PRUDENCIAL;1000081438;b1;S4;C;2;UBERLANDIA;MG;43617;202283;0;95151;751345;31490;1080269;0;54001;0;508125;0;0;562126;118761;1761155;0;618285;2379440;1184;462905;2843530
BADESUL DESENVOLVIMENTO AF/RS - PRUDENCIAL;1000081029;n1;S4;I;1;PORTO ALEGRE;RS;43617;0;0;0;0;0;0;0;0;0;0;0;0;0;1932966;1932966;0;140854;2073820;18;733465;2807303
