Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total Geral;AA;A;B;C;D;E;F;G;H;Total Exterior
BANCO DE DESENVOLVIMENTO DO ESPIRITO SANTO S.A.;28145829;b4;I;1;;5;VITORIA;ES;set/16;1.082.282;65.747;596.819;208.769;91.195;31.298;25.392;18.178;16.422;28.461;0
AGÊNCIA DE FOMENTO DO PARANÁ S.A.;3584906;n1;I;1;;30;CURITIBA;PR;set/16;1.080.449;111.613;807.799;86.328;49.496;4.735;9.198;1.252;1.969;8.057;0
BANCO DE TOKYO-MITSUBISHI UFJ BRASIL S.A.;60498557;b1;I;3;;8;SAO PAULO;SP;set/16;1.073.769;842.235;66.560;136.435;2.189;26.350;0;0;0;0;0
BANCO FORD S.A.;90731688;b2;I;3;;8;SAO PAULO;SP;set/16;1.036.663;0;483.335;239.629;116.196;162.024;840;354;430;33.855;0
BANCO ABN AMRO S.A.;3532415;b1;I;3;;8;SAO PAULO;SP;set/16;1.023.798;304.671;692.160;0;26.966;0;0;0;0;0;0
COOPERATIVA DE CRÉDITO E INVESTIMENTO DE LIVRE ADMISSÃO VANGUARDA DA REGIÃO DAS CATARATAS DO IGUAÇU E VALE DO PARAÍBA - SICREDI VANGUARDA PR/SP/RJ;78414067;b3S;I;2;;9;MEDIANEIRA;PR;set/16;922.474;1;644.618;145.482;43.666;32.036;16.350;10.837;7.798;21.687;0
BANCO LUSO BRASILEIRO S.A.;59118133;b1;I;2;;8;SAO PAULO;SP;set/16;867.891;0;184.975;538.239;103.149;5.961;1.014;5.144;426;28.983;0
BANCO A.J. RENNER S.A.;92874270;b1;I;2;;8;PORTO ALEGRE;RS;set/16;861.454;0;703.991;64.365;32.920;15.817;8.063;6.718;4.684;24.896;0
SCOTIABANK BRASIL S.A. BANCO MÚLTIPLO;29030467;b1;I;3;;8;SAO PAULO;SP;set/16;858.912;210.319;530.332;0;0;118.260;0;0;0;0;0
COOPERATIVA DE CRÉDITO MAXI ALFA DE LIVRE ADMISSÃO DE ASSOCIADOS - SICOOB MAXICRÉDITO;78825270;b3S;I;2;;9;CHAPECO;SC;set/16;851.960;14.936;220.039;294.924;121.934;52.677;27.359;18.524;16.789;84.778;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO CENTRO BRASILEIRA LTDA.;37395399;b3S;I;2;;9;GOIANIA;GO;set/16;846.990;10.635;483.080;194.333;41.069;41.589;41.708;3.697;4.836;26.042;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS OURO VERDE DE MATO GROSSO - SICREDI OURO VERDE MT;26529420;b3S;I;2;;9;LUCAS DO RIO VERDE;MT;set/16;835.803;0;174.873;286.844;64.750;121.231;61.639;40.661;18.598;67.206;0
BANCO MONEO S.A.;7441209;b2;I;2;;8;CAXIAS DO SUL;RS;set/16;815.127;59.998;247.630;212.041;132.707;72.120;32.801;9.615;11.098;37.118;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO LESTE CAPIXABA - SICOOB LESTE CAPIXABA;32430233;b3S;I;2;;9;LINHARES;ES;set/16;811.105;16.608;168.094;323.611;207.797;16.537;12.127;10.242;3.654;52.435;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS SERRO AZUL - SICREDI UNIÃO RS;88894548;b3S;I;2;;9;CERRO LARGO;RS;set/16;795.185;0;275.770;254.191;135.079;56.242;23.185;11.025;6.463;33.232;0
AGÊNCIA DE FOMENTO DO ESTADO DE SANTA CATARINA S.A.-BADESC;82937293;n1;I;1;;30;FLORIANOPOLIS;SC;set/16;714.441;178.742;69.420;235.618;101.099;23.154;17.138;8.765;9.015;71.489;0
BOFA MERRILL LYNCH;51255;b1;C;3;;199;SAO PAULO;SP;set/16;707.264;458.082;784;248.398;0;0;0;0;0;0;0
