cat;Categoria;Data;Total_Carteira_PF;PF_Consignado_Vencido_15d;PF_Consignado_Vencer_90d;PF_Consignado_Vencer_91-360d;PF_Consignado_Vencer_361-1080d;PF_Consignado_Vencer_1081-1800d;PF_Consignado_Vencer_1801-5400d;PF_Consignado_Vencer_acima_5400d;PF_Consignado_TOTAL;PF_NÃ£o_Consignado_Vencido_15d;PF_NÃ£o_Consignado_Vencer_90d;PF_NÃ£o_Consignado_Vencer_91-360d;PF_NÃ£o_Consignado_Vencer_361-1080d;PF_NÃ£o_Consignado_Vencer_1081-1800d;PF_NÃ£o_Consignado_Vencer_1801-5400d;PF_NÃ£o_Consignado_Vencer_acima_5400d;PF_NÃ£o_Consignado_TOTAL;PF_VeÃ­culos_Vencido_15d;PF_VeÃ­culos_Vencer_90d;PF_VeÃ­culos_Vencer_91-360d;PF_VeÃ­culos_Vencer_361-1080d;PF_VeÃ­culos_Vencer_1081-1800d;PF_VeÃ­culos_Vencer_1801-5400d;PF_VeÃ­culos_Vencer_acima_5400d;PF_VeÃ­culos_TOTAL;PF_Hab_Vencido_15d;PF_Hab_Vencer_90d;PF_Hab_Vencer_91-360d;PF_Hab_Vencer_361-1080d;PF_Hab_Vencer_1081-1800d;PF_Hab_Vencer_1801-5400d;PF_Hab_Vencer_acima_5400d;PF_Hab_TOTAL;PF_CartÃ£o_Vencido_15d;PF_CartÃ£o_Vencer_90d;PF_CartÃ£o_Vencer_91-360d;PF_CartÃ£o_Vencer_361-1080d;PF_CartÃ£o_Vencer_1081-1800d;PF_CartÃ£o_Vencer_1801-5400d;PF_CartÃ£o_Vencer_acima_5400d;PF_CartÃ£o_TOTAL;PF_Rural_Vencido_15d;PF_Rural_Vencer_90d;PF_Rural_Vencer_91-360d;PF_Rural_Vencer_361-1080d;PF_Rural_Vencer_1081-1800d;PF_Rural_Vencer_1801-5400d;PF_Rural_Vencer_acima_5400d;PF_Rural_TOTAL;PF_Outros_Vencido_15d;PF_Outros_Vencer_90d;PF_Outros_Vencer_91-360d;PF_Outros_Vencer_361-1080d;PF_Outros_Vencer_1081-1800d;PF_Outros_Vencer_1801-5400d;PF_Outros_Vencer_acima_5400d;Outros_TOTAL;Total_Exterior_PF;PJ_CG_Vencido_15d;PJ_CG_Vencer_90d;PJ_CG_Vencer_91-360d;PJ_CG_Vencer_361-1080d;PJ_CG_Vencer_1081-1800d;PJ_CG_Vencer_1801-5400d;PJ_CG_Vencer_acima_5400d;PJ_CG_TOTAL;PJ_I_Vencido_15d;PJ_I_Vencer_90d;PJ_I_Vencer_91-360d;PJ_I_Vencer_361-1080d;PJ_I_Vencer_1081-1800d;PJ_I_Vencer_1801-5400d;PJ_I_Vencer_acima_5400d;PJ_I_TOTAL;PJ_CGR_Vencido_15d;PJ_CGR_Vencer_90d;PJ_CGR_Vencer_91-360d;PJ_CGR_Vencer_361-1080d;PJ_CGR_Vencer_1081-1800d;PJ_CGR_Vencer_1801-5400d;PJ_CGR_Vencer_acima_5400d;PJ_CGR_TOTAL;PJ_Recebiveis_Vencido_15d;PJ_Recebiveis_Vencer_90d;PJ_Recebiveis_Vencer_91-360d;PJ_Recebiveis_Vencer_361-1080d;PJ_Recebiveis_Vencer_1081-1800d;PJ_Recebiveis_Vencer_1801-5400d;PJ_Recebiveis_Vencer_acima_5400d;PJ_Recebiveis_TOTAL;PJ_Comex_Vencido_15d;PJ_Comex_Vencer_90d;PJ_Comex_Vencer_91-360d;PJ_Comex_Vencer_361-1080d;PJ_Comex_Vencer_1081-1800d;PJ_Comex_Vencer_1801-5400d;PJ_Comex_Vencer_acima_5400d;PJ_Comex_TOTAL;PJ_Outros_Vencido_15d;PJ_Outros_Vencer_90d;PJ_Outros_Vencer_91-360d;PJ_Outros_Vencer_361-1080d;PJ_Outros_Vencer_1081-1800d;PJ_Outros_Vencer_1801-5400d;PJ_Outros_Vencer_acima_5400d;PJ_Outros_TOTAL;PJ_Infra_Vencido_15d;PJ_Infra_Vencer_90d;PJ_Infra_Vencer_91-360d;PJ_Infra_Vencer_361-1080d;PJ_Infra_Vencer_1081-1800d;PJ_Infra_Vencer_1801-5400d;PJ_Infra_Vencer_acima_5400d;PJ_Infra_TOTAL;PJ_Rural_Vencido_15d;PJ_Rural_Vencer_90d;PJ_Rural_Vencer_91-360d;PJ_Rural_Vencer_361-1080d;PJ_Rural_Vencer_1081-1800d;PJ_Rural_Vencer_1801-5400d;PJ_Rural_Vencer_acima_5400d;PJ_Rural_TOTAL;PJ_Hab_Vencido_15d;PJ_Hab_Vencer_90d;PJ_Hab_Vencer_91-360d;PJ_Hab_Vencer_361-1080d;PJ_Hab_Vencer_1081-1800d;PJ_Hab_Vencer_1801-5400d;PJ_Hab_Vencer_acima_5400d;PJ_Hab_TOTAL;Micro;Pequena;MÃ©dia;Grande;Total nÃ£o Individualizado Pessoa JurÃ­dica;Total Exterior Pessoa JurÃ­dica;Qt_OperaÃ§Ãµes
b3C;b3C - Central e ConfederaÃ§Ã£o de Cooperativas de CrÃ©dito;mar/20;6706;0;0;0;0;0;0;0;0;25;1276;1235;4070;56;0;0;6662;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19;0;0;0;0;0;0;19;2;7;14;0;0;0;0;24;0;20132;321149;506066;212296;44742;680;0;1105064;0;738;2014;6818;2849;256;0;12676;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;26;7309;24167;56269;12580;1718;164;102233;0;3478;27011;19226;0;0;0;49715;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;42356;26442;1166394;32066;0;0;423
b4;b4 - Banco de Desenvolvimento;mar/20;4048354;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;38827;344869;652237;1448958;904167;576236;149;3965443;687;7618;13072;27904;18044;12941;2646;82911;0;6722;49149;115454;315968;88258;8418;100108;684079;4549;56936;194639;336316;142336;53199;709;788684;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4370;19461;77079;91890;21083;953;0;214835;1467986;8874611;22190820;52290177;37447825;117971551;30313399;270556369;1937;425807;952858;1839218;1223711;1661471;26;6105028;0;0;0;0;0;0;0;0;244182;2322319;9210137;258986351;2;0;111859
n1;n1 - NÃ£o BancÃ¡rio de CrÃ©dito;mar/20;28642794;27722;161832;360665;418215;145984;46706;4;1161128;800641;1336108;1307716;196544;12720;26183;6064;3685976;37135;352387;888358;1280583;147475;341;0;2706279;55775;76384;192986;369932;271421;766456;337392;2070346;3294036;9724409;4151726;196138;7879;2;0;17374189;14955;93371;149416;404469;238180;215095;44;1115530;116767;159291;132317;63731;23585;32160;1496;529347;0;54334;216516;415245;445199;84196;26858;350;1242698;40697;724723;1536935;2419303;826101;291180;1151;5840089;1201;4053;19869;0;0;0;0;25123;10232;84963;470800;8840;6316;12191;47;593389;0;0;0;0;0;0;0;0;6104;27245;21498;29612;10511;2336;0;97305;20507;131025;391923;856166;386814;329123;588;2116145;515;11926;19148;84548;21315;19940;0;157392;0;13;35;45467;100;106;0;45721;936183;1453871;5416304;2272844;156;0;53702502
n2;n2 - NÃ£o BancÃ¡rio de Mercado de Capitais;mar/20;4153;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4153;4153;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;28;0;0;0;0;55;83;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;54;0;0;28;0;0;185
n4;n4 - InstituiÃ§Ãµes de Pagamento;mar/20;11089861;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;41969;7287728;2022612;162546;0;0;0;9514856;0;0;0;0;0;0;0;0;672329;656286;242801;3588;0;0;0;1575005;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21491216
C;C - Conglomerado;mar/20;1339949968;2233851;24748750;66704029;120876007;65931383;34516164;200268;315210450;5156564;18409454;31628961;32089084;10056718;3842960;426612;101610354;2850651;23407217;57936230;82929997;12504690;31059;97051;179756895;296149;5045464;13871767;31885998;25411680;71333409;37347217;185191684;17622627;138733565;52113567;5678652;767173;110039;180484;215206106;2545182;24281770;59555613;50199363;29133688;23876433;263343;189855392;7562717;23509685;19144515;18899842;7308243;4494152;283635;81202789;71916298;2727194;39075483;78330808;81922528;16868974;5411742;754033;225090761;636614;9255414;22300709;37542420;16873331;34209653;1267611;122085753;1955861;27852413;5279600;1381363;2179334;838537;268520;39755628;647521;80409581;29243695;1880195;594459;34298;420436;113230186;902208;47311133;76484395;34460950;33357375;6655185;14925;199186171;6865431;17497648;22072477;15925014;7183518;7172987;2676061;79393136;573984;6767660;14532245;26186727;13150230;23897402;6495927;91604175;87979;5038941;14699657;5104828;1874989;2034031;18;28840443;1064113;932787;3025694;4669292;905071;108785;65045;10770788;34258488;102894072;237717858;488386056;6216;530467030;320525888
I;I - InstituiÃ§Ã£o independente;mar/20;782031521;2308242;6564311;17282246;29972389;15187853;10513835;361;81829238;2038848;7312457;12743444;12026278;3144090;1167926;23187;38456230;366546;3963033;9846444;14153953;2041853;7324;165;30379319;1417406;13307267;36055498;83196248;67558141;187818136;74094057;463446754;7110453;28070675;9847384;934963;18203;16755;1;45998434;702669;16083406;22492430;20964400;10573066;6145973;193;76962138;3452931;13669045;12965606;8871800;3726632;2208347;65047;44959409;0;2044031;11881452;24380952;30868663;8550180;2244430;136712;80106420;202253;3977158;9674378;15416638;5047239;977928;2620;35298214;448641;2892265;3846369;154631;3922;20616;99;7366543;243945;11922091;7976750;261214;34439;41503;47;20479989;210792;6826531;9816515;4813627;1008518;71705;0;22747689;1807180;3343216;3443560;3770993;1676198;1211682;100201;15353029;2075919;16042891;34778063;76116695;53111562;155497693;37821969;375444791;47257;1250969;4326840;3122033;1705320;1933186;46;12385651;235198;1186346;2722970;3297713;149602;124395;6037;7722260;26280996;51336778;97818515;392241970;668;990354;132431241
1;1 - PÃºblico;jun/20;997046743;2944149;11759925;32586237;64354342;39149414;29393507;189034;180376607;1583977;5347721;11950467;14359503;6443099;3305895;443894;43434556;77138;541006;1296075;1865493;411885;238;109953;4301789;758339;11502940;38230141;89034299;73190623;213220365;101129878;527066586;3045799;26098500;6809278;508009;20714;19227;198728;36700254;2335567;22144608;47970344;50869021;27515111;23677933;247021;174759604;2532346;7327197;7691353;4281805;2359290;2515229;229503;26936723;3470625;2338708;10719567;32175255;40981493;8377721;2262529;513492;97368765;361876;1710627;7441735;15863494;12000268;32084166;284102;69746268;466877;1983958;1783559;995652;0;0;11012;5241058;142931;4324410;1740324;275758;0;0;3;6483425;770461;11026910;16906294;7698546;8684520;85003;123769;45295504;2463234;4589832;5857682;5642087;3033598;4736460;1092543;27415435;2512409;13694800;38546603;84237333;60867872;175808355;41937925;417605297;79064;3017710;5592528;5406408;2244559;3109299;0;19449568;632309;1544543;3745354;4636954;274488;135572;6089;10975309;16416688;44840331;93276487;534450870;608;38149074;77601447
2;2 - Privado Nacional;jun/20;825022403;1219580;14606134;38986560;66539141;32700288;14272252;774;168324730;4238599;15008216;27994959;24390464;5484039;1946791;16820;79079889;1972636;15123858;39777365;56658313;7957212;26112;6;121515501;164262;3322325;9380362;21168239;16353166;40115368;11434738;101938459;15940907;91226206;39101173;4717712;709729;57686;8855;151762267;331057;10158657;22762591;16459071;6682738;4746156;242;61140512;5464609;17441044;19283242;18319819;5496375;2682546;135362;68822997;72438047;1585763;28493608;85996347;77111061;16681792;4814252;155327;214838150;259469;6219085;13909115;20145181;5456486;976578;26273;46992189;1500367;15665359;4460704;281911;1230443;706165;194;23845144;578225;41190992;15053005;985317;421940;18636;2046344;60294460;252085;19321691;41208209;19220255;15625671;7009162;16916;102653988;2222594;10601148;15962145;13729126;6077185;3774482;1541373;53908053;194228;2727919;8977434;17407371;6354097;9776175;1870812;47308036;13287;3230758;6683790;1555193;614572;619238;0;12716838;269614;695575;1191838;3615373;711995;67093;2419;6553907;38607638;86658846;163528823;249631478;3814;386751420;262907994
3;3 - Privado com Controle Estrangeiro;jun/20;296801324;858221;4146000;11193156;19351242;9939991;6034638;1761;51525008;656146;1607091;3696298;6080863;1923563;446783;16930;14427674;1006695;9912951;25729638;37092916;6139161;35915;4006;79921281;25200;1138284;3586535;8067785;6218583;14958755;4379242;38374384;4606816;28462770;11267672;1731609;287683;133824;36;46490410;348035;2694441;7424942;9527885;5063062;1996879;2657;27057901;1869006;6801271;10416141;9787158;4846703;2586013;92446;36398738;2605928;571186;10310040;26442929;17779976;3681078;1134386;279123;60198717;183690;4779867;12038664;18421899;5691214;3293205;959787;45368327;292275;3468004;1515076;218685;76820;90317;245046;5906223;160697;27802817;16480174;1001101;160783;84333;6876;45696782;448023;18928072;40306134;13017566;6007391;196355;0;78903541;975427;3778846;6523008;5081783;3958086;482626;481711;21281487;71203;1105468;4370287;7566392;2535708;829892;97097;16576047;45035;1944617;5345940;1209736;489344;252152;456;9287280;117441;165596;530735;374948;7891;28157;0;1224766;12135468;30817146;86182892;151800379;2163;64759505;70989614
b1;b1 - Banco Comercial, Banco MÃºltiplo com Carteira Comercial ou Caixa EconÃ´mica;jun/20;1933954775;4933436;29534400;80169050;145675496;79245117;47534090;191247;387282835;5156163;16619951;32911109;33957288;10723450;4434368;461257;104263586;2660592;21348609;55709850;79851995;12348568;51861;113965;172085441;881383;15873893;50946850;117776755;95396057;267329702;116593164;664797804;18538605;122690287;48051273;6117947;997785;210733;207620;196814249;2584708;27528285;59395040;63871165;33488708;27510031;249245;214627182;8293333;27363546;32679890;28964580;11253803;6580977;432950;115569078;78514599;4123800;42665122;130343527;118130834;23367690;6326027;842322;325799321;641341;8582757;22119042;35459679;16367846;35177100;1264182;119611946;2058785;19335943;5775800;1369938;1302212;782099;256058;30880836;646893;65210893;28419789;1995450;489251;33508;2053164;98848947;1470570;49276363;98411748;39905256;30317582;7290520;140685;226812723;5415091;17436346;26132312;21651886;11784046;8162067;3098136;93679884;822425;10793851;25489872;49144372;28433839;62049531;12854701;189588591;125730;7549762;16139193;5682522;1944058;2228442;456;33670162;1019363;2405707;5467910;8577431;994329;230725;8508;18703973;51771863;124543194;275185931;650499249;6058;489550311;323968300
b2;b2 - Banco MÃºltiplo sem Carteira Comercial ou Banco de Investimento ou Banco de CÃ¢mbio;jun/20;47370428;3852;41299;113560;188462;74317;29678;0;451168;57386;100955;179295;166856;51508;4762;0;560761;323167;3325198;8603440;11724643;1435141;4509;0;25416099;1321;8678;24390;44180;28187;39320;2157;148234;1808294;5789974;2743130;531207;7;0;0;10872611;152683;605740;2008122;3830193;2121145;606208;0;9324090;7827;168925;81797;153456;89527;95641;294;597465;0;17323;2142034;1610833;776695;150547;44217;0;4741650;81179;2641987;6969675;11923363;4114168;87080;6;25817458;0;0;0;0;0;0;0;0;58093;4545438;4147922;256845;87399;56784;0;9152480;0;310;8889;31111;0;0;0;40310;22995;325325;212010;175083;61991;17369;8887;823659;51548;796619;2996022;4901183;1323521;129108;96965;10294966;3472;22863;97121;178724;117981;33722;0;453883;0;0;0;0;0;0;0;0;4381386;8239985;27214905;11341062;3;109688;11667443
b3S;b3S - Cooperativa de CrÃ©dito Singulares;jun/20;96200429;49522;758796;2115158;3934332;2304383;2078689;318;11241199;421007;4152636;9414972;10519529;3063638;1236714;10752;28819247;30041;551430;1570046;2679041;566798;5443;0;5402799;115;12181;40719;91474;71832;168192;17442;401954;172855;1736989;553199;844;0;0;0;2463887;215964;6546423;15933729;7368457;2641713;1553929;231;34260446;571382;3334113;4164767;3164242;1316444;1054231;5718;13610897;0;308388;4314382;11507606;15731485;4964526;1800179;7067;38633633;23202;816716;2466608;4031819;1525939;575802;1522;9441609;200200;1768537;1953835;126309;5050;14383;194;4068510;163312;3419064;362634;752;229;687;0;3946678;0;0;0;0;0;0;0;0;203777;1148258;1821640;2373703;1140421;805771;6877;7500448;1890;31979;135348;343125;132156;8050;0;652549;838;132368;544517;294834;54283;10620;0;1037460;0;0;0;0;0;0;0;0;9698270;25571295;24483053;4011291;294;0;10569432
b3C;b3C - Central e ConfederaÃ§Ã£o de Cooperativas de CrÃ©dito;jun/20;5630;0;0;0;0;0;0;0;0;61;11;2417;3057;45;19;0;5611;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;7;7;0;0;0;0;19;0;0;162412;541141;243132;45232;6509;0;998426;0;637;1987;6908;2254;221;0;12008;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6618;24748;92416;48661;2097;164;174705;0;4301;7846;29397;0;0;0;41545;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;41124;28029;1138060;19307;0;0;384
b4;b4 - Banco de Desenvolvimento;jun/20;3780322;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;48023;266101;633988;1394026;805746;546500;444;3694828;1524;4103;14670;27948;18235;19013;0;85493;0;7652;43922;186700;511348;117829;6875;98180;972507;4766;73834;261481;587311;285014;206455;2630;1421491;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11186;21660;126208;132538;22663;4896;0;319150;1879340;5815724;22843393;53865192;39438817;123912751;30953624;278708842;6755;478235;826062;1926672;1216274;1688266;0;6142264;0;0;0;0;0;0;0;0;292258;2374892;9666113;267747212;1;0;109511
n1;n1 - NÃ£o BancÃ¡rio de CrÃ©dito;jun/20;26089805;35141;177564;368185;446435;165876;57940;4;1251143;844104;1089475;1133931;184100;12061;23607;5636;3292914;42669;352577;919742;1361042;157750;452;0;2834232;64982;68796;185080;357914;266295;757275;331095;2031437;3073768;7937959;3811873;306130;20334;3;0;15150067;13281;51158;186998;392137;203598;204299;0;1051470;80387;137049;126312;72943;24360;33927;3564;478541;0;38494;195344;424723;479036;94767;27359;372;1260095;54547;593648;1570722;2421496;852748;307291;1820;5802272;533;12842;29704;0;0;0;0;43079;13555;142824;343158;9130;5846;11989;60;526562;0;0;0;0;0;0;0;0;8199;31596;25917;27369;11087;1368;0;105535;22637;85713;421842;927829;429344;314982;543;2202889;591;9858;15366;88586;15877;19639;0;149916;1;6;16;49844;44;98;0;50010;973331;1558927;5300139;2264576;230;0;42633621
n2;n2 - NÃ£o BancÃ¡rio de Mercado de Capitais;jun/20;14785;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14785;14785;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;1563;1572;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1563;0;0;10;0;0;237
n4;n4 - InstituiÃ§Ãµes de Pagamento;jun/20;11454296;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7632267;2018648;1202;0;0;0;9652118;0;0;0;0;0;0;0;0;911503;561769;323293;5613;0;0;0;1802179;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;13;0;0;0;0;0;21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21;0;0;22550127
C;C - Conglomerado;jun/20;1328530006;2395653;24054529;65673297;120125152;66230209;38273464;191180;316943484;4392232;15313430;30402066;31870580;10275614;4355654;447857;97057431;2666899;21903981;57190637;81958567;12499800;51532;113930;176385347;192111;4889382;14243938;32822543;26199357;73948563;38047688;190343583;17329191;120217481;47676105;6063384;997615;191509;207619;192682903;2236988;24937495;52865536;55624305;29062540;24492876;246576;189466317;6190053;19973268;22953509;23127711;9006472;5498729;386599;87136340;78514599;2653189;37298312;117122761;97704863;18608777;5353189;810590;279551682;609135;8987603;23081271;37821863;17631152;35136816;1264116;124531956;1781545;18969174;4878633;1352437;1302212;782099;255455;29321554;645994;63764187;28396864;1865191;476770;33508;2053164;97235678;1029487;41952019;86090870;35140930;29368471;7137327;140685;200859788;4375308;15847041;24419362;20298547;11096877;7751233;3013320;86801688;357828;4732772;16235001;30097723;13644215;24487874;5878544;95433956;69535;6039776;13635815;4938355;1700132;2092818;456;28476887;876589;1315477;2380071;4870407;846610;109902;2419;10401475;38710231;108147470;242233797;528737222;5970;488660378;291855440
I;I - InstituiÃ§Ã£o independente;jun/20;790340464;2626297;6457529;17092655;30119573;15559484;11426932;389;83282860;2086490;6649598;13239659;12960251;3575088;1343816;29787;39884688;389570;3673833;9612441;13658155;2008457;10733;35;29353224;755689;11074167;36953101;85447781;69563015;194345924;78896169;477035846;6264330;25569995;9502017;893947;20511;19227;1;42270028;777670;10060212;25292341;21231673;10198371;5928090;3344;73491700;3675908;11596244;14437227;9261071;3695895;2285060;70712;45022118;0;1842468;12224903;27491769;38167667;10131814;2857978;137351;92853950;195900;3721977;10308243;16608711;5516817;1217133;6046;37574828;477974;2148148;2880706;143811;5050;14383;798;5670871;235859;9554032;4876639;396985;105954;69461;60;15238989;441083;7324654;12329767;4795437;949111;153193;0;25993245;1285947;3122785;3923472;4154448;1971992;1242336;102307;15803287;2420012;12795416;35659323;79113374;56113462;161926549;38027290;386055425;67851;2153310;3986444;3232982;1648342;1887871;0;12976799;142775;1090236;3087855;3756868;147764;120920;6089;8352507;28449563;54168853;100754405;407145505;616;999621;119643615
1;1 - PÃºblico;set/20;1029537922;2789508;11632835;32348577;64908489;40557879;32697120;3557650;188492057;1269522;5240789;12145800;15540711;6439375;3460216;436814;44533226;59959;523274;1295107;1959686;450256;158;103731;4392171;697749;13362874;39054868;91147513;75070507;219422994;102827292;541583797;2709525;29464438;7521059;485019;24121;23671;193691;40421524;1994652;16564579;57096302;51829731;27572158;24289923;299052;179646396;2118700;7423515;7111293;4191928;2330360;2554875;220996;25951667;4517085;2337923;8878559;27651929;34858498;8111015;1910737;507225;84255886;383290;2545078;6279953;15087813;11056174;30776081;292592;66420981;422634;3004010;1865000;375722;967741;0;11796;6646902;147039;5083008;1600300;297468;14;0;5;7127833;564665;10203604;19021016;7223737;8830126;110744;0;45953892;3239242;6746554;6315216;5886261;3082566;4311933;917954;30499726;2310989;17792160;37384181;81885215;58533617;169453003;42302931;409662096;90508;2129131;5709125;5248191;2393417;3061807;26;18632206;824059;1302076;3726440;4290257;280637;136702;68608;10628779;20170625;60426081;98564712;536959032;590;30115797;77933227
2;2 - Privado Nacional;set/20;868166681;1269046;14184505;38827298;67614733;33840181;17035828;955;172772545;3643362;15300147;27875640;26118305;6687723;2122077;24455;81771708;1723178;16010379;40589595;58618208;8542344;28074;35;125511813;139203;3485578;9675959;21985861;17114356;42868487;12899496;108168939;13262706;102113062;43185267;4960978;775026;108752;4789;164410581;284702;7622760;28972642;18639242;7257273;5290939;1493;68069051;4659372;17821234;19178875;19859694;6230110;3211008;141068;71101360;76360684;1922271;30564865;59866146;63986330;13734430;4525445;104852;174704339;267189;6022827;13974176;19821017;5411551;1117287;21104;46635151;1683650;22551257;5249622;972595;1146394;778359;99;32381976;562053;53171254;15659533;1046852;556682;17072;414142;71427587;276432;23749107;32199849;18891011;17281628;6242371;14925;98655323;4091835;10447218;13286660;9692105;4501842;3610782;1572016;47202458;141960;3423962;7820310;13993714;5803662;9239775;1915564;42338947;22417;2646835;7186746;1725057;621046;586240;38;12788379;400054;607087;1452927;3295959;748858;67727;2474;6575085;45734807;123849940;201330084;250500063;4304;376387765;278126032
3;3 - Privado com Controle Estrangeiro;set/20;309648883;860109;4091486;11263432;19842879;10483139;6993860;1721;53536625;639067;1622776;3722074;7146046;2032532;480423;17012;15659929;886667;10100762;25862216;37868734;6514382;33280;4148;81270189;33873;1268089;3647488;8348755;6495945;16044630;5059540;40898321;3745947;32106434;12389760;1671612;286912;141640;39;50342343;225160;2487265;8384734;9886535;5332307;2120655;3142;28439799;1677965;6941931;10481374;9844107;4893162;2757755;129678;36725972;2775705;511031;11513511;15193685;13946364;3573709;1219990;278667;46236957;188387;4664667;11720959;18050228;5452845;3294214;956535;44327834;298218;5189411;2011347;187677;69121;80794;256725;8093292;182374;34077410;19960612;797090;72202;58730;6336;55154754;271904;20184953;35080044;13159830;8254139;373775;0;77324645;1341535;3647091;5914161;4117641;1275308;461954;286292;17043982;196954;1594427;4105818;6424494;1924513;702317;99401;15047923;22311;1513945;6130626;1253613;565846;319170;0;9805510;75199;209970;569298;380789;25178;28750;0;1289184;12651198;41605431;92299995;151705585;37013;58783333;71365592
b1;b1 - Banco Comercial, Banco MÃºltiplo com Carteira Comercial ou Caixa EconÃ´mica;set/20;2008035312;4835448;28922944;79798782;147594622;82153665;54272743;3560000;401138205;4346283;16882718;32477063;37035965;11617695;4530544;454367;107344635;2348939;22326984;56546104;82257408;13100448;49460;107913;176737256;809560;18018736;52142176;120985228;98306630;277332127;120431041;688025498;15435728;136785694;52603338;6112240;1058650;274061;198519;212468229;2243816;21211565;69665025;65726156;33944335;28536239;303657;221630794;7130401;28496995;31885966;30165275;11788171;7106260;464154;117037221;83653474;4302286;43792518;89838840;97912930;21132225;6057267;785755;263821821;695225;8996611;21357565;35221301;15581749;34232008;1267655;117352114;2199072;28462046;6572218;1389472;2179334;838537;268520;41909199;637609;81935800;28762176;2025104;594459;34298;420436;114409882;1113000;54074198;85937428;39274578;34365893;6726890;14925;221506911;8412566;19463720;23568724;17434299;7816298;7653894;2760743;87110245;1085963;12648968;23768292;44562917;27226511;60961479;13904523;184158653;126808;5485556;17532597;5878746;2154286;2215836;38;33393867;1299311;2119120;5748629;7921539;1054572;233074;71082;18447327;57360044;179197885;327154131;647187381;5719;465173910;320217714
b2;b2 - Banco MÃºltiplo sem Carteira Comercial ou Banco de Investimento ou Banco de CÃ¢mbio;set/20;48787308;3846;29808;82110;139054;64256;36863;0;355938;63531;95149;193856;197423;53783;4260;1;608004;261026;3374459;8615641;11842763;1596350;4519;0;25694759;1373;7627;19982;38201;24604;36760;1794;130340;1525524;6501175;2955059;512641;29;0;0;11494429;61934;299601;2495943;4041210;2289432;683636;0;9871756;4065;158468;111464;161929;96509;99310;338;632083;0;26694;2261136;1361136;637825;162878;44207;0;4493876;69438;2663565;6546460;11107229;3951679;100706;20;24439098;0;0;0;0;0;0;0;0;86994;6016711;7523627;106599;27690;29311;0;13790933;0;63467;363482;0;0;0;0;426948;22936;300395;163698;143124;50108;15072;8887;704218;73348;1118385;2859060;4443991;1133431;127329;99387;9854931;156;68637;59989;183001;128453;48061;0;488298;0;0;0;0;0;0;0;0;4862575;10038716;26139669;10828849;34948;112985;11842319
