Instituição financeira;Código;TCB;SR;TD;TC;Cidade;UF;Data;Ativo Total;Carteira de Crédito Classificada;Passivo Circulante e Exigível a Longo Prazo e Resultados de Exercícios Futuros;Captações;Patrimônio Líquido;Lucro Líquido;Patrimônio de Referência para Comparação com o RWA;Índice de Basileia;Índice de Imobilização;Número de Agências;Número de Postos de Atendimento
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO DE ARARAQUARA E REGIÃO - SICREDI CENTRO NORTE SP;73113243;b3S;S5;I;2;ARARAQUARA;SP;43344;177119;70862;154509;142350;22610;760;20548;0,1804;0,1348;0;5
NATIXIS BRASIL S.A. BM - PRUDENCIAL;1000081627;b1;S4;I;3;SAO PAULO;SP;43344;176961;0;13567;3848;163394;2167;163361;2,142;0,0041;2;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DO MÉDIO LESTE DE MATO GROSSO - SICOOB PRIMAVERA MT;5241619;b3S;S5;I;2;PRIMAVERA DO LESTE;MT;43344;176696;108136;156344;95762;20352;1031;18578;0,1442;0,0605;0;1
COOPERATIVA DE CRÉDITO RURAL DA REGIÃO DA MOGIANA;62109566;b3S;S5;I;2;SAO JOAO DA BOA VISTA;SP;43344;175490;73301;145914;130340;29576;2395;29576;0,3085;0,0508;0;14
COOPERATIVA DE CRÉDITO RURAL COM INTERAÇÃO SOLIDÁRIA DE SANTA LÚCIA - CRESOL SANTA LÚCIA;7268499;b3S;S5;I;2;SANTA LUCIA;PR;43344;174481;135501;153808;50302;20672;206;20672;0,1753;0,0833;0;10
COOPERATIVA DE CREDITO DE LIVRE ADMISSÃO DO NORDESTE DE MINAS GERAIS LTDA - SICOOB CARLOS CHAGAS;41753500;b3S;S5;I;2;CARLOS CHAGAS;MG;43344;174095;97704;121177;84663;52918;1612;49616;0,4422;0,024;0;5
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO CAMPOS DA MANTIQUEIRA LTDA. - SICOOB CREDICAMPO;21661202;b3S;S5;I;2;ENTRE RIOS DE MINAS;MG;43344;173615;54555;148530;130975;25085;1412;22790;0,2788;0,2592;0;9
COOPERATIVA DE CREDITO DE LIVRE ADMISSAO DO VALE DO AÇO LTDA - SICOOB VALE DO AÇO;19869338;b3S;S5;I;2;IPATINGA;MG;43344;173327;56065;127099;120660;46228;1668;42029;0,4569;0,116;0;13
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE POMPÉU LTDA. - SICOOB CREDIPÉU;66262643;b3S;S5;I;2;POMPEU;MG;43344;171751;67056;138031;114457;33719;870;29345;0,2559;0,0709;0;0
COOPERATIVA DE CRÉDITO RURAL COM INTERAÇÃO SOLIDÁRIA OESTE CATARINENSE - CRESOL OESTE CATARINENSE;3965737;b3S;S5;I;2;XAXIM;SC;43344;170255;130954;153145;62489;17111;1213;17111;0,1474;0,0894;0;12
COOPERATIVA  DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS UNIRONDÔNIA LTDA;1664968;b3S;S5;I;2;PORTO VELHO;RO;43344;169790;91508;141306;137322;28484;1476;27328;0,2396;0,2292;0;4
SANTANA S.A. - CFI - PRUDENCIAL;1000083474;n1;S4;C;2;SAO PAULO;SP;43344;168836;138726;128420;122395;40416;968;39457;0,1223;0,0126;2;0
COOPERATIVA DE CRÉDITO DOS MÉDICOS E DEMAIS PROFISSIONAIS DA SAÚDE DO SUL DE MINAS LTDA. - UNICRED SUL DE MINAS;71418784;b3S;S5;I;2;VARGINHA;MG;43344;167809;57617;151240;146873;16569;1487;16527;0,1944;0,0934;0;12
COOPERATIVA DE CRÉDITO DA REGIÃO DO CONTESTADO - SCRCRED;10218474;b3S;S5;I;2;SAO BENTO DO SUL;SC;43344;165236;108283;139505;123241;25731;-82;25715;0,1982;0,1434;0;11
COOPERATIVA DE CRÉDITO DA REGIÃO CENTRAL DE MINAS LTDA. – SICOOB UNIÃO CENTRAL;22749014;b3S;S5;I;2;PARAOPEBA;MG;43344;165223;50649;133378;117500;31846;716;29119;0,3764;0,0726;0;11
UNIPRIME CAMPOS GERAIS - COOPERATIVA DE CRÉDITO LTDA.;3234384;b3S;S5;I;2;PONTA GROSSA;PR;43344;164885;55139;134830;131488;30054;385;30039;0,3948;0,0307;0;4
TODESCREDI S/A - CFI - PRUDENCIAL;1000083546;n1;S4;I;2;BENTO GONCALVES;RS;43344;164251;165544;133810;128060;30442;2374;30442;0,1925;0,0017;2;0
SICOOB AC CREDI - COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DO LESTE E NORDESTE MINEIRO LTDA.;1559914;b3S;S5;I;2;GOVERNADOR VALADARES;MG;43344;163947;79782;127576;122179;36371;1838;30645;0,3082;0,0771;0;10
COOPERATIVA DE CRÉDITO DOS SERVIDORES DOS PODERES LEGISLATIVOS DO ESTADO DE MINAS GERAIS E DO SEU ÓRGÃO AUXILIAR LTDA. - SICOOB COFAL;21797311;b3S;S5;I;2;BELO HORIZONTE;MG;43344;163930;69920;122537;109751;41393;1737;37648;0,4701;0,0228;0;2
COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO UNICRED REGIÃO DA CAMPANHA LTDA - UNICRED REGIÃO DA CAMPANHA;1705236;b3S;S5;I;2;SANTANA DO LIVRAMENTO;RS;43344;162699;122061;135452;131884;27247;2286;27238;0,233;0,0567;0;2
AGORACRED S/A SCFI - PRUDENCIAL;1000083618;n1;S5;I;2;VITORIA;ES;43344;162059;164496;133405;125365;28654;2407;28044;0,182;0,1786;2;0
SICREDI BELEM - COOPERATIVA DE CRÉDITO;83315408;b3S;S5;I;2;BELEM;PA;43344;161570;57392;131597;125070;29973;137;29640;0,3754;0,204;0;1
COOPERATIVA DE CRÉDITO SICREDI CENTRO PERNAMBUCANA;41255225;b3S;S5;I;2;CARUARU;PE;43344;160757;71965;114554;107483;46204;1798;45808;0,4982;0,072;0;6
COOPERATIVA DE CREDITO SICREDI CREDSUPER;4138455;b3S;S5;I;2;NATAL;RN;43344;160180;144264;124346;117399;35834;2844;35802;0,2966;0,0058;0;2
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DAS REGIÕES SUDOESTE, SUL E OESTE DE GOIÁS;3047549;b3S;S5;I;2;RIO VERDE;GO;43344;158021;81239;127368;113815;30653;1646;29466;0,2904;0,1386;0;6
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DA REGIÃO CENTRAL DE RONDÔNIA   SICOOB OUROCREDI;2144899;b3S;S5;I;2;OURO PRETO DO OESTE;RO;43344;157996;118665;117406;62941;40590;1170;38627;0,3282;0,0904;0;12
COOPERATIVA DE CRÉDITO DOS EMPRESÁRIOS INDUSTRIAIS VINCULADOS À FIEMG LTDA - SICOOB CREDIFIEMG;7469260;b3S;S5;I;2;BELO HORIZONTE;MG;43344;157916;89823;130404;127848;27512;2644;25959;0,2752;0,0055;0;0
BEXS - PRUDENCIAL;1000080862;b2;S4;C;2;SAO PAULO;SP;43344;157829;0;79559;0;78270;10366;76913;0,1687;0,0667;4;0
COOPERATIVA DE CRÉDITO DO SERTÃO BAIANO LTDA - SICOOB SERTÃO;2057584;b3S;S5;I;2;PINTADAS;BA;43344;156905;85421;115382;104671;41524;2268;34085;0,3375;0,1423;0;33
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE GOIÂNIA, SENADOR CANEDO E REGIÕES LTDA. - CREDIGOIÁS;37255049;b3S;S5;I;2;GOIANIA;GO;43344;156853;60935;55691;38742;101162;1768;101109;1,0142;0,0279;0;0
VIC DTVM S/A - PRUDENCIAL;1000084002;n2;S4;I;2;RIO DE JANEIRO;RJ;43344;155014;11070;67427;0;87587;301;81349;0,3455;0,0001;2;0
ANDBANK - PRUDENCIAL;1000081256;b1;S4;C;3;SAO PAULO;SP;43344;153425;2537;55593;34929;97832;-2157;58733;0,223;0,116;4;0
COOPERATIVA DE CRÉDITO DO OESTE MINEIRO E REGIÃO METROPOLITANA DE BELO HORIZONTE LTDA. - SICOOB CREDIOESTE;25420696;b3S;S5;I;2;ABAETE;MG;43344;152376;79316;123291;94195;29085;-639;26155;0,2513;0,1227;0;10
COOPERATIVA DE CRÉDITO POUPANÇA E INVESTIMENTO DA ALTA NOROESTE DE SÃO PAULO - SICREDI ALTA NOROESTE SP;4484490;b3S;S5;I;2;BIRIGUI;SP;43344;152075;88037;127989;117628;24086;655;22340;0,1998;0,104;0;4
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO CREDIEMBRAPA LTDA - SICOOB.;2338666;b3S;S5;I;2;BRASILIA;DF;43344;149704;111475;113349;109873;36355;912;22630;0,2063;0,4139;0;6
ACESSO SOLUÇÕES DE PAGAMENTO - PRUDENCIAL;1000084806;n4;;I;2;SAO PAULO;SP;43344;149647;15546;121920;63071;27727;-2286;NA;NA%;NA%;1;0
COOPERATIVA DE CRÉDITO DO NORDESTE E CENTROS NORTE E SUL DA BAHIA LTDA. - SICOOB COOPERE;73398646;b3S;S5;I;2;VALENTE;BA;43344;149114;98946;109921;99586;39193;4163;33193;0,3142;0,0817;0;23
COOPERATIVA DE CRÉDITO RURAL DE GUARANI LTDA - SICOOB GUARANICREDI;26014175;b3S;S5;I;2;GUARANI;MG;43344;148716;39207;133831;127208;14885;231;12937;0,2074;0,2483;0;6
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE PERNAMBUCO - SICOOB PERNAMBUCO;3732359;b3S;S5;I;2;SAO JOSE DO EGITO;PE;43344;148671;105860;117443;110647;31228;1546;30912;0,2507;0,1517;0;19
CENTROCRED CFI - PRUDENCIAL;1000084727;n1;S4;I;2;SANTA CRUZ DO SUL;RS;43344;148074;137982;129372;124003;18702;-162;18702;0,1536;0,0002;2;0
DREBES FINANCEIRA S.A. - CFI - PRUDENCIAL;1000083656;n1;S4;I;2;ELDORADO;RS;43344;147648;158183;106165;98016;41483;701;41483;0,1937;0;2;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DA REGIÃO DE ITURAMA LTDA. - SICOOB CREDIRAMA;3412878;b3S;S5;I;2;ITURAMA;MG;43344;147529;109849;117134;70880;30395;1594;27135;0,2505;0,1043;0;4
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO DO NOROESTE DO ESTADO DE SÃO PAULO - SICREDI NOROESTE SP;3065046;b3S;S5;I;2;SAO JOSE DO RIO PRETO;SP;43344;147307;72405;124064;110721;23243;979;20578;0,1815;0,1662;0;6
COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS SERVIDORES DA FEDERAÇÃO DO COMÉRCIO, SESC E SENAC DE SÃO PAULO;62928320;b3S;S5;I;2;SAO PAULO;SP;43344;145254;125773;6649;0;138605;3424;138605;1,1449;0,0001;0;0
