Instituição financeira;Código;TCB;SR;TD;TC;Cidade;UF;Data;Captações;;;;;;;;;;;;;;;Instrumentos Derivativos (f);Outras Obrigações (g);Passivo Circulante e Exigível a Longo Prazo (h) = (e) + (f) + (g);Resultados de Exercícios Futuros (i);Patrimônio Líquido (j);Passivo Total (k) = (h) + (i) + (j)
;;;;;;;;;Depósito Total;;;;;;Obrigações por Operações Compromissadas (b);Recursos de Aceites e Emissão de Títulos;;;;;;Obrigações por Empréstimos e Repasses (d);Captações (e) = (a) + (b) + (c) + (d);;;;;;
;;;;;;;;;Depósitos à Vista (a1);Depósitos de Poupança (a2);Depósitos Interfinanceiros (a3);Depósitos a Prazo (a4);Outros Depósitos (a5);Depósito Total (a);;Letras de Crédito Imobiliário (c1);Letras de Crédito do Agronegócio (c2);Letras Financeiras (c3);Obrigações por Títulos e Valores Mobiliários no Exterior (c4);Outros Recursos de Aceites e Emissão de Títulos (c5);Recursos de Aceites e Emissão de Títulos (c);;;;;;;;
COOPERATIVA CENTRAL DE CRÉDITO, POUPANÇA E INVESTIMENTO DOS ESTADOS DO PARANÁ, SÃO PAULO E RIO DE JANEIRO - CENTRAL SICREDI PR/SP/RJ;80230774;b3C;S3;I;2;CURITIBA;PR;42979;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6949318;6949318;0;193352;7142670
BCO SUMITOMO MITSUI BRASIL S.A. - PRUDENCIAL;1000081720;b1;S3;C;3;SAO PAULO;SP;42979;65146;0;0;2367659;1;2432805;35197;0;0;0;0;0;0;2626367;5094369;166327;963429;6224126;4146;903293;7131566
APE POUPEX - PRUDENCIAL;1000081184;n1;S3;I;2;BRASILIA;DF;42979;0;0;52990;0;834292;887282;0;321729;0;0;0;0;321729;0;1209011;0;124837;1333848;0;5741405;7075254
JOHN DEERE - PRUDENCIAL;1000080343;b1;S4;C;3;INDAIATUBA;SP;42979;44990;0;140745;113120;0;298855;0;0;0;0;0;0;0;5396182;5695037;0;303745;5998783;14734;1002791;7016308
BCO FIBRA S.A. - PRUDENCIAL;1000081483;b1;S3;C;2;SAO PAULO;SP;42979;110980;0;5683;3704392;0;3821055;114294;393357;441711;163;0;0;835231;490938;5261517;139389;543000;5943906;8631;993359;6945896
BCO CSF S.A. - PRUDENCIAL;1000081610;b2;S3;I;3;SAO PAULO;SP;42979;4443;0;17967;0;0;22410;168109;0;0;436945;0;0;436945;0;627464;0;4094478;4721942;0;1999779;6721721
COOPERATIVA CENTRAL DE CRÉDITO DE SANTA CATARINA E RIO GRANDE DO SUL - SICOOB CENTRAL SC/RS;80160260;b3C;S4;I;2;FLORIANOPOLIS;SC;42979;708;0;0;3336776;645;3338129;0;0;0;0;0;0;0;216589;3554718;0;2752426;6307144;0;320496;6627641
BCO DO EST. DO PA S.A. - PRUDENCIAL;1000081586;b1;S4;I;1;BELEM;PA;42979;616541;820348;557588;3169529;0;5164006;55371;0;0;66008;0;0;66008;1232;5286618;0;308917;5595535;0;955384;6550919
HAITONG - PRUDENCIAL;1000080666;b2;S3;C;3;SAO PAULO;SP;42979;0;0;412616;1252644;0;1665260;3345560;0;0;122426;0;3852;126278;230106;5367204;58023;462194;5887421;699;571376;6459496
COOPERATIVA CENTRAL DE CRÉDITO DE MINAS GERAIS LTDA. - SICOOB CENTRAL CREDIMINAS;25683434;b3C;S4;I;2;BELO HORIZONTE;MG;42979;0;0;0;0;0;0;0;0;0;0;0;0;0;317343;317343;0;5553611;5870954;0;448862;6319816
PORTO SEGURO - PRUDENCIAL;1000080642;n1;S4;C;2;SAO PAULO;SP;42979;0;0;737591;0;0;737591;0;0;0;210868;0;0;210868;112231;1060690;18869;3940054;5019614;0;618625;5638239
COOPERATIVA CENTRAL DE CRÉDITO DO ESTADO DE SÃO PAULO - SICOOB SÃO PAULO;63917579;b3C;S4;I;2;RIBEIRAO PRETO;SP;42979;0;0;0;5112581;0;5112581;0;0;0;0;0;0;0;0;5112581;0;149771;5262351;0;253650;5516001
PARANÁ BANCO - PRUDENCIAL;1000080233;b1;S4;C;2;CURITIBA;PR;42979;6485;0;123908;2629095;0;2759487;8609;27932;0;1208964;0;0;1236896;28063;4033055;0;174018;4207073;6;1272888;5479967
COOPERATIVA DE CREDITO CREDICITRUS;54037916;b3S;S4;I;2;BEBEDOURO;SP;42979;510152;0;0;1705457;23570;2239178;0;0;833182;0;0;0;833182;2651;3075011;0;1015952;4090963;0;1357179;5448141
BCO TOYOTA DO BRASIL S.A. - PRUDENCIAL;1000081562;b2;S4;I;3;SAO PAULO;SP;42979;0;0;475611;197836;0;673447;24502;0;0;1247713;0;0;1247713;2048173;3993836;246815;454085;4694735;46896;598903;5340534
BCO DE LAGE LANDEN BRASIL S.A. - PRUDENCIAL;1000081421;b2;S4;I;3;PORTO ALEGRE;RS;42979;0;0;0;45350;0;45350;0;0;0;0;0;0;0;4046480;4091830;0;203494;4295324;77035;897280;5269639
HONDA - PRUDENCIAL;1000080611;b2;S4;C;3;SAO PAULO;SP;42979;0;0;2416554;42032;0;2458586;0;0;0;0;0;0;0;290801;2749388;56848;712048;3518284;4876;1548300;5071460
BOCOM - PRUDENCIAL;1000084624;b1;S4;C;3;SALVADOR;BA;42979;96632;0;18949;617531;0;733112;279253;53425;1077206;1030651;0;0;2161283;1053782;4227431;2307;195758;4425496;7388;570584;5003468
BCO DO EST. DE SE S.A. - PRUDENCIAL;1000081634;b1;S4;I;1;ARACAJU;SE;42979;571416;1193491;115411;1898266;1052;3779636;22799;35593;0;40522;0;0;76115;80809;3959358;0;594777;4554135;102;363814;4918052
CENTRAL DAS COOPERATIVAS DE ECONOMIA E CREDITO DO ESTADO DE MINAS GERAIS LTDA. - SICOOB CENTRAL CECREMGE;309024;b3C;S4;I;2;BELO HORIZONTE;MG;42979;11;0;0;56264;0;56275;0;0;0;0;0;0;0;0;56275;0;4550687;4606962;0;179187;4786149
CREFISA S.A. CFI - PRUDENCIAL;1000083632;b1;S4;C;2;SAO PAULO;SP;42979;1791;0;0;56505;599;58895;0;0;0;0;0;0;0;4082;62977;0;500861;563839;6;4194356;4758200
BANCO FIDIS - PRUDENCIAL;1000081751;b2;S4;I;3;BETIM;MG;42979;0;0;352642;2111982;0;2464624;121631;0;0;904781;0;0;904781;71338;3562375;207;338250;3900832;678;662041;4563551
COOPERATIVA DE CREDITO VALE DO ITAJAI - VIACREDI;82639451;b3S;S5;I;2;BLUMENAU;SC;42979;387744;0;132236;2513416;32041;3065437;0;0;0;0;0;0;0;5749;3071186;0;300147;3371332;0;1062136;4433468
SOFISA - PRUDENCIAL;1000080271;b1;S4;C;2;SAO PAULO;SP;42979;74720;0;33910;2712555;0;2821185;106590;164935;143697;59822;15841;0;384294;104191;3416261;54;243663;3659978;1552;757337;4418867
