Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total Geral;AA;A;B;C;D;E;F;G;H;Total Exterior;
BANCO DE DESENVOLVIMENTO DO ESPIRITO SANTO S.A.;28145829;b4;I;1;;5;VITORIA;ES;01/09/2013;928454;1784;640690;177608;61852;7857;4484;14542;3009;16629;0;
BANCO INTERMEDIUM S/A;416968;b1;I;2;;8;BELO HORIZONTE;MG;01/09/2013;925601;67761;729049;38721;22688;16088;7890;7700;6455;29248;0;
CREFISA S.A.-CREDITO, FINANCIAMENTO E INVESTIMENTOS;60779196;n1;I;2;;14;SAO PAULO;SP;01/09/2013;911356;0;571729;28021;43265;27916;46814;23294;25772;144544;0;
CREDIT AGRICOLE;51066;b1;C;3;;199;SAO PAULO;SP;01/09/2013;894316;842746;51570;0;0;0;0;0;0;0;0;
OMNI;50940;n1;C;2;;197;SAO PAULO;SP;01/09/2013;830287;0;120625;282541;204528;86170;27829;18891;17381;72324;0;
BANCO MONEO S.A.;7441209;b2;I;2;;8;CAXIAS DO SUL;RS;01/09/2013;829056;10710;101051;578491;56420;56230;12776;6773;421;6183;0;
BMW;51420;n1;C;3;;197;SAO PAULO;SP;01/09/2013;804119;174705;247688;176862;144849;56146;1586;446;461;1377;0;
AGÊNCIA DE FOMENTO DO ESTADO DE SANTA CATARINA S.A.-BADESC;82937293;n1;I;1;;30;FLORIANOPOLIS;SC;01/09/2013;722224;309035;182085;138271;41499;2158;4238;9770;1703;33465;0;
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO UNIÃO PARANÁ SÃO PAULO - SICREDI UNIÃO PR/SP;79342069;b3S;I;2;;9;MARINGA;PR;01/09/2013;713837;0;227615;376824;47735;24786;7945;5826;2705;20401;0;
DACASA FINANCEIRA S.A.-SOC. DE CRED. FINANC. E INVESTIMENTO;27406222;n1;I;2;;14;VITORIA;ES;01/09/2013;689224;0;447135;40919;26573;17230;16623;16469;16424;107851;0;
DESENVOLVE SP - AGÊNCIA DE FOMENTO DO ESTADO DE SÃO PAULO S.A.;10663610;n1;I;1;;30;SAO PAULO;SP;01/09/2013;684912;316658;137680;107243;68693;13436;11399;3674;1286;24842;0;
AGÊNCIA DE FOMENTO DO PARANÁ S.A.;3584906;n1;I;1;;30;CURITIBA;PR;01/09/2013;668206;81308;502025;79301;2320;749;514;314;252;1423;0;
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS PIONEIRA DA SERRA GAÚCHA   SICREDI PIONEIRA RS;91586982;b3S;I;2;;9;NOVA PETROPOLIS;RS;01/09/2013;588117;0;198515;114305;198422;49221;9566;4537;1799;11752;0;
CREDICOAMO CREDITO RURAL COOPERATIVA;81723108;b3S;I;2;;9;CAMPO MOURAO;PR;01/09/2013;576456;21466;329285;190992;22246;8486;1819;1122;264;776;0;
CAIXA GERAL;51815;b1;C;3;;199;SAO PAULO;SP;01/09/2013;574922;69897;105374;297752;101885;0;0;0;0;14;0;
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO VANGUARDA DA REGIÃO DAS CATARATAS DO IGUAÇU E VALE DO PARAIBA - SICREDI VANGUARDA PR/SP;78414067;b3S;I;2;;9;MEDIANEIRA;PR;01/09/2013;566023;0;247123;255971;25601;14063;6291;3353;1753;11868;0;
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS SERRO AZUL - SICREDI UNIÃO RS;88894548;b3S;I;2;;9;CERRO LARGO;RS;01/09/2013;541879;0;128494;129139;192876;45864;15829;8681;3326;17670;0;
RENDIMENTO;51468;b1;C;2;;199;SAO PAULO;SP;01/09/2013;530074;0;362434;79603;44984;20926;5954;1233;10773;4166;0;
BANCO A.J. RENNER S.A.;92874270;b1;I;2;;8;PORTO ALEGRE;RS;01/09/2013;516000;0;411343;53057;22156;7173;4048;3294;2290;12638;0;
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS SORRISO - SICREDI CELEIRO DO MT;26555235;b3S;I;2;;9;SORRISO;MT;01/09/2013;510440;0;35833;175936;244340;38342;3337;1004;2655;8993;0;
COOPERATIVA DE CRÉDITO DOS PEQUENOS EMPRESÁRIOS, MICROEMPRESÁRIOS E MICROEMPREENDEDORES - SICOOB CREDICOONAI.;53923116;b3S;I;2;;9;RIBEIRAO PRETO;SP;01/09/2013;507210;175;450366;13620;8016;3028;14155;4952;2599;10299;0;
BANCO COMMERCIAL INVESTMENT TRUST DO BRASIL S.A. - BANCO MÚLTIPLO;43818780;b2;I;3;;8;BARUERI;SP;01/09/2013;493145;118476;176770;180758;12712;2481;522;11;474;942;0;
BANCO GUANABARA S.A.;31880826;b1;I;2;;8;RIO DE JANEIRO;RJ;01/09/2013;492503;101;221921;162374;73831;14894;3021;7825;439;8097;0;
