Instituição financeira;Código;TCB;SR;TD;TC;Cidade;UF;Data;Patrimônio de Referência para Comparação com o RWA;;;;;Ativos Ponderados pelo Risco (RWA);;;;;;;;Exposição Total (j);Índice de Capital Principal (k) = (a) / (i);Índice de Capital Nível I (l) = (c) / (i);Índice de Basileia (m) = (e) / (i);Razão de Alavancagem (n) = (c) / (j);Índice de Imobilização (o)
;;;;;;;;;Patrimônio de Referência Nível I para Comparação com RWA;;;Capital Nível II (d);Patrimônio de Referência para Comparação com o RWA;RWA para Risco de Crédito (f);RWA para Risco de Mercado;;;;;RWA para Risco Operacional (h);Ativos Ponderados pelo Risco (RWA) (i) = (f) + (g) + (h);;;;;;
;;;;;;;;;Capital Principal para Comparação com RWA (a);Capital Complementar (b);Patrimônio de Referência Nível I para Comparação com RWA (c) = (a) + (b);;;;RWAcam (g1);RWAcom (g2);RWAjur (g3);RWAacs (g4);RWA para Risco de Mercado (g) = (g1) + (g2) + (g3) + (g4);;;;;;;;
BANESTES - PRUDENCIAL;1000080147;b1;;C;1;VITORIA;ES;42522;1187051;0;1187051;0;1187051;5022746;104353;0;69044;0;173397;1203437;6399580;17606078;0,1855;0,1855;0,1855;0,0674;0,2257
CREFISA S.A. CFI - PRUDENCIAL;1000083632;n1;;I;2;SAO PAULO;SP;42522;3401515;0;3401515;0;3401515;3133648;0;0;0;0;0;3262140;6395788;0;0,5318;0,5318;0,5318;NI%;0,0094
BCO TOKYO-MITSUBISHI BM S.A. - PRUDENCIAL;1000081713;b1;;I;3;SAO PAULO;SP;42522;1349854;0;1349854;0;1349854;4261336;82679;0;1298925;0;1381604;489165;6132105;19230856;0,2201;0,2201;0,2201;0,0702;0,041
CREDIT AGRICOLE - PRUDENCIAL;1000080491;b1;;C;3;SAO PAULO;SP;42522;810720;0;810720;0;810720;4863062;14036;0;862027;0;876063;264069;6003194;14346058;0,135;0,135;0,135;0,0565;0,0276
BCO SUMITOMO MITSUI BRASIL S.A. - PRUDENCIAL;1000081720;b1;;I;3;SAO PAULO;SP;42522;817587;0;817587;644674;1462262;5429357;140022;0;75808;0;215830;266445;5911633;9318821;0,1383;0,1383;0,2474;0,0877;0,004
GOLDMAN SACHS - PRUDENCIAL;1000080714;b2;;C;3;SAO PAULO;SP;42522;1367304;0;1367304;0;1367304;3045661;51738;9821;1650897;64548;1777004;1036850;5859515;7483957;0,2333;0,2333;0,2333;0,1827;0,0065
SOCIETE GENERALE - PRUDENCIAL;1000080264;b1;;C;3;SAO PAULO;SP;42522;1333573;0;1333573;0;1333573;3953026;36132;0;1365144;38522;1439797;193541;5586365;11505840;0,2387;0,2387;0,2387;0,1159;0,0679
JOHN DEERE - PRUDENCIAL;1000080343;b1;;C;3;INDAIATUBA;SP;42522;862798;0;862798;68825;931624;5083295;111055;0;0;0;111055;284705;5479055;5912313;0,1575;0,1575;0,17;0,1459;0,0055
HAITONG - PRUDENCIAL;1000080666;b2;;C;3;SAO PAULO;SP;42522;659100;0;659100;0;659100;2417211;112768;0;1844040;0;1956808;152615;4526634;9699350;0,1456;0,1456;0,1456;0,068;0,0497
PORTO SEGURO - PRUDENCIAL;1000080642;n1;;C;2;SAO PAULO;SP;42522;614244;0;614244;0;614244;3522187;0;0;44070;0;44070;692964;4259222;0;0,1442;0,1442;0,1442;NI%;0,0054
HONDA - PRUDENCIAL;1000080611;b2;;C;3;SAO PAULO;SP;42522;953457;0;953457;0;953457;3983590;0;0;0;0;0;238510;4222100;5869613;0,2258;0,2258;0,2258;0,1624;0,0169
BCO CSF S.A. - PRUDENCIAL;1000081610;b2;;I;3;SAO PAULO;SP;42522;1609098;0;1609098;0;1609098;3962259;7449;0;0;0;7449;216450;4186158;6168189;0,3844;0,3844;0,3844;0,2609;0,0217
J.MALUCELLI - PRUDENCIAL;1000080233;b1;;C;2;CURITIBA;PR;42522;1128210;0;1128210;0;1128210;3313326;7148;19;11424;12492;31083;752479;4096888;5554553;0,2754;0,2754;0,2754;0,2031;0,295
BCO DE LAGE LANDEN BRASIL S.A. - PRUDENCIAL;1000081421;b2;;I;3;PORTO ALEGRE;RS;42522;805351;0;805351;0;805351;3855333;465;0;0;0;465;159633;4015430;5236358;0,2006;0,2006;0,2006;0,1538;0,0238
BCO FIBRA S.A. - PRUDENCIAL;1000081483;b1;;C;2;SAO PAULO;SP;42522;587318;0;587318;0;587318;3711872;12269;58937;83899;0;155105;112403;3979380;6430081;0,1476;0,1476;0,1476;0,0913;0,0173
VOLVO - PRUDENCIAL;1000080769;b2;;C;3;CURITIBA;PR;42522;693420;0;693420;0;693420;3585622;0;0;0;0;0;376207;3961829;4309578;0,175;0,175;0,175;0,1609;0,0182
RODOBENS - PRUDENCIAL;1000080855;b1;;C;2;SAO PAULO;SP;42522;948666;0;948666;0;948666;3206979;0;0;0;0;0;741215;3948195;3090553;0,2403;0,2403;0,2403;0,307;0,3008
PERNAMBUCANAS - PRUDENCIAL;1000080305;n1;;C;2;SAO PAULO;SP;42522;487201;0;487201;0;487201;2452428;0;0;1220914;0;1220914;256098;3929440;0;0,124;0,124;0,124;NI%;0,0885
ING - PRUDENCIAL;1000080501;b1;;C;3;SAO PAULO;SP;42522;835763;0;835763;0;835763;2787370;42257;0;736013;0;778270;248278;3813918;8554227;0,2191;0,2191;0,2191;0,0977;0,003
BADESUL DESENVOLVIMENTO AF/RS - PRUDENCIAL;1000081029;n1;;I;1;PORTO ALEGRE;RS;42522;543316;0;543316;0;543316;3462119;4662;0;0;0;4662;329669;3796450;0;0,1431;0,1431;0,1431;NI%;0,0591
