Instituição financeira;Código;TCB;TD;TC;Cidade;UF;Data;Instituição Sujeita à Apuração da Exposição Total;Instituição Sujeita à Apuração do Patrimônio de Referência;Instituição Utiliza Metodologia Simplificada;Exposição Total ou Ativo Total (R$ mil);Total de Ativos Consolidados no Exterior (US$ mil);Data da Última Alteração de Segmento;SR
BS2 - PRUDENCIAL;1000080422;b1;C;2;BELO HORIZONTE;MG;43252;Sim;Sim;Não;4114201;NI;42736;S4
SANTINVEST - PRUDENCIAL;1000080446;n1;I;2;FLORIANOPOLIS;SC;43252;Não;Sim;Não;256645;NI;42736;S4
BROOKFIELD - PRUDENCIAL;1000080453;n2;I;3;RIO DE JANEIRO;RJ;43252;Não;Sim;Não;42793;NI;42736;S4
OMNI - PRUDENCIAL;1000080460;b1;C;2;SAO PAULO;SP;43252;Sim;Sim;Não;2584372;NI;42736;S4
INDUSTRIAL DO BRASIL - PRUDENCIAL;1000080477;b1;C;2;SAO PAULO;SP;43252;Sim;Sim;Não;3504931;19885;42736;S4
OPPORTUNITY - PRUDENCIAL;1000080518;n2;I;2;RIO DE JANEIRO;RJ;43252;Não;Sim;Não;7639;NI;42736;S4
CM CAPITAL MARKETS - PRUDENCIAL;1000080549;n2;C;3;SAO PAULO;SP;43252;Não;Sim;Não;66952;NI;42736;S4
PLANNER - PRUDENCIAL;1000080587;n1;C;2;SAO PAULO;SP;43252;Não;Sim;Não;144211;NI;42736;S4
HONDA - PRUDENCIAL;1000080611;b2;C;3;SAO PAULO;SP;43252;Sim;Sim;Não;6766408;NI;42736;S4
BMW - PRUDENCIAL;1000080635;n1;C;3;SAO PAULO;SP;43252;Não;Sim;Não;1659471;NI;42736;S4
PORTO SEGURO - PRUDENCIAL;1000080642;n1;C;2;SAO PAULO;SP;43252;Não;Sim;Não;6500200;NI;42736;S4
RENDIMENTO - PRUDENCIAL;1000080659;b1;C;2;SAO PAULO;SP;43252;Sim;Sim;Não;3078821;NI;42736;S4
LECCA - PRUDENCIAL;1000080680;n1;C;2;RIO DE JANEIRO;RJ;43252;Não;Sim;Não;108287;NI;42736;S4
MIZUHO - PRUDENCIAL;1000080697;b1;C;3;SAO PAULO;SP;43252;Sim;Sim;Não;5023517;85372;42736;S4
COINVALORES - PRUDENCIAL;1000080707;n2;C;2;SAO PAULO;SP;43252;Não;Sim;Não;68536;NI;42736;S4
YAMAHA MOTOR - PRUDENCIAL;1000080721;b2;C;3;GUARULHOS;SP;43252;Sim;Sim;Não;979647;NI;42736;S4
NSG CAPITAL - PRUDENCIAL;1000080752;n2;C;2;RIO DE JANEIRO;RJ;43252;Não;Sim;Não;1945;NI;42736;S4
VOLVO - PRUDENCIAL;1000080769;b2;C;3;CURITIBA;PR;43252;Sim;Sim;Não;3377334;NI;42736;S4
SCANIA - PRUDENCIAL;1000080776;b2;C;3;SAO BERNARDO DO CAMPO;SP;43252;Sim;Sim;Não;2395640;NI;42736;S4
CONFIDENCE - PRUDENCIAL;1000080783;b2;C;2;SAO PAULO;SP;43252;Sim;Sim;Não;351970;NI;42736;S4
FINAXIS - PRUDENCIAL;1000080790;b1;C;2;CURITIBA;PR;43252;Sim;Sim;Não;54131;NI;42736;S4
RANDON - PRUDENCIAL;1000080800;b2;C;2;CAXIAS DO SUL;RS;43252;Sim;Sim;Não;516420;NI;42736;S4
GAZIN - PRUDENCIAL;1000080824;n1;C;2;DOURADINA;PR;43252;Não;Sim;Não;77971;NI;42736;S4
QUERO-QUERO - PRUDENCIAL;1000080831;n1;I;2;SANTO CRISTO;RS;43252;Não;Sim;Não;247977;0;42736;S4
RODOBENS - PRUDENCIAL;1000080855;b1;C;2;SAO PAULO;SP;43252;Sim;Sim;Não;2849939;NI;42736;S4
