Instituição financeira;Código;TCB;SR;TD;TC;Cidade;UF;Data;Resultado de Intermediação Financeira;;;;;;;;;;;;;;Outras Receitas/Despesas Operacionais;;;;;;;;;Resultado Operacional (e) = (c) + (d);Resultado Não Operacional (f);Resultado antes da Tributação, Lucro e Participação (g) = (e) + (f);Imposto de Renda e Contribuição Social (h);Participação nos Lucros (i);Lucro Líquido (j) = (g) + (h) + (i);Juros Sobre Capital Próprio (k)
;;;;;;;;;Receitas de Intermediação Financeira;;;;;;;Despesas de Intermediação Financeira;;;;;;Resultado de Intermediação Financeira (c) = (a) + (b);Rendas de Prestação de Serviços (d1);Rendas de Tarifas Bancárias (d2);Despesas de Pessoal (d3);Despesas Administrativas (d4);Despesas Tributárias (d5);Resultado de Participações (d6);Outras Receitas Operacionais (d7);Outras Despesas Operacionais (d8);Outras Receitas/Despesas  Operacionais (d) = (d1) + (d2) + (d3) + (d4) + (d5) + (d6) + (d7) + (d8);;;;;;;
;;;;;;;;;Rendas de Operações de Crédito (a1);Rendas de Operações de Arrendamento Mercantil (a2);Rendas de Operações com TVM (a3);Rendas de Operações com Instrumentos Financeiros Derivativos (a4);Resultado de Operações de Câmbio (a5);Rendas de Aplicações Compulsórias (a6);Receitas de Intermediação Financeira (a) = (a1) + (a2) + (a3) + (a4) + (a5) + (a6);Despesas de Captação (b1);Despesas de Obrigações por Empréstimos e Repasses (b2);Despesas de Operações de Arrendamento Mercantil (b3);Resultado de Operações de Câmbio (b4);Resultado de Provisão para Créditos de Difícil Liquidação (b5);Despesas de Intermediação Financeira (b) = (b1) + (b2) + (b3) + (b4) + (b5);;;;;;;;;;;;;;;;;
BONSUCESSO;50706;b1;;C;2;BELO HORIZONTE;MG;41334;163513;0;18212;-10200;71;0;171596;-65980;-122;0;0;-35883;-101985;69612;4723;957;-12829;-54306;-7346;4528;15180;-26306;-75398;-5787;-448;-6235;4096;0;-2139;0
BARCLAYS;51705;b1;;C;3;SAO PAULO;SP;41334;6617;0;155239;8474;0;0;170330;-115788;-375;0;-15181;-9;-131353;38978;30920;0;-28442;-13123;-694;-127;7418;-20692;-24740;14238;109;14347;-8211;-6122;14;0
MIDWAY S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO;9464032;n1;;I;2;SAO PAULO;SP;41334;160562;0;5920;0;0;0;166482;-6481;0;0;-2;6433;-50;166432;20752;1643;-2860;-40792;-9551;0;869;-93534;-123473;42959;-3;42956;-16907;-364;25685;0
J.MALUCELLI;30881;b1;;C;2;CURITIBA;PR;41334;145496;0;10515;0;0;0;156011;-44075;-491;0;0;-19770;-64336;91675;2719;581;-7616;-40774;-5363;7454;3179;-1553;-41372;50303;17;50320;-10210;-594;39516;-14839
HP FINANCIAL SERVICES ARRENDAMENTO MERCANTIL S.A.;97406706;n1;;I;3;BARUERI;SP;41334;498;154853;0;0;0;0;155351;0;-18864;-125629;0;-25978;-170471;-15120;0;0;0;-4497;-1000;0;1623;-548;-4422;-19542;235;-19307;7757;0;-11550;0
SOFISA;31873;b1;;C;2;SAO PAULO;SP;41334;70572;32960;34102;-4557;2186;0;135262;-62422;-7351;-33067;0;-3938;-106777;28485;34;2492;-16505;-15219;-2707;2249;7913;-7423;-29166;-681;272;-409;1708;-743;556;0
MORGAN STANLEY;51413;b1;;C;3;SAO PAULO;SP;41334;0;0;115565;17077;2339;0;134981;-64504;-544;0;0;0;-65048;69933;43889;0;-48736;-13836;-8367;3998;1736;-2757;-24073;45861;0;45861;-20874;0;24986;0
TOYOTA;51334;b2;;C;3;SAO PAULO;SP;41334;103541;51795;6686;-29456;0;0;132566;-24457;-45271;-46116;0;-5453;-121297;11268;0;9124;-6839;-25349;-5198;0;59746;-1203;30281;41549;-1585;39964;-15797;-478;23689;0
BANCO CNH CAPITAL S.A.;2992446;b2;;I;3;CURITIBA;PR;41334;111662;16451;4934;-779;0;0;132268;-13825;-16520;-13254;0;-20758;-64356;67911;1201;1;-7179;-6903;-3702;0;4985;-10799;-22396;45516;207;45723;-17980;-912;26831;0
PSA FINANCE;51365;b2;;C;3;SAO PAULO;SP;41334;54991;57921;22944;-9390;0;0;126466;-27264;-954;-55173;0;-11820;-95211;31254;861;5545;-4211;-11754;-1207;0;7319;-12730;-16178;15076;-180;14896;-4308;-378;10210;-6674
