Instituição financeira;Código;TCB;SR;TD;TC;Cidade;UF;Data;Disponibilidades (a);Aplicações Interfinanceiras de Liquidez (b);TVM e Instrumentos Financeiros Derivativos (c);Operações de Crédito;;;Arrendamento Mercantil;;;;;Outros Créditos - Líquido de Provisão (f);Outros Ativos Realizáveis (g);Permanente Ajustado (h);Ativo Total Ajustado (i) = (a) + (b) + (c) + (d) + (e) + (f) + (g) + (h);Credores por Antecipação de Valor Residual (j);Ativo Total (k) = (i) - (j)
;;;;;;;;;;;;Operações de Crédito (d1);Provisão sobre Operações de Crédito (d2);Operações de Crédito Líquidas de Provisão (d);Arrendamento Mercantil a Receber (e1);Imobilizado de Arrendamento (e2);Credores por Antecipação de Valor Residual (e3);Provisão sobre Arrendamento Mercantil (e4);Arrendamento Mercantil Líquido de Provisão (e);;;;;;
J.MALUCELLI;30881;b1;;C;2;CURITIBA;PR;41334;174;495715;161894;2506528;-79535;2426993;0;0;0;0;0;69712;91671;599799;3845957;0;3845957
BANCO CATERPILLAR S.A.;2658435;b2;;I;3;SAO PAULO;SP;41334;717;0;573234;3184721;-97993;3086728;159;53318;31173;-438;84211;96561;14134;2256;3857842;31173;3826669
ING;51073;b1;;C;3;SAO PAULO;SP;41334;251;1385290;522936;321208;-101;321108;0;0;0;0;0;1498148;873;3571;3732176;0;3732176
TOYOTA;51334;b2;;C;3;SAO PAULO;SP;41334;4037;392809;228295;2540231;-49125;2491106;1755;362609;220163;-3634;580893;199880;15770;26702;3939492;220163;3719329
JOHN DEERE;50071;b1;;C;3;INDAIATUBA;SP;41334;1527;59039;0;3453717;-79633;3374084;0;0;0;0;0;52025;20071;3993;3510739;0;3510739
BANCO VOLVO BRASIL S.A.;58017179;b2;;I;3;CURITIBA;PR;41334;3759;13252;0;3252500;-98793;3153707;2617;147890;62744;-4198;209053;79183;6741;33153;3498849;62744;3436104
BONSUCESSO;50706;b1;;C;2;BELO HORIZONTE;MG;41334;1782;238926;491669;2368289;-124991;2243297;0;0;0;0;0;271693;76148;84891;3408407;0;3408407
PSA FINANCE;51365;b2;;C;3;SAO PAULO;SP;41334;4759;23605;233566;2551833;-51062;2500771;740;204935;146640;-2275;350040;241381;0;1381;3355501;146640;3208861
BANCO DO ESTADO DE SERGIPE S.A.;13009717;b1;;I;1;ARACAJU;SE;41334;74308;427596;555107;1607868;-51204;1556664;0;0;0;0;0;162752;347338;82444;3206208;0;3206208
COOPERATIVA DE CRÉDITO CREDICITRUS;54037916;b3S;;I;2;BEBEDOURO;SP;41334;2408;0;1083918;1971150;-45396;1925754;0;0;0;0;0;34463;14457;117803;3178803;0;3178803
BANCO CSF S.A.;8357240;b2;;I;3;SAO PAULO;SP;41334;12846;7492;138532;1007914;-316449;691465;0;0;0;0;0;2286439;8461;30396;3175632;0;3175632
BADESUL DESENVOLVIMENTO S.A - AGÊNCIA DE FOMENTO/RS;2885855;n1;;I;1;PORTO ALEGRE;RS;41334;66;0;558040;2575930;-78362;2497568;0;0;0;0;0;48729;135;4215;3108754;0;3108754
ORIGINAL;51781;b1;;C;2;PORTO ALEGRE;RS;41334;988;891604;985804;844965;-67302;777663;0;0;0;0;0;225642;35854;151112;3068668;0;3068668
BBM;30207;b1;;C;2;SALVADOR;BA;41334;13187;1016197;597804;995796;-12415;983381;0;0;0;0;0;378192;4858;63644;3057264;0;3057264
CREDIT AGRICOLE;51066;b1;;C;3;SAO PAULO;SP;41334;23575;1382634;385762;49806;-195;49611;0;0;0;0;0;1167431;4070;19319;3032402;0;3032402
COOPERATIVA CENTRAL DE CRÉDITO DO ESTADO DE SÃO PAULO - SICOOB SÃO PAULO;63917579;b3C;;I;3;RIBEIRAO PRETO;SP;41334;42;2779516;77479;24;-2;21;0;0;0;0;0;1327;25;62027;2920437;0;2920437
BANCO SUMITOMO MITSUI BRASILEIRO S.A.;60518222;b1;;I;3;SAO PAULO;SP;41334;10358;839415;528050;556464;-1078;555385;0;0;0;0;0;661693;130560;2825;2728286;0;2728286
COOPERATIVA CENTRAL DE CRÉDITO DOS ESTADOS DO PARANÁ E DE SÃO PAULO - CENTRAL SICREDI PR/SP;80230774;b3C;;I;2;CURITIBA;PR;41334;6;637642;1809482;84887;-13;84873;0;0;0;0;0;63803;103;32458;2628367;0;2628367
PORTO SEGURO;51444;n1;;C;2;SAO PAULO;SP;41334;8884;0;117569;945488;-104919;840569;0;0;0;0;0;1542294;4070;7021;2520407;0;2520407
STANDARD CHARTERED BANK (BRASIL) S.A. ? BANCO DE INVESTIMENTO;11932017;b2;;I;3;SAO PAULO;SP;41334;4127;828175;300824;0;0;0;0;0;0;0;0;1358132;1039;867;2493165;0;2493165
INDUSTRIAL DO BRASIL;50988;b1;;C;2;SAO PAULO;SP;41334;6629;306368;353291;1084878;-39174;1045705;0;5622;4391;0;10013;530736;32607;35756;2321106;4391;2316715
HONDA;51396;b2;;C;3;SAO PAULO;SP;41334;518;93667;119;2164311;-135197;2029114;68;6307;6265;-167;12473;157416;19143;3104;2315553;6265;2309288
COOPERATIVA CENTRAL DE CREDITO DE SANTA CATARINA-SICOOB CENTRAL SC;80160260;b3C;;I;2;FLORIANOPOLIS;SC;41334;46;1680882;244410;89670;-510;89160;0;0;0;0;0;3222;851;71076;2089647;0;2089647
XP INVESTIMENTOS CORRETORA DE CÂMBIO,TÍTULOS E VALORES MOBILIÁRIOS S/A;2332886;n2;;I;3;RIO DE JANEIRO;RJ;41334;675;230949;300226;0;0;0;0;0;0;0;0;1438380;6542;16471;1993242;0;1993242
COOPERATIVA CENTRAL DE CRÉDITO DE MINAS GERAIS LTDA. - SICOOB CENTRAL CREDIMINAS;25683434;b3C;;I;2;BELO HORIZONTE;MG;41334;604;873228;713294;61959;-451;61509;0;0;0;0;0;25103;144149;150164;1968050;0;1968050
RODOBENS;51736;b1;;C;2;SAO PAULO;SP;41334;694;2384;322165;1319312;-40078;1279234;1718;136195;6348;-994;143267;56862;51348;95934;1951888;6348;1945540
BANCO CARGILL S.A.;3609817;b1;;I;3;SAO PAULO;SP;41334;37163;454398;127066;469893;-5872;464021;0;0;0;0;0;817900;1281;181;1902010;0;1902010
COOPERATIVA DE CRÉDITO DOS PRODUTORES RURAIS E EMPRESÁRIOS DO INTERIOR PAULISTA;71328769;b3S;;I;2;SERTAOZINHO;SP;41334;6359;30279;551310;995887;-45905;949982;0;0;0;0;0;246780;31069;49587;1865365;0;1865365
BANIF;20255;b1;;C;3;SAO PAULO;SP;41334;8212;38396;394037;1067483;-182108;885374;0;0;0;0;0;317821;95351;10823;1750015;0;1750015
BANCO TRIANGULO S.A.;17351180;b1;;I;2;UBERLANDIA;MG;41334;255;284530;126210;1013946;-97805;916140;0;0;0;0;0;247962;73625;50619;1699342;0;1699342
SOCOPA;50328;b1;;C;2;SAO PAULO;SP;41334;138699;369568;307743;185993;-9712;176280;0;0;0;0;0;632760;25854;6213;1657117;0;1657117
COOPERATIVA CENTRAL DE CRÉDITO DE MATO GROSSO, PARÁ E RONDÔNIA - CENTRAL SICREDI MT/PA/RO;33667205;b3C;;I;2;CUIABA;MT;41334;8;476982;927378;166394;-759;165635;0;0;0;0;0;30971;73;23552;1624598;0;1624598
SCANIA BANCO S.A.;11417016;b2;;I;3;SAO BERNARDO DO CAMPO;SP;41334;85;0;41053;1543709;-53254;1490456;1009;26874;3107;-2970;28020;31906;515;1349;1593383;3107;1590276
PERNAMBUCANAS;40699;n1;;C;2;SAO PAULO;SP;41334;29906;85643;1836;995501;-248785;746716;0;0;0;0;0;696382;332;1572;1562387;0;1562387
RENDIMENTO;51468;b1;;C;2;SAO PAULO;SP;41334;295215;198497;55377;486442;-27489;458952;0;0;0;0;0;462542;21403;33910;1525896;0;1525896
CENTRAL DAS COOPERATIVAS DE ECONOMIA E CREDITO DO ESTADO DE MINAS GERAIS LTDA. - SICOOB CENTRAL CECREMGE;309024;b3C;;I;2;BELO HORIZONTE;MG;41334;69;956235;414373;46342;-839;45503;0;0;0;0;0;3589;72;51495;1471336;0;1471336
COOPERATIVA DE CREDITO VALE DO ITAJAI - VIACREDI;82639451;b3S;;I;2;BLUMENAU;SC;41334;8366;0;375562;970294;-20672;949622;0;0;0;0;0;6985;14852;81396;1436781;0;1436781
OMNI;50940;n1;;C;2;SAO PAULO;SP;41334;6742;17614;116076;1055913;-129394;926519;0;0;0;0;0;161078;129965;62053;1420048;0;1420048
AGÊNCIA DE FOMENTO DO PARANÁ S.A.;3584906;n1;;I;1;CURITIBA;PR;41334;34;0;703071;683242;-5133;678109;0;0;0;0;0;13777;234;901;1396126;0;1396126
BANCO DE DESENVOLVIMENTO DO ESPIRITO SANTO S.A.;28145829;b4;;I;1;VITORIA;ES;41334;744;277168;184608;874523;-33287;841236;0;0;0;0;0;20280;4435;21447;1349917;0;1349917
HP FINANCIAL SERVICES ARRENDAMENTO MERCANTIL S.A.;97406706;n1;;I;3;BARUERI;SP;41334;7444;0;0;0;0;0;23259;1274339;17408;-51392;1263614;61332;279;988;1333656;17408;1316248
CREFISA S.A.-CREDITO, FINANCIAMENTO E INVESTIMENTOS;60779196;n1;;I;2;SAO PAULO;SP;41334;7516;493706;113805;825038;-203022;622016;0;0;0;0;0;52496;267;16346;1306153;0;1306153
FATOR;50122;b1;;C;2;SAO PAULO;SP;41334;833;153665;776034;69466;-3216;66250;0;0;0;0;0;157569;2170;142508;1299030;0;1299030
MIDWAY S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO;9464032;n1;;I;2;SAO PAULO;SP;41334;165;111653;166292;691800;-223768;468032;0;0;0;0;0;541301;0;913;1288355;0;1288355
CAIXA GERAL;51815;b1;;C;3;SAO PAULO;SP;41334;2201;220163;397265;432272;-4988;427284;0;0;0;0;0;184043;3517;47355;1281828;0;1281828
WESTLB;51554;b1;;I;3;SAO PAULO;SP;41334;6626;25784;464087;355256;-1199;354057;0;0;0;0;0;407863;564;2650;1261630;0;1261630
COOPERFORTE - COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS FUNCIONÁRIOS DE INSTITUIÇÕES FINANCEIRAS PÚBLICAS FEDERAIS LTDA.;1658426;b3S;;I;2;BRASILIA;DF;41334;84;19042;290633;935373;-20534;914839;0;0;0;0;0;2512;5304;16813;1249228;0;1249228
NOSSA CAIXA DESENVOLVIMENTO - AGÊNCIA DE FOMENTO DO ESTADO DE SÃO PAULO S.A.;10663610;n1;;I;1;SAO PAULO;SP;41334;1;11797;566747;670729;-29526;641202;0;0;0;0;0;13279;859;3318;1237204;0;1237204
BANCO INTERMEDIUM S/A;416968;b1;;I;2;BELO HORIZONTE;MG;41334;1347;75412;164405;920347;-49435;870911;0;0;0;0;0;32273;66799;12325;1223472;0;1223472
BANCO MODAL S.A.;30723886;b1;;I;2;RIO DE JANEIRO;RJ;41334;4584;50632;635185;334143;-5366;328776;0;0;0;0;0;72935;73077;24377;1189566;0;1189566
BANCO FORD S.A.;90731688;b2;;I;3;SAO PAULO;SP;41334;528;462557;0;661434;-12007;649427;0;0;0;0;0;24754;0;0;1137267;0;1137267
COOPERATIVA CENTRAL DE CRÉDITO RURAL COM INTERAÇÃO SOLIDÁRIA - CENTRAL CRESOL BASER;1401771;b3C;;I;2;FRANCISCO BELTRAO;PR;41334;36;30469;337797;13026;-145;12881;0;0;0;0;0;3653;732847;4514;1122197;0;1122197
CREDICOAMO CREDITO RURAL COOPERATIVA;81723108;b3S;;I;2;CAMPO MOURAO;PR;41334;1509;610894;57160;439058;-9761;429297;0;0;0;0;0;2670;173;184;1101888;0;1101888
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO UNIÃO PARANÁ - SICREDI UNIÃO PR;79342069;b3S;;I;2;MARINGA;PR;41334;13681;209;0;672718;-31889;640829;0;0;0;0;0;20535;355034;52373;1082661;0;1082661
BANCO GUANABARA S.A.;31880826;b1;;I;2;RIO DE JANEIRO;RJ;41334;735;434851;37881;509990;-13840;496150;197;55738;38911;-2497;92350;3765;9552;2702;1077986;38911;1039075
COOPERATIVA CENTRAL DE CRÉDITO RURAL COM INTERAÇÃO SOLIDÁRIA - CRESOL CENTRAL SC/RS;7202627;b3C;;I;2;CHAPECO;SC;41334;2931;7205;329225;2788;-38;2750;0;0;0;0;0;14583;671046;6202;1033942;0;1033942
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS PIONEIRA DA SERRA GAÚCHA   SICREDI PIONEIRA RS;91586982;b3S;;I;2;NOVA PETROPOLIS;RS;41334;8611;0;31687;524815;-31544;493271;0;0;0;0;0;19739;392070;55370;1000747;0;1000747
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO CATARATAS DO IGUAÇU - SICREDI CATARATAS DO IGUAÇU;78414067;b3S;;I;2;MEDIANEIRA;PR;41334;5534;0;12360;544136;-23395;520741;0;0;0;0;0;16583;349308;41879;946405;0;946405
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS SORRISO - SICREDI CELEIRO DO MT;26555235;b3S;;I;2;SORRISO;MT;41334;3907;41480;0;493793;-22629;471164;0;0;0;0;0;8151;377298;36289;938289;0;938289
INTERCAP;50476;b1;;C;2;SAO PAULO;SP;41334;125046;229103;122963;352594;-30134;322459;0;0;0;0;0;118096;1112;1434;920214;0;920214
SICOOB CREDICOM - COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS MÉDICOS E PROFISSIONAIS DA ÁREA DE SAÚDE DE BELO HORIZONTE E CIDADES PÓLO DE MINAS GERAIS LTDA.;42898825;b3S;;I;2;BELO HORIZONTE;MG;41334;9682;0;194;280296;-7690;272606;0;0;0;0;0;15830;555290;15228;868831;0;868831
BANCO MONEO S.A.;7441209;b2;;I;2;CAXIAS DO SUL;RS;41334;11;30978;0;761393;-24631;736763;0;0;0;0;0;21243;32928;694;822617;0;822617
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS OURO VERDE DE MATO GROSSO - SICREDI OURO VERDE MT;26565770;b3S;;I;2;LUCAS DO RIO VERDE;MT;41334;2721;0;0;500722;-24409;476313;0;0;0;0;0;8997;296616;35423;820070;0;820070
DESENBAHIA - AGENCIA DE FOMENTO DO ESTADO DA BAHIA S.A.;15163587;n1;;I;1;SALVADOR;BA;41334;272;11303;363612;389089;-26942;362147;0;0;0;0;0;29155;4400;48874;819762;0;819762
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS SERRO AZUL - SICREDI UNIÃO RS;88894548;b3S;;I;2;CERRO LARGO;RS;41334;5392;6;633;478655;-40998;437657;0;0;0;0;0;21176;299857;53033;817755;0;817755
BMW;51420;n1;;C;3;SAO PAULO;SP;41334;12028;0;8914;644391;-10808;633583;84;118884;88860;-720;207108;33161;3991;910;899695;88860;810835
