Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total_Carteira_PF;PF_Consignado_Vencido_15d;PF_Consignado_Vencer_90d;PF_Consignado_Vencer_91-360d;PF_Consignado_Vencer_361-1080d;PF_Consignado_Vencer_1081-1800d;PF_Consignado_Vencer_1801-5400d;PF_Consignado_Vencer_acima_5400d;PF_Consignado_TOTAL;PF_Não_Consignado_Vencido_15d;PF_Não_Consignado_Vencer_90d;PF_Não_Consignado_Vencer_91-360d;PF_Não_Consignado_Vencer_361-1080d;PF_Não_Consignado_Vencer_1081-1800d;PF_Não_Consignado_Vencer_1801-5400d;PF_Não_Consignado_Vencer_acima_5400d;PF_Não_Consignado_TOTAL;PF_Veículos_Vencido_15d;PF_Veículos_Vencer_90d;PF_Veículos_Vencer_91-360d;PF_Veículos_Vencer_361-1080d;PF_Veículos_Vencer_1081-1800d;PF_Veículos_Vencer_1801-5400d;PF_Veículos_Vencer_acima_5400d;PF_Veículos_TOTAL;PF_Hab_Vencido_15d;PF_Hab_Vencer_90d;PF_Hab_Vencer_91-360d;PF_Hab_Vencer_361-1080d;PF_Hab_Vencer_1081-1800d;PF_Hab_Vencer_1801-5400d;PF_Hab_Vencer_acima_5400d;PF_Hab_TOTAL;PF_Cartão_Vencido_15d;PF_Cartão_Vencer_90d;PF_Cartão_Vencer_91-360d;PF_Cartão_Vencer_361-1080d;PF_Cartão_Vencer_1081-1800d;PF_Cartão_Vencer_1801-5400d;PF_Cartão_Vencer_acima_5400d;PF_Cartão_TOTAL;PF_Rural_Vencido_15d;PF_Rural_Vencer_90d;PF_Rural_Vencer_91-360d;PF_Rural_Vencer_361-1080d;PF_Rural_Vencer_1081-1800d;PF_Rural_Vencer_1801-5400d;PF_Rural_Vencer_acima_5400d;PF_Rural_TOTAL;PF_Outros_Vencido_15d;PF_Outros_Vencer_90d;PF_Outros_Vencer_91-360d;PF_Outros_Vencer_361-1080d;PF_Outros_Vencer_1081-1800d;PF_Outros_Vencer_1801-5400d;PF_Outros_Vencer_acima_5400d;Outros_TOTAL;Total_Exterior_PF
BANCO COOPERATIVO SICREDI S.A.;1181521;b1;I;2;;11;PORTO ALEGRE;RS;01/03/2014;3823569;0;0;0;0;0;0;0;0;1506;177;4908;574;277;0;0;7443;0;5466;17780;44389;35279;33445;0;136359;0;211;472;1233;1246;4784;4097;12042;0;0;0;0;0;0;0;0;0;194336;394815;1050461;849191;1071066;0;3559868;1747;14515;39027;43208;8844;516;0;107857;0
BANCO DO NORDESTE DO BRASIL S.A.;7237373;b1;I;1;;8;FORTALEZA;CE;01/03/2014;3631810;503;10576;29634;51312;16196;172;0;108393;8547;9055;17694;22349;405;30;0;58080;0;0;0;0;0;0;0;0;0;2;5;13;13;66;144;243;0;0;0;0;0;0;0;0;440561;11153;34366;7981;3438;683864;0;1181361;33020;1436045;740569;53697;15997;4406;0;2283733;0
BANCO CSF S.A.;8357240;b2;I;3;;8;SAO PAULO;SP;01/03/2014;3406877;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;549873;1933901;856635;66468;0;0;0;3406877;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
JOHN DEERE;50071;b1;C;3;;199;INDAIATUBA;SP;01/03/2014;3398131;0;0;0;0;0;0;0;0;550;33755;58940;157463;107910;3326;0;361943;14;5271;4387;19005;1944;0;0;30621;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5141;585124;125857;1158606;729530;397529;0;3001786;0;0;2217;1564;0;0;0;3780;0
PORTO SEGURO;51444;n1;C;2;;197;SAO PAULO;SP;01/03/2014;3286640;1734;7093;18764;17863;2154;1;0;47610;71;445;697;147;0;0;0;1361;5679;53120;133263;178116;17557;11;0;387745;0;0;0;0;0;0;0;0;207226;1949145;676288;17262;0;0;0;2849922;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;3;0
ALFA;51293;b1;C;2;;199;SAO PAULO;SP;01/03/2014;3238957;3982;150186;388097;640248;266566;74969;0;1524047;99;59083;51236;22170;2449;0;0;135036;6121;283889;640582;604112;41441;57;0;1576202;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;248;391;866;245;0;0;1750;0;1913;9;0;0;0;0;1922;0
HONDA;51396;b2;C;3;;198;SAO PAULO;SP;01/03/2014;3154922;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;47171;517882;1275061;1261010;53790;6;0;3154921;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL;92816560;b4;I;1;;5;PORTO ALEGRE;RS;01/03/2014;2842933;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7833;148969;252058;712108;596853;1064576;439;2782837;187;2873;7999;19174;13072;16790;0;60095;0
BANCO DO ESTADO DO PARÁ S.A.;4913711;b1;I;1;;8;BELEM;PA;01/03/2014;2706859;3237;123716;482768;873225;379503;11858;0;1874308;26477;167679;315068;180647;18214;1869;16;709971;0;0;0;0;0;0;0;0;16;508;389;56;0;0;0;970;39648;45574;13544;198;0;0;0;98964;0;0;2405;357;379;3777;0;6917;6698;6486;2545;0;0;0;0;15729;0
BANCO CNH INDUSTRIAL CAPITAL S.A.;2992446;b2;I;3;;8;CURITIBA;PR;01/03/2014;2686943;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;145;1525;2688;3015;53;0;0;7426;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3802;382714;120292;907463;638624;323884;0;2376779;14409;85937;40059;121060;36002;5271;0;302739;0
J.MALUCELLI;30881;b1;C;2;;199;CURITIBA;PR;01/03/2014;2552101;16252;203562;556930;1065339;478002;92541;0;2412627;9705;48460;43764;4327;2;0;0;106258;20;4;9;5;0;0;0;38;0;0;0;0;0;0;0;0;2068;3466;0;0;0;0;0;5534;0;0;0;0;0;0;0;0;9172;4868;4664;2785;1874;3686;594;27644;0
BANCO TOYOTA DO BRASIL S.A.;3215790;b2;I;3;;8;SAO PAULO;SP;01/03/2014;2268234;0;0;0;0;0;0;0;0;0;172;384;242;6;0;0;805;13232;347040;851344;960779;82051;85;0;2254531;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;191;2196;5126;5108;278;0;0;12899;0
BANESTES;30159;b1;C;1;;199;VITORIA;ES;01/03/2014;2236727;3120;76738;220916;417366;186473;15365;0;919979;7585;42809;102888;109426;14632;1157;0;278498;2250;18115;47216;71712;14622;27;0;153942;139;1354;3661;8298;7890;33504;29539;84385;4142;9443;62087;96554;8;4;0;172238;9858;23404;230094;97285;43272;3130;0;407042;13242;43235;80755;66139;13894;3378;0;220643;0
