Instituição financeira;Código;TCB;SR;TD;TC;Cidade;UF;Data;Resultado de Intermediação Financeira;;;;;;;;;;;;;;Outras Receitas/Despesas Operacionais;;;;;;;;;Resultado Operacional (e) = (c) + (d);Resultado Não Operacional (f);Resultado antes da Tributação, Lucro e Participação (g) = (e) + (f);Imposto de Renda e Contribuição Social (h);Participação nos Lucros (i);Lucro Líquido (j) = (g) + (h) + (i);Juros Sobre Capital Próprio (k)
;;;;;;;;;Receitas de Intermediação Financeira;;;;;;;Despesas de Intermediação Financeira;;;;;;Resultado de Intermediação Financeira (c) = (a) + (b);Rendas de Prestação de Serviços (d1);Rendas de Tarifas Bancárias (d2);Despesas de Pessoal (d3);Despesas Administrativas (d4);Despesas Tributárias (d5);Resultado de Participações (d6);Outras Receitas Operacionais (d7);Outras Despesas Operacionais (d8);Outras Receitas/Despesas  Operacionais (d) = (d1) + (d2) + (d3) + (d4) + (d5) + (d6) + (d7) + (d8);;;;;;;
;;;;;;;;;Rendas de Operações de Crédito (a1);Rendas de Operações de Arrendamento Mercantil (a2);Rendas de Operações com TVM (a3);Rendas de Operações com Instrumentos Financeiros Derivativos (a4);Resultado de Operações de Câmbio (a5);Rendas de Aplicações Compulsórias (a6);Receitas de Intermediação Financeira (a) = (a1) + (a2) + (a3) + (a4) + (a5) + (a6);Despesas de Captação (b1);Despesas de Obrigações por Empréstimos e Repasses (b2);Despesas de Operações de Arrendamento Mercantil (b3);Resultado de Operações de Câmbio (b4);Resultado de Provisão para Créditos de Difícil Liquidação (b5);Despesas de Intermediação Financeira (b) = (b1) + (b2) + (b3) + (b4) + (b5);;;;;;;;;;;;;;;;;
MORGAN STANLEY - PRUDENCIAL;1000080628;b1;S3;C;3;SAO PAULO;SP;42795;910;0;292093;13110;5301;0;311414;-96905;-21983;0;0;-1787;-120675;190739;102026;0;-78762;-28008;-15316;-1748;2923;-43178;-62061;128678;0;128678;-58207;0;70471;0
PARANÁ BANCO - PRUDENCIAL;1000080233;b1;S4;C;2;CURITIBA;PR;42795;241680;0;34772;529;0;0;276981;-138570;-905;0;-19;-40914;-180408;96573;1762;843;-11356;-50231;-6377;17514;977;-2826;-49695;46878;143;47022;-13026;-690;33306;0
MERCEDES-BENZ - PRUDENCIAL;1000080563;b2;S3;C;3;SAO PAULO;SP;42795;222197;9237;7196;0;0;0;238630;-24494;-80983;-6146;0;-86483;-198105;40525;6;1875;-17263;-24580;-5208;0;21135;-22137;-46173;-5648;-17339;-22987;10081;0;-12906;0
BCO FIBRA S.A. - PRUDENCIAL;1000081483;b1;S3;C;2;SAO PAULO;SP;42795;138930;0;56684;34296;3330;0;233240;-147619;-17481;0;0;-26725;-191825;41415;5542;2137;-24453;-13728;-2629;178;42160;-62007;-52802;-11387;-36;-11423;2854;-113;-8682;0
PORTO SEGURO - PRUDENCIAL;1000080642;n1;S4;C;2;SAO PAULO;SP;42795;223280;0;11462;-6447;0;0;228295;-31568;-2811;0;0;-88730;-123108;105187;137901;36942;-25366;-85250;-26017;0;17711;-56428;-507;104681;0;104681;-42291;-4208;58182;0
PINE - PRUDENCIAL;1000080374;b1;S3;C;2;SAO PAULO;SP;42795;118040;0;75588;30802;0;0;224429;-151544;-9705;0;-31078;-17384;-209712;14717;20398;90;-21003;-18395;-3460;62;70077;-47753;16;14733;421;15155;-8352;-6151;652;0
HP FINANCIAL SERVICES AM S.A - PRUDENCIAL;1000082987;n1;S4;I;3;BARUERI;SP;42795;547;213921;0;0;0;0;214468;0;-15678;-166924;0;-588;-183190;31278;0;0;0;-6666;-2031;0;1368;-995;-8324;22953;1483;24436;-10590;0;13846;0
BANCO CNH INDUSTRIAL CAPITAL S.A - PRUDENCIAL;1000081407;b2;S3;I;3;CURITIBA;PR;42795;195372;6090;12104;-788;0;0;212779;-34438;-38806;-4774;0;-42412;-120430;92348;2145;11;-11444;-10934;-6862;621;9736;-11608;-28336;64012;-352;63661;-28401;-1440;33819;0
HONDA - PRUDENCIAL;1000080611;b2;S4;C;3;SAO PAULO;SP;42795;193561;0;37200;-24302;0;0;206458;-72312;-96;0;0;-31472;-103881;102578;232201;16530;-6023;-232297;-40178;0;53817;-16876;7174;109752;380;110132;-51331;0;58801;0
CCB - PRUDENCIAL;1000080295;b1;S3;C;3;SAO PAULO;SP;42795;314798;9858;243828;-365414;0;51;203120;-267052;-345739;-8623;-4462;-188808;-814684;-611565;16415;1087;-54853;-38081;-5284;95;535109;-76061;378428;-233136;-7854;-240990;112543;0;-128447;0
COOPERATIVA DE CREDITO VALE DO ITAJAI - VIACREDI;82639451;b3S;S5;I;2;BLUMENAU;SC;42795;137096;0;57980;0;0;0;195076;-68977;-4267;0;0;-26249;-99492;95584;12297;5899;-22903;-31417;-118;0;346;-6988;-42884;52700;-134;52566;0;-2250;50316;0
BCO CLASSICO S.A. - PRUDENCIAL;1000081665;b1;S3;C;2;RIO DE JANEIRO;RJ;42795;0;0;191850;0;0;0;191850;-28576;0;0;0;0;-28576;163274;42;0;-188;-163828;-4;12385;0;0;-151594;11680;4487;16167;0;0;16167;0
COOPERATIVA CENTRAL DE CRÉDITO E INVESTIMENTO DOS ESTADOS DO PARANÁ, SÃO PAULO E RIO DE JANEIRO - CENTRAL SICREDI PR/SP/RJ;80230774;b3C;S3;I;2;CURITIBA;PR;42795;3354;0;187263;0;0;0;190617;-187263;0;0;0;34;-187229;3388;0;0;-4914;40414;0;0;657;-39561;-3405;-17;18;1;-1;0;0;0
