Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total Geral;Prefixado;TR / TBF;TJLP;TLP;Libor;Outras Taxas Pós-Fixadas;Carteira ativa com indexador CDI;SELIC;Outras Taxas Flutuantes;IGPM;IPCA;IPCC;Outros Índices de Preço;Outros Indexadores;Total não Individualizado;Total Exterior
CORRETORA AMAZONENSE DE CAMBIO LTDA.;4.623.781;n2;I;2;S5;21;MANAUS;AM;01/12/2018;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0
ARC CORRETORA DE CAMBIO, ASSOCIADOS GOUVEIA, CAMPEDELLI S.A.;4.684.647;n2;I;2;S4;21;SANTOS;SP;01/12/2018;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0
ALBATROSS CORRETORA DE CAMBIO E VALORES S.A;5.452.073;n2;I;2;S4;15;SAO PAULO;SP;01/12/2018;0;NI;NI;NI;NI;NI;NI;NI;NI;NI;NI;NI;NI;NI;NI;0;0
COOPERATIVA CENTRAL DE CREDITO RURAL HORIZONTES NOVOS - CREHNOR CENTRAL;5.879.577;b3C;I;2;S4;9;SARANDI;RS;01/12/2018;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
LABOR SOCIEDADE CORRETORA DE CÂMBIO LTDA.;6.132.348;n2;I;2;S5;21;RECIFE;PE;01/12/2018;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0
BOA VIAGEM SOCIEDADE CORRETORA DE CÂMBIO LTDA.;6.373.777;n2;I;2;S4;21;RECIFE;PE;01/12/2018;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0
COOPERATIVA CENTRAL DE CRÉDITO RURAL COM INTERAÇÃO SOLIDÁRIA - CRESOL CENTRAL SC/RS;7.202.627;b3C;I;2;S4;9;CHAPECO;SC;01/12/2018;0;NI;NI;NI;NI;NI;NI;NI;NI;NI;NI;NI;NI;NI;NI;0;0
HEDGE INVESTMENTS DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.;7.253.654;n2;I;2;S4;16;SAO PAULO;SP;01/12/2018;0;NI;NI;NI;NI;NI;NI;NI;NI;NI;NI;NI;NI;NI;NI;0;0
ONNIX CORRETORA DE CÂMBIO LTDA.;7.333.726;n2;I;2;S4;21;PORTO ALEGRE;RS;01/12/2018;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0
WESTERN ASSET MANAGEMENT COMPANY DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LIMITADA;7.437.241;n2;I;3;S4;16;SAO PAULO;SP;01/12/2018;0;NI;NI;NI;NI;NI;NI;NI;NI;NI;NI;NI;NI;NI;NI;0;0
