Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total Geral;AA;A;B;C;D;E;F;G;H;Total Exterior;;;;;;;;
COOPERATIVA DE CRÉDITO RURAL COM INTERAÇÃO SOLIDÁRIA DE PARANACITY - CRESOL PARANACITY;11346312;b3S;I;2;;9;PARANACITY;PR;01/06/2012;565;0;468;29;10;13;0;4;14;28;0;;;;;;;;
COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS EMPREGADOS DA SUPERINTENDÊNCIA REGIONAL DE BELÉM DA COMPANHIA DE PESQUISA DE RECURSOS MINERAIS LTDA.;83327486;b3S;I;2;;9;BELEM;PA;01/06/2012;565;0;411;82;53;11;0;0;0;9;0;;;;;;;;
FACILICRED SOCIEDADE DE CRÉDITO AO MICROEMPREENDEDOR LTDA;4849745;n1;I;2;;10;CURITIBA;PR;01/06/2012;565;0;364;17;9;7;9;2;1;155;0;;;;;;;;
COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS SERVIDORES PÚBLICOS DO LITORAL NORTE DO RIO GRANDE DO SUL ? CRESOL COOPERSLIN;11051952;b3S;I;2;;9;TORRES;RS;01/06/2012;552;0;550;1;0;0;0;1;0;0;0;;;;;;;;
COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS EMPREGADOS DA FUNDAÇÃO ARTHUR BERNARDES LTDA. - COOFAB;2738981;b3S;I;2;;9;VICOSA;MG;01/06/2012;551;0;501;15;35;0;0;0;0;0;0;;;;;;;;
GLOBAL FINANÇAS SOCIEDADE DE CRÉDITO AO MICROEMPREENDEDOR E À EMPRESA DE PEQUENO PORTE LTDA.;11165756;n1;I;2;;10;AMERICANA;SP;01/06/2012;550;0;337;32;39;0;25;0;0;115;0;;;;;;;;
COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS EMPREGADOS DA DELPHOS LTDA.;29326816;b3S;I;2;;9;RIO DE JANEIRO;RJ;01/06/2012;547;0;547;0;0;0;0;0;0;0;0;;;;;;;;
COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS EMPREGADOS DA CALOI NORTE;43941145;b3S;I;2;;9;ATIBAIA;SP;01/06/2012;546;0;537;0;0;0;0;0;0;8;0;;;;;;;;
COOPERATIVA DE CRÉDITO RURAL DA AGRICULTURA FAMILIAR E ECONOMIA SOLIDÁRIA DE SILVÂNIA-GO;8178439;b3S;I;2;;9;SILVANIA;GO;01/06/2012;522;0;418;2;18;0;6;0;32;46;0;;;;;;;;
COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS FUNCIONÁRIOS DO GRUPO MONTECITRUS;74256983;b3S;I;2;;9;MONTE AZUL PAULISTA;SP;01/06/2012;517;0;517;0;0;0;0;0;0;0;0;;;;;;;;
CENTRAL DAS COOPERATIVAS DE CREDITO MUTUO DO RIO GRANDE DO SUL;3618104;b3C;I;2;;9;PORTO ALEGRE;RS;01/06/2012;513;0;18;0;495;0;0;0;0;0;0;;;;;;;;
COOPERATIVA DE ECONOMIA E CREDITO MUTUO DOS EMPREGADOS DO GRUPO USINA PAINEIRAS LTDA - CRED-PAN;27140946;b3S;I;2;;9;ITAPEMIRIM;ES;01/06/2012;512;0;361;45;10;22;20;12;9;33;0;;;;;;;;
COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS SERVIDORES DO IBGE NO ESTADO DO PARÁ LTDA COIPA.;83838813;b3S;I;2;;9;BELEM;PA;01/06/2012;504;0;347;75;17;20;0;0;0;45;0;;;;;;;;
COOPERATIVA DE ECONOMIA E CREDITO MUTUO DOS FUNCIONARIOS DO GRUPO MAUA LTDA;5048575;b3S;I;2;;9;SAO GONCALO;RJ;01/06/2012;502;0;389;6;8;3;4;4;3;83;0;;;;;;;;
COOPERATIVA DE CRÉDITO RURAL COM INTERAÇÃO SOLIDÁRIA DE NOVA ESPERANÇA - CRESOL NOVA ESPERANÇA;11369294;b3S;I;2;;9;NOVA ESPERANCA;PR;01/06/2012;500;0;445;26;8;14;0;0;0;8;0;;;;;;;;
COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS EMPREGADOS DAS EMPRESAS SOMART LTDA.;129753;b3S;I;2;;9;URUCANIA;MG;01/06/2012;499;0;439;3;11;2;1;0;1;42;0;;;;;;;;
COOPERATIVA DE ECONOMIA E CREDITO MUTUO DOS EMPREGADOS DO GRUPO SAINT GOBAIN;88325097;b3S;I;2;;9;CANOAS;RS;01/06/2012;496;0;458;1;0;12;4;4;6;12;0;;;;;;;;
COOPERATIVA DE CRÉDITO MÚTUO DOS TRABALHADORES DO SISTEMA FINANCEIRO DE CURITIBA E REGIÃO - COOPCREFI;6942423;b3S;I;2;;9;CURITIBA;PR;01/06/2012;486;0;447;3;11;10;9;0;0;7;0;;;;;;;;
COOPERATIVA DE CRÉDITO RURAL DE ECONOMIA SOLIDÁRIA DE OLIVEIRA DOS BREJINHOS - ECOSOL/OLIVEIRA DOS BREJINHOS;5428587;b3S;I;2;;9;OLIVEIRA DOS BREJINHOS;BA;01/06/2012;483;0;424;43;7;2;1;1;1;5;0;;;;;;;;
COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS AUDITORES FISCAIS DA RECEITA FEDERAL DO BRASIL NO RIO DE JANEIRO LIMITADA - COAFBRAS.;4851405;b3S;I;2;;9;RIO DE JANEIRO;RJ;01/06/2012;482;0;261;36;22;22;29;9;22;81;0;;;;;;;;
CORRETORA GERAL DE VALORES E CÂMBIO LTDA;92858380;n2;I;2;;15;PORTO ALEGRE;RS;01/06/2012;475;475;0;0;0;0;0;0;0;0;0;;;;;;;;
COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS TRABALHADORES DAS INDÚSTRIAS METALÚRGICAS DE PORTO ALEGRE E GRANDE PORTO ALEGRE;90560434;b3S;I;2;;9;PORTO ALEGRE;RS;01/06/2012;466;0;373;30;10;6;6;1;2;37;0;;;;;;;;
COOPERATIVA DE CRÉDITO MÚTUO DOS DESPACHANTES DOCUMENTALISTAS DO ESTADO DE SÃO PAULO - COOPERDESP;7839980;b3S;I;2;;9;CAMPINAS;SP;01/06/2012;465;0;0;0;0;0;0;0;0;465;0;;;;;;;;
COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS EMPREGADOS DA USIPARTS;59301762;b3S;I;2;;9;POUSO ALEGRE;MG;01/06/2012;458;0;458;0;0;0;0;0;0;0;0;;;;;;;;
COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS FUNCIONÁRIOS DO GRUPO GARDÊNIA LTDA. - COOPERGARDÊNIA;1499278;b3S;I;2;;9;POUSO ALEGRE;MG;01/06/2012;451;0;446;0;1;0;0;0;1;3;0;;;;;;;;
COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS EMPREGADOS DA ALCOA;1346674;b3S;I;2;;9;SANTO ANDRE;SP;01/06/2012;450;0;413;1;9;8;2;15;0;4;0;;;;;;;;
COOPERATIVA DE ECONOMIA E CREDITO MUTUO DOS EMPREGADOS NAS INDUSTRIAS QUIMICAS, FARMACEUTICAS E SIMILARES DA REGIAO METROPOLITANA DO RIO DE JANEIRO LTDA;5424088;b3S;I;2;;9;SAO GONCALO;RJ;01/06/2012;449;0;364;19;0;7;1;32;2;24;0;;;;;;;;
COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS EMPREGADOS DA EMPRESA SUPERMERCADOS JAU SERVE - COOPERJS;3400651;b3S;I;2;;9;JAU;SP;01/06/2012;441;0;433;0;2;1;0;3;0;2;0;;;;;;;;
COOPSERJ - COOPERATIVA DE CRÉDITO MÚTUO DOS SERVIDORES PÚBLICOS DO PODER EXECUTIVO DO ESTADO DO RIO DE JANEIRO LTDA.;2723075;b3S;I;2;;9;RIO DE JANEIRO;RJ;01/06/2012;436;0;211;56;35;8;0;5;6;115;0;;;;;;;;
COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS TRABALHADORES METRO-FERROVIÁRIOS E AEROVIÁRIOS DE PORTO ALEGRE E REGIÃO;5950221;b3S;I;2;;9;PORTO ALEGRE;RS;01/06/2012;435;0;17;1;2;0;15;2;36;362;0;;;;;;;;
COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS EMPREGADOS DA BORCOL;73156218;b3S;I;2;;9;SOROCABA;SP;01/06/2012;432;0;428;0;0;0;0;0;0;4;0;;;;;;;;
COOPERATIVA DE CRÉDITO RURAL COM INTERAÇÃO SOLIDÁRIA DE ALTO PARANÁ - CRESOL ALTO PARANÁ;11453724;b3S;I;3;;9;ALTO PARANA;PR;01/06/2012;424;0;397;23;0;0;0;4;0;0;0;;;;;;;;
COOPERATIVA DE ECONOMIA E CREDITO MUTUO DOS FUNCIONARIOS DA EVANIL - COOFE;2825208;b3S;I;2;;9;NOVA IGUACU;RJ;01/06/2012;423;0;267;104;32;4;7;4;0;5;0;;;;;;;;
COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS FUNCIONÁRIOS DA BULK MOLDING COMPOUNDS DO BRASIL INDÚSTRIA DE PLÁSTICOS REFORÇADOS;2541707;b3S;I;2;;9;RIO CLARO;SP;01/06/2012;413;0;375;0;0;38;0;0;0;0;0;;;;;;;;
COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS FUNCIONÁRIOS DA VB TRANSPORTES E TURISMO;51920502;b3S;I;2;;9;CAMPINAS;SP;01/06/2012;406;0;406;0;0;0;0;0;0;0;0;;;;;;;;
COOPERATIVA DE CREDITO RURAL DE DESENVOLVIMENTO SOLIDARIO DO EXTREMO NORTE DO ESPIRITO SANTO - CREDSOL EXTREMO NORTE ES;7642803;b3S;I;2;;9;NOVA VENECIA;ES;01/06/2012;403;0;379;24;0;0;0;0;0;0;0;;;;;;;;
ATIVO SOCIEDADE DE CRÉDITO AO MICROEMPREENDEDOR E À EMPRESA DE PEQUENO PORTE - SCM LTDA.;11004549;n1;I;2;;10;SALVADOR;BA;01/06/2012;401;0;98;0;0;11;0;15;0;277;0;;;;;;;;
COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS TRABALHADORES DA COOPER STANDARD AUTOMOTIVE BRASIL SEALING LTDA. E FLUID SYSTEMS LTDA.;4464352;b3S;I;2;;9;VARGINHA;MG;01/06/2012;395;0;395;0;0;0;0;0;0;0;0;;;;;;;;
COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS REPRESENTANTES COMERCIAIS AUTÔNOMOS DE ROUPAS, TECIDOS E ARTIGOS DE VESTUÁRIOS DO RIO DE JANEIRO LTDA. - CCVA;1670206;b3S;I;2;;9;RIO DE JANEIRO;RJ;01/06/2012;394;0;36;128;230;0;0;0;0;0;0;;;;;;;;
COOPERATIVA CENTRAL DE CREDITO RURAL HORIZONTES NOVOS - CREHNOR CENTRAL;5879577;b3C;I;2;;9;SARANDI;RS;01/06/2012;391;0;346;0;46;0;0;0;0;0;0;;;;;;;;
COOPERATIVA DE CRÉDITO RURAL DA AGRICULTURA FAMILIAR DOS TRABALHADORES E TRABALHADORAS RURAIS DO MUNICÍPIO DE CAPÃO BONITO E REGIÃO/SÃO PAULO;9476168;b3S;I;2;;9;CAPAO BONITO;SP;01/06/2012;388;0;324;18;19;6;0;6;0;14;0;;;;;;;;
COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS TRABALHADORES EM EMPRESAS DE TRANSPORTES COLETIVOS URBANOS DE PASSAGEIROS DE PORTO ALEGRE - COOPCREDIRODOVIÁRIOS;5579939;b3S;I;3;;9;PORTO ALEGRE;RS;01/06/2012;377;0;166;10;11;6;1;3;4;175;0;;;;;;;;
COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS BANCÁRIOS DE JUIZ DE FORA LTDA. - COCBAN;4158581;b3S;I;2;;9;JUIZ DE FORA;MG;01/06/2012;373;0;372;0;0;0;1;0;0;0;0;;;;;;;;
COOPCRAL - COOPERATIVA DE CRÉDITO RURAL DO AGRESTE CENTRAL ALAGOANO LTDA.;8202793;b3S;I;2;;9;ARAPIRACA;AL;01/06/2012;364;0;290;1;8;7;9;7;3;40;0;;;;;;;;
COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS EMPREGADOS DA VOLKSWAGEN DO BRASIL E CONCESSIONÁRIAS VW;67645887;b3S;I;2;;9;SAO BERNARDO DO CAMPO;SP;01/06/2012;363;0;289;20;10;7;6;2;1;27;0;;;;;;;;
COOPERATIVA DE CRÉDITO MÚTUO DOS SERVIDORES PÚBLICOS AUTÁRQUICOS E CÂMARA MUNICIPAL DE MAUÁ - MAUACOOPER;1582068;b3S;I;2;;9;MAUA;SP;01/06/2012;363;0;308;29;17;5;4;0;0;0;0;;;;;;;;
COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS FUNCIONÁRIOS DO GRUPO SUGGAR LTDA.;548980;b3S;I;2;;9;BELO HORIZONTE;MG;01/06/2012;355;0;339;11;1;1;0;0;0;4;0;;;;;;;;
COOPERATIVA DE ECONOMIA E CREDITO MUTUO DOS FUNCIONARIOS DO GRUPO PROGRESSO LTDA - PROCRED;2931166;b3S;I;2;;9;TRES RIOS;RJ;01/06/2012;350;0;344;3;3;0;0;0;0;0;0;;;;;;;;
COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS EMPREGADOS DAS EMPRESAS DE REDUTORES DE TRANSMISSÃO DO ESTADO DE SÃO PAULO - COOPER-PTI;62035456;b3S;I;2;;9;SAO PAULO;SP;01/06/2012;342;0;342;0;0;0;0;0;0;0;0;;;;;;;;
COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS SERVIDORES DA GOIÁS FERTILIZANTES S/A - GOIÁSFERTIL - ?COCRESGO? LTDA.;968834;b3S;I;2;;9;CATALAO;GO;01/06/2012;332;0;326;0;6;0;0;0;0;0;0;;;;;;;;
COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS SERVIDORES DOS MINISTÉRIOS DA AGRICULTURA, PECUÁRIA E ABASTECIMENTO, DO DESENVOLVIMENTO AGRÁRIO E DO MEIO AMBIENTE NA REGIÃO METROPOLITANA DE BELÉM LIMITADA;83347294;b3S;I;2;;9;BELEM;PA;01/06/2012;320;0;65;110;143;3;0;0;0;0;0;;;;;;;;
COOPERATIVA DE CRÉDITO MÚTUO DOS EMPREGADOS NA CAIXA ECONÔMICA FEDERAL NO ESTADO DE SÃO PAULO - APCEFCREDI-SP;7814673;b3S;I;2;;9;SAO PAULO;SP;01/06/2012;320;0;263;9;30;1;4;3;0;11;0;;;;;;;;
COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS EMPREGADOS DA ASSOCIAÇÃO DOS FUNCIONÁRIOS PÚBLICOS DO ESTADO DE SÃO PAULO - CREDIAFPESP;1558716;b3S;I;2;;9;SAO PAULO;SP;01/06/2012;317;0;317;0;0;0;0;0;0;0;0;;;;;;;;
COOPERATIVA DE CRÉDITO RURAL DA AGRICULTURA FAMILIAR DOS TRABALHADORES E TRABALHADORAS RURAIS DO MUNICÍPIO DE IBIÚNA E REGIÃO/SÃO PAULO;9274146;b3S;I;2;;9;IBIUNA;SP;01/06/2012;314;0;166;10;17;16;4;3;26;73;0;;;;;;;;
COOPERATIVA DE ECONOMIA E CREDITO MUTUO DOS EMPREGADOS EM ESTABELECIMENTOS PRIVADOS DE ENSINO DO MUNICIPIO DO RIO DE JANEIRO LTDA.;3011222;b3S;I;2;;9;RIO DE JANEIRO;RJ;01/06/2012;310;0;293;10;6;0;0;0;0;0;0;;;;;;;;
FINCRED - SOCIEDADE DE CRÉDITO AO MICROEMPREENDEDOR LTDA;5147693;n1;I;2;;10;LONDRINA;PR;01/06/2012;309;0;156;19;29;20;27;17;2;38;0;;;;;;;;
COOPERATIVA DE CRÉDITO DA AGRICULTURA FAMILIAR SOLIDÁRIA DE ARAPONGA - ECOSOL ARAPONGA-MG;7016503;b3S;I;2;;9;ARAPONGA;MG;01/06/2012;308;0;281;7;13;3;3;0;0;0;0;;;;;;;;
COOPERATIVA DE CRÉDITO MÚTUO DOS SERVIDORES PÚBLICOS MUNICIPAIS DE JABOTICABAL - COOPERSERV;881829;b3S;I;2;;9;JABOTICABAL;SP;01/06/2012;305;0;199;30;18;11;12;20;6;9;0;;;;;;;;
COOPERATIVA DE CRÉDITO RURAL DE ECONOMIA SOLIDÁRIA DO PAJEÚ - ECOSOL PAJEÚ;5094985;b3S;I;2;;9;TABIRA;PE;01/06/2012;296;0;214;11;15;13;8;4;4;27;0;;;;;;;;
COOPESA-COOPERATIVA DE ECONOMIA E CREDITO MUTUO DOS FUNCIONARIOS DA COESA TRANSPORTES E EMPRESAS COLIGADAS LTDA;68848563;b3S;I;2;;9;SAO GONCALO;RJ;01/06/2012;294;0;266;1;0;1;0;0;0;26;0;;;;;;;;
COOPERATIVA DE ECONOMIA E CREDITO MUTUO DOS FUNCIONARIOS DA SANEPAR - CREDISANEPAR;3165497;b3S;I;2;;9;CASCAVEL;PR;01/06/2012;291;0;254;11;9;14;2;0;0;0;0;;;;;;;;
COOPERATIVA DE ECONOMIA E CREDITO MUTUO DOS EMPREGADOS DO PRO-CARDIACO-PRO-CREDITO LTDA;4569742;b3S;I;2;;9;RIO DE JANEIRO;RJ;01/06/2012;290;0;258;1;1;2;0;0;0;27;0;;;;;;;;
COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS FUNCIONÁRIOS DA SPIRAX SARCO IND. E COM.;62781158;b3S;I;2;;9;COTIA;SP;01/06/2012;285;0;285;0;0;0;0;0;0;0;0;;;;;;;;
COOPERATIVA DE CRÉDITO RURAL DE ECONOMIA SOLIDÁRIA DE TABOCAS DO BREJO VELHO - ECOSOL/TABOCAS DO BREJO VELHO;5478479;b3S;I;2;;9;TABOCAS DO BREJO VELHO;BA;01/06/2012;279;0;238;16;7;7;1;2;4;5;0;;;;;;;;
COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS EMPREGADOS DA INDÚSTRIA DE PAPÉIS SUDESTE LTDA . - CREDESTE;18340695;b3S;I;2;;9;JUIZ DE FORA;MG;01/06/2012;277;0;234;36;3;0;0;0;3;0;0;;;;;;;;
COOPERATIVA DE CRÉDITO MÚTUO DOS EMPREGADOS DO CENTRO UNIVERSITÁRIO NEWTON PAIVA LTDA. - CREDIPAIVA;20833992;b3S;I;2;;9;BELO HORIZONTE;MG;01/06/2012;275;0;241;6;7;9;1;0;0;12;0;;;;;;;;
COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS PROFESSORES E DEMAIS PROFISSIONAIS DA ÁREA DE EDUCAÇÃO DO MUNICÍPIO DE BELÉM - SICOOB CREDIEDUC-PARÁ;5235613;b3S;I;2;;9;BELEM;PA;01/06/2012;275;0;222;0;53;0;0;0;0;0;0;;;;;;;;
COOPERATIVA DE CRÉDITO RURAL DA BAIXA MOGIANA;3319911;b3S;I;2;;9;MOGI-MIRIM;SP;01/06/2012;274;0;4;4;27;1;138;14;14;72;0;;;;;;;;
COOPERATIVA DE CRÉDITO RURAL DE DESENVOLVIMENTO SOLIDÁRIO DE MUQUI - CREDSOL MUQUI;7707311;b3S;I;2;;9;MUQUI;ES;01/06/2012;268;0;224;5;0;8;0;0;23;7;0;;;;;;;;
COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DA ALIANÇA DOS MÉDICOS E DEMAIS PROFISSIONAIS DA ÁREA DA SAÚDE DE LENÇÓIS PAULISTA - ALCRED DE LENÇÓIS PAULISTA;1464605;b3S;I;2;;9;LENCOIS PAULISTA;SP;01/06/2012;266;0;10;49;118;48;14;0;4;22;0;;;;;;;;
SICOOB COOPEA - COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS SERVIDORES DA CEPLAC NA AMAZÔNIA ORIENTAL LTDA.;484473;b3S;I;2;;9;BELEM;PA;01/06/2012;256;0;166;17;11;13;12;0;7;29;0;;;;;;;;
COOPERATIVA DE ECONOMIA E CREDITO MUTUO DOS SERVIDORES DOS ORGAOS DO MINISTERIO DA SAUDE NO ESTADO DO RIO DE JANEIRO - CREDISAU;2966385;b3S;I;2;;9;RIO DE JANEIRO;RJ;01/06/2012;247;0;203;2;3;3;4;5;7;19;0;;;;;;;;
COOPERATIVA DE ECONOMIA E CREDITO MUTUO DOS PROFESSORES ESTADUAIS DA REGIAO METROPOLITANA DE PORTO ALEGRE;5419025;b3S;I;2;;9;PORTO ALEGRE;RS;01/06/2012;243;0;101;28;26;19;7;13;13;36;0;;;;;;;;
SOROCABA CRÉDITO SOCIEDADE DE CRÉDITO AO MICROEMPREENDEDOR E A EMPRESA DE PEQUENO PORTE LTDA.;8430732;n1;I;2;;10;SOROCABA;SP;01/06/2012;236;0;163;44;14;0;1;0;4;9;0;;;;;;;;
COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS TRABALHADORES DO MOINHO SUL MINEIRO S.A. LTDA. -  CREDISULMINEIRO;16599441;b3S;I;2;;9;VARGINHA;MG;01/06/2012;234;0;234;0;0;0;0;0;0;0;0;;;;;;;;
COOPERATIVA DE CRÉDITO RURAL DA AGRICULTURA FAMILIAR, DOS TRABALHADORES E TRABALHADORAS RURAIS DO MUNICÍPIO DE APIAÍ E REGIÃO/SÃO PAULO;9347187;b3S;I;2;;9;APIAI;SP;01/06/2012;234;0;22;0;0;0;0;1;2;208;0;;;;;;;;
COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS BANCÁRIOS DE BELO HORIZONTE E REGIÃO METROPOLITANA LTDA. - COOPEB;71502181;b3S;I;2;;9;BELO HORIZONTE;MG;01/06/2012;230;0;214;0;16;0;0;0;0;0;0;;;;;;;;
COOPERATIVA DE CRÉDITO RURAL DOS PRODUTORES DA REGIÃO DE IRECÊ - CREDIRURAL;5853210;b3S;I;2;;9;IRECE;BA;01/06/2012;229;0;172;3;7;10;3;24;6;4;0;;;;;;;;
COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS TRABALHADORES NA ALLIEDSIGNAL;46037073;b3S;I;2;;9;SOROCABA;SP;01/06/2012;221;5;132;18;43;16;3;2;0;0;0;;;;;;;;
AGÊNCIA DE FOMENTO DO ESTADO DE PERNAMBUCO S.A.;13178690;n1;I;1;;30;RECIFE;PE;01/06/2012;216;0;10;102;104;0;0;0;0;0;0;;;;;;;;
COOPERATIVA DE ECONOMIA E CREDITO MUTUO DOS EMPREGADOS DA TEADIT E OUTRAS EMPRESAS ASSOCIADAS LTDA;27669753;b3S;I;2;;9;RIO DE JANEIRO;RJ;01/06/2012;216;0;198;0;0;1;0;3;0;14;0;;;;;;;;
COOPERATIVA DE ECONOMIA E CREDITO MUTUO DOS EMPREGADOS DO GRUPO JOSE NEFFA LTDA;29985421;b3S;I;2;;9;VITORIA;ES;01/06/2012;216;0;194;3;1;9;8;0;0;0;0;;;;;;;;
COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS MILITARES E SERVIDORES PÚBLICOS DO VALE DO IGUAÇU - CREDIMILSUL;5462911;b3S;I;2;;9;PORTO UNIAO;SC;01/06/2012;214;0;187;0;28;0;0;0;0;0;0;;;;;;;;
FLEX SOCIEDADE DE CRÉDITO AO MICROEMPREENDEDOR LTDA;7584094;n1;I;2;;10;BELO HORIZONTE;MG;01/06/2012;213;0;119;0;11;2;1;56;0;24;0;;;;;;;;
RPW SOCIEDADE DE CREDITO AO MICROEMPREENDEDOR E A EMPRESA DE PEQUENO PORTE LTDA.;6249129;n1;I;2;;10;SAO PAULO;SP;01/06/2012;211;0;102;9;10;17;11;26;6;30;0;;;;;;;;
COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS EMPREGADOS EM INDÚSTRIAS METALÚRGICAS E DE MATERIAL ELÉTRICO DE JUIZ DE FORA LTDA. - CECREPAM;21464557;b3S;I;2;;9;JUIZ DE FORA;MG;01/06/2012;211;0;164;7;5;14;0;1;10;9;0;;;;;;;;
COOPERATIVA DE CRÉDITO RURAL BARRA DO CHOÇA - CREDIBARRA;3071386;b3S;I;2;;9;BARRA DO CHOCA;BA;01/06/2012;209;0;140;4;7;5;0;4;22;27;0;;;;;;;;
COOPERATIVA DE CRÉDITO RURAL DE ECONOMIA SOLIDÁRIA DO ARARIPE   ECOSOL ARARIPE;8087331;b3S;I;2;;9;OURICURI;PE;01/06/2012;207;0;166;10;7;7;6;1;0;10;0;;;;;;;;
COOPERATIVA DE CRÉDITO RURAL DA AGRICULTURA FAMILIAR E ECONOMIA SOLIDÁRIA DE MINEIROS-GO;5491616;b3S;I;2;;9;MINEIROS;GO;01/06/2012;207;0;185;3;2;0;0;0;2;14;0;;;;;;;;
COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS EMPREGADOS DA COSAN ALIMENTOS LTDA.;33370172;b3S;I;2;;9;RIO DE JANEIRO;RJ;01/06/2012;202;0;172;0;0;6;0;0;2;23;0;;;;;;;;
COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS FUNCIONÁRIOS DA NGK - COOPERNGK;57687899;b3S;I;2;;9;MOGI DAS CRUZES;SP;01/06/2012;201;0;196;0;0;0;0;0;1;4;0;;;;;;;;
APEMAT CREDITO IMOBILIARIO S.A.;1507409;n1;I;2;;31;CAMPO GRANDE;MS;01/06/2012;198;45;0;0;0;0;0;0;0;54;99;;;;;;;;
COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS EMPREGADOS DA DRIVEWAY;71799308;b3S;I;2;;9;SAO PAULO;SP;01/06/2012;194;0;194;0;0;0;0;0;0;0;0;;;;;;;;
COOPERATIVA DE ECONOMIA E CREDITO MUTUO DOS FUNCIONARIOS DO GRUPO HELIO ALONSO-COOPERHA-LTDA;2786691;b3S;I;2;;9;RIO DE JANEIRO;RJ;01/06/2012;189;0;138;8;8;5;0;0;2;27;0;;;;;;;;
COOPERATIVA DE CRÉDITO DOS EMPREGADOS DA SOBRAL INVICTA;25691478;b3S;I;2;;9;POUSO ALEGRE;MG;01/06/2012;179;0;179;0;0;0;0;0;0;0;0;;;;;;;;
CREDILON SOCIEDADE DE CRÉDITO AO MICROEMPREENDEDOR DA REGIÃO DE LONDRINA LTDA.;4223451;n1;I;2;;10;LONDRINA;PR;01/06/2012;167;0;148;3;5;0;0;2;4;5;0;;;;;;;;
COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS TRABALHADORES NAS INDÚSTRIAS METALÚRGICAS, MECÂNICA E MATERIAL ELÉTRICO DE SÃO LEOPOLDO E REGIÃO - COOPERMETAL;10719496;b3S;I;2;;9;SAO LEOPOLDO;RS;01/06/2012;165;0;130;16;8;2;0;0;1;8;0;;;;;;;;
COOPERATIVA DE CRÉDITO MÚTUO DOS SERVIDORES PUBLICOS DE MINEIROS/GOIÁS;7226799;b3S;I;2;;9;MINEIROS;GO;01/06/2012;165;0;137;0;3;2;0;0;4;19;0;;;;;;;;
COOPERATIVA DE CRÉDITO RURAL DA AGRICULTURA FAMILIAR E ECONOMIA SOLIDÁRIA DE CLÁUDIO;8363543;b3S;I;2;;9;CLAUDIO;MG;01/06/2012;164;0;130;14;11;2;0;5;3;1;0;;;;;;;;
FIDÚCIA SOCIEDADE DE CRÉDITO AO MICROEMPREENDEDOR E À EMPRESA DE PEQUENO PORTE LIMITADA.;4307598;n1;I;2;;10;BELO HORIZONTE;MG;01/06/2012;159;0;107;4;12;0;4;0;4;28;0;;;;;;;;
COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS SERVIDORES DA PREFEITURA MUNICIPAL DE VOTORANTIM;52137361;b3S;I;2;;9;VOTORANTIM;SP;01/06/2012;157;0;107;5;16;16;2;0;2;9;0;;;;;;;;
