Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total Geral;AA;A;B;C;D;E;F;G;H;Total Exterior;;;;;;;;
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS DO CENTRO SUL DO MATO GROSSO DO SUL - SICREDI CENTRO-SUL MS;26408161;b3S;I;2;;9;DOURADOS;MS;01/06/2012;289776;0;95267;66357;103654;11952;3615;2114;1402;5414;0;;;;;;;;
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS DO PLANALTO GAÚCHO - SICREDI PLANALTO GAÚCHO;88038260;b3S;I;3;;9;CRUZ ALTA;RS;01/06/2012;285695;0;30910;119602;111265;13617;5197;2719;625;1759;0;;;;;;;;
BANCO LUSO BRASILEIRO S.A.;59118133;b1;I;2;;8;SAO PAULO;SP;01/06/2012;285200;24475;123749;94281;29971;2650;2283;1629;534;5630;0;;;;;;;;
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS DO NORTE DO RIO GRANDE DO SUL E OESTE DE SANTA CATARINA - SICREDI NORTE RS/SC;87780268;b3S;I;2;;9;ERECHIM;RS;01/06/2012;280782;0;86769;113769;39180;6708;2734;1261;1474;28886;0;;;;;;;;
COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS MÉDICOS, PROFISSIONAIS DA ÁREA DE SAÚDE E EMPRESÁRIOS DA REGIÃO NORTE DO PARANÁ LTDA.;2398976;b3S;I;2;;9;LONDRINA;PR;01/06/2012;275610;0;137493;94227;27980;491;483;811;609;13516;0;;;;;;;;
COOPERATIVA DE CRÉDITO MAXI ALFA DE LIVRE ADMISSÃO DE ASSOCIADOS - SICOOB MAXICRÉDITO/SC;78825270;b3S;I;2;;9;CHAPECO;SC;01/06/2012;264081;0;160695;62973;23103;8425;2937;908;601;4440;0;;;;;;;;
SOCOPA;50328;b1;C;2;;199;SAO PAULO;SP;01/06/2012;259950;0;5893;98993;121140;7854;8822;2997;5578;8672;0;;;;;;;;
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS DE CARLOS BARBOSA - SICREDI SERRANA RS;90608712;b3S;I;2;;9;CARLOS BARBOSA;RS;01/06/2012;255465;0;66002;107701;51922;16287;4162;2228;1502;5662;0;;;;;;;;
BARCLAYS;51705;b1;C;3;;199;SAO PAULO;SP;01/06/2012;251540;0;0;0;251369;0;0;0;0;170;0;;;;;;;;
COOPERATIVA DE CRÉDITO DOS MÉDICOS, OUTROS PROFISSIONAIS DA SAÚDE E EMPRESÁRIOS DE MATO GROSSO.;36900256;b3S;I;2;;9;CUIABA;MT;01/06/2012;248749;0;174043;59591;5543;3495;1064;623;379;4012;0;;;;;;;;
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS DA REGIÃO CENTRO DO RGS - SICREDI REGIÃO CENTRO;95594941;b3S;I;2;;9;SANTA MARIA;RS;01/06/2012;247951;0;55103;75273;92322;10834;5166;1685;992;6575;0;;;;;;;;
COOPERATIVA DE CRÉDITO EM GUAXUPÉ E REGIÃO LTDA - SICOOB AGROCREDI;42873828;b3S;I;2;;9;GUAXUPE;MG;01/06/2012;245228;0;97556;93780;44732;3029;975;525;318;4312;0;;;;;;;;
