Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total da Carteira de Pessoa Jurídica;Micro;Pequena;Média;Grande;Indisponível;Total não Individualizado Pessoa Jurídica;Total Exterior Pessoa Jurídica;;;;;
GRUPO BONSUCESSO - BS2;52034;b1;C;2;S4;199;BELO HORIZONTE;MG;01/03/2018;817133;23379;51671;214981;527102;0;0;0;;;;;
COOPERATIVA DE CREDITO CREDICITRUS;54037916;b3S;I;2;S4;9;BEBEDOURO;SP;01/03/2018;793512;21849;128808;371685;271167;0;4;0;;;;;
COOPERATIVA DE CREDITO VALE DO ITAJAI - VIACREDI;82639451;b3S;I;2;S5;9;BLUMENAU;SC;01/03/2018;757737;254283;408278;93397;1737;0;42;0;;;;;
BOFA MERRILL LYNCH;51255;b1;C;3;S3;199;SAO PAULO;SP;01/03/2018;705119;0;33058;473756;198305;0;0;0;;;;;
BANCO CARGILL S.A.;3609817;b1;I;3;S4;8;SAO PAULO;SP;01/03/2018;692355;0;3484;143934;544936;0;0;0;;;;;
MIZUHO;51554;b1;I;3;S4;199;SAO PAULO;SP;01/03/2018;691924;0;0;211333;387410;0;0;93182;;;;;
AGÊNCIA DE FOMENTO DO ESTADO DE SANTA CATARINA S.A.-BADESC;82937293;n1;I;1;S4;30;FLORIANOPOLIS;SC;01/03/2018;665972;14375;71910;484976;94711;0;0;0;;;;;
SICOOB CREDICOM - COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS MÉDICOS E PROFISSIONAIS DA ÁREA DE SAÚDE DE MINAS GERAIS LTDA.;42898825;b3S;I;2;S4;9;BELO HORIZONTE;MG;01/03/2018;645772;9973;57338;488106;90351;0;3;0;;;;;
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO VANGUARDA DA REGIÃO DAS CATARATAS DO IGUAÇU E VALE DO PARAÍBA - SICREDI VANGUARDA PR/SP/RJ;78414067;b3S;I;2;S4;9;MEDIANEIRA;PR;01/03/2018;627805;162192;170606;231540;63434;0;33;0;;;;;
CARUANA S.A. - SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO;9313766;n1;I;2;S4;14;SAO PAULO;SP;01/03/2018;620823;3550;92831;493046;31395;0;0;0;;;;;
SICOOB COCRED COOPERATIVA DE CRÉDITO;71328769;b3S;I;2;S4;9;SERTAOZINHO;SP;01/03/2018;610181;77527;142590;296303;93757;0;3;0;;;;;
COOPERATIVA DE CRÉDITO MAXI ALFA DE LIVRE ADMISSÃO DE ASSOCIADOS - SICOOB MAXICRÉDITO;78825270;b3S;I;2;S5;9;CHAPECO;SC;01/03/2018;600837;146829;291500;159759;2736;0;14;0;;;;;
INDUSVAL;50531;b1;C;2;S4;199;SAO PAULO;SP;01/03/2018;599826;12693;40738;237414;308982;0;0;0;;;;;
BANCO MONEO S.A.;7441209;b2;I;2;S4;8;CAXIAS DO SUL;RS;01/03/2018;596297;44533;133144;407551;11069;0;0;0;;;;;
BMW;51420;n1;C;3;S4;197;SAO PAULO;SP;01/03/2018;596018;26641;122778;256588;190011;0;0;0;;;;;
RENDIMENTO;51468;b1;C;2;S4;199;SAO PAULO;SP;01/03/2018;582234;23628;67891;343109;147600;0;5;0;;;;;
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO LESTE CAPIXABA - SICOOB LESTE CAPIXABA;32430233;b3S;I;2;S5;9;LINHARES;ES;01/03/2018;575286;78557;155552;338457;2711;0;8;0;;;;;
BANCO GUANABARA S.A.;31880826;b1;I;2;S4;8;RIO DE JANEIRO;RJ;01/03/2018;571899;48816;28914;370577;123592;0;0;0;;;;;
DESENBAHIA - AGENCIA DE FOMENTO DO ESTADO DA BAHIA S.A.;15163587;n1;I;1;S4;30;SALVADOR;BA;01/03/2018;561883;21345;102338;407689;30512;0;0;0;;;;;
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO CENTRO BRASILEIRA LTDA.;37395399;b3S;I;2;S5;9;GOIANIA;GO;01/03/2018;533412;14753;169518;322297;26839;0;4;0;;;;;
INTER;51884;b1;C;2;S4;199;BELO HORIZONTE;MG;01/03/2018;518111;50783;105499;339708;22119;0;1;0;;;;;
UNIPRIME NORTE DO PARANÁ - COOPERATIVA DE CRÉDITO LTDA;2398976;b3S;I;2;S4;9;LONDRINA;PR;01/03/2018;513347;11050;100229;311896;90164;0;8;0;;;;;
SOCOPA;50328;b1;C;2;S4;199;SAO PAULO;SP;01/03/2018;499808;28495;22265;196752;252296;0;0;0;;;;;
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO SICREDI PIONEIRA RS - SICREDI PIONEIRA RS;91586982;b3S;I;2;S4;9;NOVA PETROPOLIS;RS;01/03/2018;475580;110148;183245;171916;10254;0;17;0;;;;;
