Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total Geral;AA;A;B;C;D;E;F;G;H;Total Exterior;;;;;;;;;;;;;
SCOTIABANK BRASIL S.A. BANCO MÚLTIPLO;29030467;b1;I;3;S4;8;SAO PAULO;SP;01/03/2018;1089925;914420;46540;0;32382;0;0;0;96583;0;0;;;;;;;;;;;;;
BANCO DE DESENVOLVIMENTO DO ESPIRITO SANTO S.A.;28145829;b4;I;1;S4;5;VITORIA;ES;01/03/2018;1077955;58193;576991;197272;97626;53227;17908;13229;29249;34261;0;;;;;;;;;;;;;
BANCO LUSO BRASILEIRO S.A.;59118133;b1;I;2;S4;8;SAO PAULO;SP;01/03/2018;1072907;0;404068;450869;108642;73463;4108;7736;5761;18260;0;;;;;;;;;;;;;
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS SERRO AZUL - SICREDI UNIÃO RS;88894548;b3S;I;2;S4;9;CERRO LARGO;RS;01/03/2018;1034160;59;352626;342936;211312;46051;16121;17284;6313;41460;0;;;;;;;;;;;;;
BANCO FORD S.A.;90731688;b2;I;3;S4;8;SAO PAULO;SP;01/03/2018;1033485;0;512828;182958;141609;188454;449;653;133;6401;0;;;;;;;;;;;;;
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO CENTRO BRASILEIRA LTDA.;37395399;b3S;I;2;S5;9;GOIANIA;GO;01/03/2018;979518;52894;452821;343840;47010;15136;19309;8928;5639;33941;0;;;;;;;;;;;;;
BANCO A.J. RENNER S.A.;92874270;b1;I;2;S4;8;PORTO ALEGRE;RS;01/03/2018;949444;0;798380;43773;34465;16879;11059;7649;5600;31639;0;;;;;;;;;;;;;
CREDICOAMO CREDITO RURAL COOPERATIVA;81723108;b3S;I;2;S4;9;CAMPO MOURAO;PR;01/03/2018;921608;6772;402210;374851;76500;18916;11372;4604;1875;24509;0;;;;;;;;;;;;;
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO CAMPOS GERAIS - SICREDI CAMPOS GERAIS PR/SP;81466286;b3S;I;2;S4;9;PONTA GROSSA;PR;01/03/2018;920744;0;355584;405122;92473;31835;12876;6797;4492;11564;0;;;;;;;;;;;;;
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO LESTE CAPIXABA - SICOOB LESTE CAPIXABA;32430233;b3S;I;2;S5;9;LINHARES;ES;01/03/2018;890163;13298;148625;247333;312463;47402;12529;28826;21456;58231;0;;;;;;;;;;;;;
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO DO ARAGUAIA E XINGU - SICREDI ARAXINGU;33021064;b3S;I;2;S4;9;CANARANA;MT;01/03/2018;873545;0;101087;357315;316234;33680;25205;17068;4001;18954;0;;;;;;;;;;;;;
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO DO CENTRO SUL DO MATO GROSSO DO SUL – SICREDI CENTRO-SUL MS;26408161;b3S;I;2;S4;9;DOURADOS;MS;01/03/2018;869952;0;291541;394672;122079;21172;9913;9930;3417;17230;0;;;;;;;;;;;;;
GRUPO BONSUCESSO - BS2;52034;b1;C;2;S4;199;BELO HORIZONTE;MG;01/03/2018;856622;179099;515225;84219;41788;2877;2799;17076;4993;8545;0;;;;;;;;;;;;;
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO SICREDI PIONEIRA RS - SICREDI PIONEIRA RS;91586982;b3S;I;2;S4;9;NOVA PETROPOLIS;RS;01/03/2018;847734;34;259612;361680;145213;30892;15914;13508;3024;17857;0;;;;;;;;;;;;;
SICOOB CREDICOM - COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS MÉDICOS E PROFISSIONAIS DA ÁREA DE SAÚDE DE MINAS GERAIS LTDA.;42898825;b3S;I;2;S4;9;BELO HORIZONTE;MG;01/03/2018;846005;511;304231;202026;266113;58325;6420;2491;1659;4229;0;;;;;;;;;;;;;
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS DO NORTE DO RIO GRANDE DO SUL E OESTE DE SANTA CATARINA - SICREDI NORTE RS/SC;87780268;b3S;I;2;S4;9;ERECHIM;RS;01/03/2018;828289;148;258382;342173;133110;46411;19438;9881;2892;15854;0;;;;;;;;;;;;;
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS PLANALTO   SICREDI PLANALTO RS/SC;88038260;b3S;I;2;S4;9;CRUZ ALTA;RS;01/03/2018;826642;0;155299;289913;257146;69674;10568;8571;10563;24907;0;;;;;;;;;;;;;
BANCO YAMAHA MOTOR DO BRASIL S.A.;10371492;b2;I;3;S4;8;GUARULHOS;SP;01/03/2018;805162;1008;1299;512380;232776;15186;8646;6841;5714;21312;0;;;;;;;;;;;;;
BANCO CBSS S.A.;27098060;b2;I;3;S4;8;BARUERI;SP;01/03/2018;805129;0;439539;19909;169012;29411;22897;20931;12728;90701;0;;;;;;;;;;;;;
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO DE CARLOS BARBOSA - SICREDI SERRANA RS;90608712;b3S;I;2;S4;9;CARLOS BARBOSA;RS;01/03/2018;777429;0;214105;350168;125835;50292;16389;8248;2891;9501;0;;;;;;;;;;;;;
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO PAMPA GAÚCHO - SICREDI PAMPA GAÚCHO;87733077;b3S;I;2;S4;9;ITAQUI;RS;01/03/2018;755483;0;208887;273596;150037;78549;9933;9308;9882;15289;0;;;;;;;;;;;;;
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO NORTE DO ESPÍRITO SANTO - SICOOB NORTE;31815293;b3S;I;2;S5;9;SAO GABRIEL DA PALHA;ES;01/03/2018;752562;5562;89765;351436;134868;33156;19240;24400;35768;58366;0;;;;;;;;;;;;;
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO SUL-SERRANA DO ESPÍRITO SANTO;815319;b3S;I;2;S5;9;VENDA NOVA DO IMIGRANTE;ES;01/03/2018;741856;5711;164563;299753;148360;51287;12894;8124;29622;21543;0;;;;;;;;;;;;;
DESENBAHIA - AGENCIA DE FOMENTO DO ESTADO DA BAHIA S.A.;15163587;n1;I;1;S4;30;SALVADOR;BA;01/03/2018;739192;183372;150092;223692;108847;10745;10131;26591;4803;20918;0;;;;;;;;;;;;;
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS DA REGIÃO CENTRO DO RGS - SICREDI REGIÃO CENTRO;95594941;b3S;I;2;S4;9;SANTA MARIA;RS;01/03/2018;731220;0;228122;321274;87788;30946;19979;7826;5218;30067;0;;;;;;;;;;;;;
UNIPRIME NORTE DO PARANÁ - COOPERATIVA DE CRÉDITO LTDA;2398976;b3S;I;2;S4;9;LONDRINA;PR;01/03/2018;713855;0;404798;219033;49341;6383;18336;4397;2271;9296;0;;;;;;;;;;;;;
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DO SUDOESTE DA AMAZÔNIA LTDA. - SICOOB CREDISUL.;3632872;b3S;I;2;S5;9;VILHENA;RO;01/03/2018;707125;9469;339040;224287;94986;11361;3876;4496;2339;17272;0;;;;;;;;;;;;;
BOFA MERRILL LYNCH;51255;b1;C;3;S3;199;SAO PAULO;SP;01/03/2018;705119;617268;6151;81700;0;0;0;0;0;0;0;;;;;;;;;;;;;
DACASA FINANCEIRA;51891;n1;C;2;S4;197;VITORIA;ES;01/03/2018;697432;0;409463;37987;31419;23056;20174;20088;22748;132498;0;;;;;;;;;;;;;
MIZUHO;51554;b1;I;3;S4;199;SAO PAULO;SP;01/03/2018;691924;598742;0;0;0;0;0;0;0;0;93182;;;;;;;;;;;;;
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO DO SUDOESTE MT/PA - SICREDI SUDOESTE MT/PA;32995755;b3S;I;2;S4;9;TANGARA DA SERRA;MT;01/03/2018;680386;1;226205;279107;81946;35527;12880;10631;4825;29263;0;;;;;;;;;;;;;
AGÊNCIA DE FOMENTO DO ESTADO DE SANTA CATARINA S.A.-BADESC;82937293;n1;I;1;S4;30;FLORIANOPOLIS;SC;01/03/2018;671927;190569;197703;163827;37109;24947;3516;7643;0;46613;0;;;;;;;;;;;;;
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO SORRISO - SICREDI CELEIRO DO MT;26555235;b3S;I;2;S4;9;SORRISO;MT;01/03/2018;664908;0;114585;341047;113700;33203;12233;12620;3629;33892;0;;;;;;;;;;;;;
INDUSVAL;50531;b1;C;2;S4;199;SAO PAULO;SP;01/03/2018;652566;49425;110735;176509;142081;59784;3189;0;56366;54476;0;;;;;;;;;;;;;
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO - SICOOB CREDICOONAI;53923116;b3S;I;2;S4;9;RIBEIRAO PRETO;SP;01/03/2018;647326;3927;429102;111386;26241;5641;42244;1295;4515;22974;0;;;;;;;;;;;;;
CARUANA S.A. - SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO;9313766;n1;I;2;S4;14;SAO PAULO;SP;01/03/2018;632060;0;315612;132353;107546;33162;8021;7084;16852;11429;0;;;;;;;;;;;;;
COOPERATIVA DE CRÉDITO SICREDI JOÃO PESSOA;35571249;b3S;I;2;S5;9;JOAO PESSOA;PB;01/03/2018;630921;0;331867;112947;78757;56978;24381;10282;3140;12569;0;;;;;;;;;;;;;
