Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total Geral;AA;A;B;C;D;E;F;G;H;Total Exterior;;;;;;;;;;;;;
BANCO MONEO S.A.;7441209;b2;I;2;S4;8;CAXIAS DO SUL;RS;01/03/2018;607802;42547;165075;200052;102439;29507;8864;19684;13282;26351;0;;;;;;;;;;;;;
BANCO SEMEAR S.A.;795423;b1;I;2;S4;8;BELO HORIZONTE;MG;01/03/2018;607700;0;441954;66669;38917;21317;10625;3400;3990;20828;0;;;;;;;;;;;;;
RENDIMENTO;51468;b1;C;2;S4;199;SAO PAULO;SP;01/03/2018;602173;0;414152;85013;62561;18101;1670;9496;8797;2383;0;;;;;;;;;;;;;
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS ALTO URUGUAI - SICREDI ALTO URUGUAI RS/SC;87733770;b3S;I;2;S4;9;RODEIO BONITO;RS;01/03/2018;593808;0;135311;220846;166318;36765;11690;7539;3400;11939;0;;;;;;;;;;;;;
BANCO GUANABARA S.A.;31880826;b1;I;2;S4;8;RIO DE JANEIRO;RJ;01/03/2018;585598;0;51555;287013;195329;17518;11612;8188;1425;12957;0;;;;;;;;;;;;;
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS SÃO MIGUEL DO OESTE - SICOOB SÃO MIGUEL SC;81607046;b3S;I;2;S5;9;SAO MIGUEL D'OESTE;SC;01/03/2018;582922;9759;161335;244883;87460;12666;3083;18702;1007;44026;0;;;;;;;;;;;;;
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DO CENTRO SUL RONDONIENSE - SICOOB CREDIP.;2015588;b3S;I;2;S5;9;PIMENTA BUENO;RO;01/03/2018;569011;7456;176400;257882;84632;15920;9860;5884;2972;8005;0;;;;;;;;;;;;;
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO VALE DO CERRADO - SICREDI VALE DO CERRADO;32983165;b3S;I;2;S4;9;CAMPO VERDE;MT;01/03/2018;544926;0;120052;189561;121012;49531;25393;22215;2197;14966;0;;;;;;;;;;;;;
COOPERATIVA DE POUPANÇA E CRÉDITO DE LIVRE ADMISSÃO DA REGIÃO DE MARINGÁ - SICOOB METROPOLITANO;3459850;b3S;I;2;S5;9;MARINGA;PR;01/03/2018;526265;6119;141904;142537;142491;26730;32419;8534;2888;22643;0;;;;;;;;;;;;;
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO UNIÃO DOS ESTADOS DE MATO GROSSO DO SUL, TOCANTINS E OESTE DA BAHIA - SICREDI UNIÃO MS/TO;24654881;b3S;I;2;S4;9;CAMPO GRANDE;MS;01/03/2018;523475;0;198695;177721;86687;22654;13600;6272;8096;9751;0;;;;;;;;;;;;;
SOCOPA;50328;b1;C;2;S4;199;SAO PAULO;SP;01/03/2018;517637;0;11334;383586;104138;1158;16663;179;185;394;0;;;;;;;;;;;;;
BARIGUI;51774;n1;C;2;S4;197;CURITIBA;PR;01/03/2018;514485;26563;386049;44451;42582;7960;3035;1552;1324;970;0;;;;;;;;;;;;;
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO DO NORTE MATO-GROSSENSE – SICREDI NORTE MT/PA;37442605;b3S;I;2;S4;9;COLIDER;MT;01/03/2018;512198;0;121597;217803;81165;32845;17666;13502;5003;22617;0;;;;;;;;;;;;;
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO FRONTEIRAS DO PARANÁ, SANTA CATARINA E SÃO PAULO - SICREDI FRONTEIRAS PR/SC/SP;82527557;b3S;I;2;S4;9;CAPANEMA;PR;01/03/2018;505481;0;164466;223350;75790;18097;5899;5100;1914;10866;0;;;;;;;;;;;;;
COOPERATIVA DE CREDITO CENTRO-SERRANA DO ESPIRITO SANTO - SICOOB CENTRO-SERRANO;31804966;b3S;I;2;S5;9;SANTA MARIA DE JETIBA;ES;01/03/2018;502998;6070;69269;221983;122172;28838;9185;16280;7404;21797;0;;;;;;;;;;;;;
COOPERATIVA DE CRÉDITO UNICRED DA GRANDE FLORIANÓPOLIS LTDA - UNICRED FLORIANÓPOLIS;74064502;b3S;I;2;S5;9;FLORIANOPOLIS;SC;01/03/2018;501071;61269;152105;146236;82554;11272;14807;17364;8851;6612;0;;;;;;;;;;;;;
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO NOROESTE RS – SICREDI NOROESTE RS;89049738;b3S;I;2;S4;9;TRES DE MAIO;RS;01/03/2018;500142;0;137579;177249;94456;56069;16953;9140;2867;5828;0;;;;;;;;;;;;;
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO SUL DO ESPÍRITO SANTO - SICOOB SUL;32467086;b3S;I;2;S5;9;CACHOEIRO DE ITAPEMIRIM;ES;01/03/2018;491245;10161;185123;208692;40287;19467;3888;3119;1357;19152;0;;;;;;;;;;;;;
BANCO RIBEIRAO PRETO S.A.;517645;b1;I;2;S4;8;RIBEIRAO PRETO;SP;01/03/2018;491025;68966;281230;78355;17884;7829;23397;1796;4699;6869;0;;;;;;;;;;;;;
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS REGIÃO DAS CULTURAS - SICREDI DAS CULTURAS RS;90729369;b3S;I;2;S5;9;IJUI;RS;01/03/2018;477342;0;89585;239995;91370;26888;8979;4420;1915;14191;0;;;;;;;;;;;;;
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DO NORTE DO PARANÁ - SICOOB NORTE DO PARANÁ;5582619;b3S;I;2;S5;9;LONDRINA;PR;01/03/2018;475316;14300;160646;134597;107113;10581;16321;6535;3108;22115;0;;;;;;;;;;;;;
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO CELEIRO CENTRO OESTE – SICREDI CELEIRO CENTRO OESTE;3566655;b3S;I;2;S4;9;SAO GABRIEL DO OESTE;MS;01/03/2018;468642;0;152846;222299;59068;13214;8121;5475;917;6701;0;;;;;;;;;;;;;
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS ALTOS DA SERRA - SICREDI ALTOS DA SERRA RS/SC;92555150;b3S;I;2;S4;9;TAPEJARA;RS;01/03/2018;466371;1;128581;188671;97067;23978;8817;5496;3453;10306;0;;;;;;;;;;;;;
COOPERATIVA DE ECONOMIA E CREDITO MUTUO DOS MEDICOS DE PORTO ALEGRE LTDA-UNICRED PORTO ALEGRE;94433109;b3S;I;2;S5;9;PORTO ALEGRE;RS;01/03/2018;457773;65518;137353;126565;61129;29461;12833;4024;6344;14546;0;;;;;;;;;;;;;
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO OURO BRANCO – SICREDI OURO BRANCO RS;87853206;b3S;I;2;S4;9;TEUTONIA;RS;01/03/2018;453076;0;117332;154452;91411;59474;9730;6496;2952;11231;0;;;;;;;;;;;;;
COOPERATIVA DE CREDITO, POUPANCA E INVESTIMENTO IGUACU - SICREDI IGUACU PR/SC/SP;84974278;b3S;I;2;S4;9;SAO JOAO;PR;01/03/2018;452776;0;149937;183123;66341;31218;7102;3959;2512;8584;0;;;;;;;;;;;;;
MODAL;51963;b1;C;2;S4;199;RIO DE JANEIRO;RJ;01/03/2018;450438;13466;305387;112149;14187;0;0;0;0;520;4730;;;;;;;;;;;;;
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO DA REGIÃO DOS VALES - SICREDI REGIÃO DOS VALES RS;89126130;b3S;I;2;S4;9;ENCANTADO;RS;01/03/2018;448124;0;64113;55748;31391;167667;70033;21694;13620;23858;0;;;;;;;;;;;;;
COOPERATIVA DE CRÉDITO DO LESTE DE SANTA CATARINA E DO PARANÁ LTDA - UNICRED UNIÃO;74114042;b3S;I;2;S5;9;ITAJAI;SC;01/03/2018;446993;24302;102591;147275;79580;48133;22656;4771;3943;13743;0;;;;;;;;;;;;;
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS DE IBIRAIARAS - SICREDI IBIRAIARAS - RS;89990501;b3S;I;2;S4;9;IBIRAIARAS;RS;01/03/2018;431063;0;133797;172318;54463;36381;11961;4777;2466;14901;0;;;;;;;;;;;;;
CAIXA GERAL;51815;b1;C;3;S4;199;SAO PAULO;SP;01/03/2018;429437;1039;71977;202010;42149;43888;48301;20072;0;0;0;;;;;;;;;;;;;
COOPERATIVA DE CRÉDITO POUPANÇA E INVESTIMENTO DA ZONA SUL - SICREDI ZONA SUL RS;90497256;b3S;I;2;S4;9;PELOTAS;RS;01/03/2018;423492;21;166545;144803;52726;27715;8756;7205;2194;13528;0;;;;;;;;;;;;;
COOPERATIVA DE ECONOMIA E CREDITO MUTUO DOS MEDICOS E DEMAIS PROFISSIONAIS DA AREA DE SAUDE DO ESTADO DE SAO PAULO LTDA    UNICRED DO ESTADO DE SAO PAULO;71884498;b3S;I;2;S5;9;CAMPINAS;SP;01/03/2018;420916;43095;115301;125591;45813;41252;21181;10309;8184;10190;0;;;;;;;;;;;;;
BANCO TOPÁZIO S.A.;7679404;b1;I;2;S4;8;PORTO ALEGRE;RS;01/03/2018;414411;0;91962;102386;176331;16021;9974;4570;4628;8538;0;;;;;;;;;;;;;
MÁXIMA;50201;b1;C;2;S4;199;RIO DE JANEIRO;RJ;01/03/2018;414398;0;236365;24469;24035;96261;6168;9482;3912;13707;0;;;;;;;;;;;;;
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DO SUDOESTE GOIANO;24795049;b3S;I;2;S5;9;RIO VERDE;GO;01/03/2018;413242;0;19433;289342;66829;6142;3206;11568;12805;3918;0;;;;;;;;;;;;;
COOPERATIVA DE CREDITO, POUPANÇA E INVESTIMENTO ALIANÇA - SICREDI ALIANÇA PR/SP;79052122;b3S;I;2;S4;9;MARECHAL CANDIDO RONDON;PR;01/03/2018;413153;120;128026;164006;52610;35396;5479;3090;1848;22578;0;;;;;;;;;;;;;
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO BOTUCARAÍ – SICREDI BOTUCARAÍ RS;87900601;b3S;I;2;S4;9;SOLEDADE;RS;01/03/2018;406421;0;109762;119434;115128;31025;5937;5787;5990;13359;0;;;;;;;;;;;;;
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO DA REGIÃO DA PRODUÇÃO – SICREDI REGIÃO DA PRODUÇÃO RS/SC;89468565;b3S;I;2;S4;9;SARANDI;RS;01/03/2018;394396;0;181205;137503;49133;11567;4012;3924;1271;5782;0;;;;;;;;;;;;;
COOPERATIVA DE CRÉDITO DO TRIÂNGULO MINEIRO E SÃO FRANCISCO LTDA. - SICOOB ARACOOP;3320525;b3S;I;2;S5;9;ARAGUARI;MG;01/03/2018;392408;12498;264300;79651;12871;6357;4069;5103;1355;6206;0;;;;;;;;;;;;;
COOPERATIVA DE CREDITO, POUPANÇA E INVESTIMENTO PARQUE DAS ARAUCARIAS - SICREDI PARQUE DAS ARAUCARIAS PR/SC/SP;82065285;b3S;I;2;S4;9;MARIOPOLIS;PR;01/03/2018;390051;0;173226;137397;41657;16345;5855;6817;2003;6752;0;;;;;;;;;;;;;
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO UNIVALES – SICREDI UNIVALES MT/RO;70431630;b3S;I;2;S4;9;JUINA;MT;01/03/2018;384857;0;91744;169657;81742;18910;6895;2332;3063;10514;0;;;;;;;;;;;;;
BANCO DA CHINA BRASIL S.A.;10690848;b1;I;3;S4;8;SAO PAULO;SP;01/03/2018;382452;47642;280278;0;0;21507;33026;0;0;0;0;;;;;;;;;;;;;
COOPERATIVA DE CRÉDITO E INVESTIMENTO DE LIVRE ADMISSÃO AGROEMPRESARIAL - SICREDI AGROEMPRESARIAL PR/SP;79457883;b3S;I;2;S4;9;MANDAGUARI;PR;01/03/2018;382131;17;155212;148567;39733;17044;4280;4336;1029;11913;0;;;;;;;;;;;;;
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO DA FRONTEIRA SUL – SICREDI FRONTEIRA SUL RS;88530142;b3S;I;2;S5;9;BAGE;RS;01/03/2018;368670;0;110267;186996;43544;18125;2029;3137;1075;3498;0;;;;;;;;;;;;;
COOPERATIVA DE CRÉDITO SUL - SICOOB SUL;5888589;b3S;I;2;S5;9;CURITIBA;PR;01/03/2018;365510;27624;145577;101587;56549;19694;6846;1025;1213;5394;0;;;;;;;;;;;;;
HAITONG;51482;b2;C;3;S3;198;SAO PAULO;SP;01/03/2018;364190;76462;162770;20440;0;40748;55806;0;7963;0;0;;;;;;;;;;;;;
COOPERATIVA DE CRÉDITO POUPANÇA E INVESTIMENTO INTEGRAÇÃO ROTA DAS TERRAS – SICREDI INTEGRAÇÃO ROTA DAS TERRAS RS;87510475;b3S;I;2;S4;9;TAPERA;RS;01/03/2018;362490;0;94048;137525;78590;20976;5320;8301;3676;14053;0;;;;;;;;;;;;;
INTESA SANPAOLO BRASIL S.A. - BANCO MÚLTIPLO;55230916;b1;I;3;S4;8;SAO PAULO;SP;01/03/2018;359696;94947;201194;49058;14498;0;0;0;0;0;0;;;;;;;;;;;;;
COOPERATIVA DE CRÉDITO POUPANÇA E INVESTIMENTO CENTRO LESTE - SICREDI CENTRO LESTE RS;88471024;b3S;I;2;S4;9;CACHOEIRA DO SUL;RS;01/03/2018;358744;0;123032;121291;62298;25636;11373;5886;1602;7627;0;;;;;;;;;;;;;
COOPERATIVA DE CRÉDITO UNICRED SUL CATARINENSE LTDA - UNICRED SUL CATARINENSE;75847;b3S;I;2;S5;9;CRICIUMA;SC;01/03/2018;351225;35250;112508;123506;56981;12914;4388;2507;826;2346;0;;;;;;;;;;;;;
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO INTEGRAÇÃO DE ESTADOS DO RIO GRANDE DO SUL E SANTA CATARINA - SICREDI INTEGRAÇÃO DE ESTADOS RS/SC;87781530;b3S;I;2;S4;9;PASSO FUNDO;RS;01/03/2018;346964;0;141723;101170;51826;25374;7323;7020;2529;9999;0;;;;;;;;;;;;;
COOPERATIVA DE CRÉDITO DOS MÉDICOS, PROFISSIONAIS DA SAÚDE E EMPRESÁRIOS DE MATO GROSSO;36900256;b3S;I;2;S5;9;CUIABA;MT;01/03/2018;339525;32672;97920;96612;77234;16264;5269;7004;1427;5123;0;;;;;;;;;;;;;
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO DE LAJEADO - SICREDI VALE DO TAQUARI RS;91159764;b3S;I;2;S4;9;LAJEADO;RS;01/03/2018;339223;0;109629;165242;26803;20903;6801;1821;2027;5995;0;;;;;;;;;;;;;
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS CELEIRO - SICREDI CELEIRO RS/SC;88099247;b3S;I;2;S4;9;CAMPO NOVO;RS;01/03/2018;337994;0;107409;105504;79859;22876;7358;4474;2323;8190;0;;;;;;;;;;;;;
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE GOIÂNIA E REGIÃO LTDA;4388688;b3S;I;2;S5;9;GOIANIA;GO;01/03/2018;334225;24760;142224;86978;48640;6311;20194;1316;668;3134;0;;;;;;;;;;;;;
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO PROGRESSO - SICREDI PROGRESSO PR/SP;76059997;b3S;I;2;S4;9;TOLEDO;PR;01/03/2018;333415;0;100148;128204;65408;17570;7623;4240;1423;8798;0;;;;;;;;;;;;;
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DO SUDOESTE DE MINAS GERAIS E NORDESTE DE SÃO PAULO LTDA - SICOOB AGROCREDI;42873828;b3S;I;2;S4;9;GUAXUPE;MG;01/03/2018;328511;848;49272;169516;70891;11734;4586;4688;1846;15130;0;;;;;;;;;;;;;
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS VALE DO JAGUARI - SICREDI VALE DO JAGUARI RS;87780284;b3S;I;2;S4;9;SANTIAGO;RS;01/03/2018;324818;28;96462;135963;34501;33230;5052;6114;1891;11576;0;;;;;;;;;;;;;
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO ALIANÇA RS/SC - SICREDI ALIANÇA RS/SC;87795639;b3S;I;2;S4;9;MARAU;RS;01/03/2018;324152;6;112463;127835;54100;14561;4928;1915;1468;6875;0;;;;;;;;;;;;;
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO DO PLANALTO CENTRAL - SICREDI PLANALTO CENTRAL;10736214;b3S;I;2;S4;9;CRISTALINA;GO;01/03/2018;324077;8;93503;142268;61046;10514;5408;2459;503;8369;0;;;;;;;;;;;;;
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO DE CAMPO GRANDE E REGIÃO - SICREDI CAMPO GRANDE MS;3042597;b3S;I;2;S4;9;CAMPO GRANDE;MS;01/03/2018;320088;0;120211;132067;31626;12981;6394;3198;1544;12067;0;;;;;;;;;;;;;
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DA REGIÃO DE GUARIBA;44469161;b3S;I;2;S4;9;GUARIBA;SP;01/03/2018;318987;12866;187574;74330;20834;1384;685;2515;8556;10242;0;;;;;;;;;;;;;
ICBC DO BRASIL BANCO MÚLTIPLO S.A.;17453575;b1;I;3;S4;8;SAO PAULO;SP;01/03/2018;313858;44333;208142;39353;22030;0;0;0;0;0;0;;;;;;;;;;;;;
COOPERATIVA DE CREDITO DE LIVRE ADMISSÃO DE ASSOCIADOS ITAIPU SICOOB CREDITAIPU;81014060;b3S;I;2;S5;9;PINHALZINHO;SC;01/03/2018;306666;1702;80115;124207;79220;8667;2326;2235;1639;6555;0;;;;;;;;;;;;;
SOROCRED   CRÉDITO, FINANCIAMENTO E INVESTIMENTO S.A.;4814563;n1;I;2;S4;14;SOROCABA;SP;01/03/2018;304643;0;190312;14633;18269;15148;11073;10815;10653;33739;0;;;;;;;;;;;;;
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DO ALTO PARANAÍBA, NOROESTE E OESTE DE MINAS LTDA - UNICRED INTEGRAÇÃO DE MINAS;1727929;b3S;I;2;S5;9;PATOS DE MINAS;MG;01/03/2018;304236;37871;75052;98575;63397;17824;2562;5330;1499;2127;0;;;;;;;;;;;;;
PORTOCRED S.A. - CREDITO, FINANCIAMENTO E INVESTIMENTO;1800019;n1;I;2;S4;14;PORTO ALEGRE;RS;01/03/2018;301421;0;206332;11150;14718;9043;8004;7472;8156;36546;0;;;;;;;;;;;;;
COOPERATIVA DE CRÉDITO DE CASCAVEL E REGIÃO - SICOOB CREDICAPITAL;4529074;b3S;I;2;S5;9;CASCAVEL;PR;01/03/2018;300924;7486;103741;104862;54387;11813;7341;1572;1144;8578;0;;;;;;;;;;;;;
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO NOSSA TERRA - SICREDI NOSSA TERRA PR/SP;81192106;b3S;I;2;S4;9;CAFELANDIA;PR;01/03/2018;298473;7;83495;124129;41147;28899;6343;6376;1356;6721;0;;;;;;;;;;;;;
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS DO NORTE E NORDESTE DE SANTA CATARINA - SICREDI NORTE SC;2843443;b3S;I;2;S4;9;JOINVILLE;SC;01/03/2018;297727;0;119903;113693;35893;10537;5392;3626;1727;6957;0;;;;;;;;;;;;;
BANCO RANDON S.A.;11476673;b2;I;2;S4;8;CAXIAS DO SUL;RS;01/03/2018;297616;0;163223;95345;5818;24693;1858;1380;4880;418;0;;;;;;;;;;;;;
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO DO SUL DE MATO GROSSO – SICREDI SUL MT;26549311;b3S;I;2;S4;9;RONDONOPOLIS;MT;01/03/2018;297153;0;104067;99957;46606;23793;5930;3264;1320;12216;0;;;;;;;;;;;;;
AVISTA S.A. CRÉDITO, FINANCIAMENTO E INVESTIMENTO;23862762;n1;I;2;S4;14;VITORIA;ES;01/03/2018;295841;0;89849;60121;93022;27813;16315;5269;2051;1401;0;;;;;;;;;;;;;
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO DO VALE DO RIO PARDO - SICREDI VALE DO RIO PARDO RS;95424891;b3S;I;2;S4;9;SANTA CRUZ DO SUL;RS;01/03/2018;292556;0;84652;108111;53692;21580;3401;2342;4441;14339;0;;;;;;;;;;;;;
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO DE ASSOCIADOS DO NOROESTE DE MATO GROSSO E ACRE – SICREDI NOROESTE MT E ACRE;33022690;b3S;I;2;S4;9;ARAPUTANGA;MT;01/03/2018;292049;0;82286;102111;77254;11395;7172;1721;821;9289;0;;;;;;;;;;;;;
ESTRELA MINEIRA CREDITO, FINANCIAMENTO E INVESTIMENTO S/A;5351887;n1;I;2;S4;14;ARAXA;MG;01/03/2018;291516;0;208471;22022;13872;8731;6982;5914;4987;20537;0;;;;;;;;;;;;;
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS DO ALTO URUGUAI CATARINENSE - SICOOB - CREDIAUC/SC;78840071;b3S;I;2;S5;9;CONCORDIA;SC;01/03/2018;291055;10851;117533;116768;19114;6428;10353;2302;1394;6312;0;;;;;;;;;;;;;
COOPERATIVA DE CRÉDITO SICOOB VALE DO IGUAÇU;2466552;b3S;I;2;S5;9;FRANCISCO BELTRAO;PR;01/03/2018;288883;10270;116094;127432;23449;3935;2146;1516;1057;2983;0;;;;;;;;;;;;;
COOPERATIVA DE CRÉDITO DOS MÉDICOS E DEMAIS PROFISSIONAIS DA SAÚDE, PEQUENOS EMPRESÁRIOS, MICROEMPRESÁRIOS E MICROEMPREENDEDORES - SICOOB UNIMAIS BANDEIRANTE;3055269;b3S;I;2;S5;9;AMERICANA;SP;01/03/2018;286803;26635;96688;122197;16791;13192;2359;1933;1744;5265;0;;;;;;;;;;;;;
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO CENTRO SUL - SICREDI CENTRO SUL PR/SC/RJ;78907607;b3S;I;2;S5;9;PRUDENTOPOLIS;PR;01/03/2018;284118;2;93936;95540;45603;23557;9301;4117;3929;8131;0;;;;;;;;;;;;;
COOPERATIVA DE CREDITO UNICRED DESBRAVADORA LTDA   UNICRED DESBRAVADORA SUL;1039011;b3S;I;2;S5;9;CHAPECO;SC;01/03/2018;278188;44911;87925;90775;32861;9365;3715;3457;1421;3758;0;;;;;;;;;;;;;
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO CENTRO SERRA - SICREDI CENTRO SERRA RS;87067757;b3S;I;2;S4;9;AGUDO;RS;01/03/2018;277700;0;104984;57475;55732;35075;4795;3769;1910;13959;0;;;;;;;;;;;;;
COOPERATIVA DE CRÉDITO DOS PROPRIETÁRIOS DA INDÚSTRIA DE ROCHAS ORNAMENTAIS, CAL E CALCÁRIOS DO ESTADO DO ESPÍRITO SANTO - SICOOB CREDIROCHAS;3358914;b3S;I;2;S5;9;CACHOEIRO DE ITAPEMIRIM;ES;01/03/2018;265343;1431;63640;75822;56225;36912;4334;8817;3162;14999;0;;;;;;;;;;;;;
COOPERATIVA CENTRAL DE CRÉDITO, POUPANÇA E INVESTIMENTO DO SUL E SUDESTE - CENTRAL SICREDI SUL/SUDESTE;87437687;b3C;I;2;S3;9;PORTO ALEGRE;RS;01/03/2018;262027;237467;22544;0;0;2017;0;0;0;0;0;;;;;;;;;;;;;
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO DO NORTE DO PARANÁ E SUL DE SÃO PAULO - SICREDI NORTE SUL PR/SP;79063574;b3S;I;2;S4;9;SANTO ANTONIO DA PLATINA;PR;01/03/2018;260929;0;117011;85002;31122;8820;4721;2867;1669;9717;0;;;;;;;;;;;;;
COOPERATIVA DE CRÉDITO DOS MÉDICOS E DEMAIS PROFISSIONAIS DA SAÚDE, CONTABILISTAS, PROFESSORES E EMPRESÁRIOS DE BLUMENAU E VALE DO ITAJAÍ LTDA - UNICRED BLUMENAU;73443863;b3S;I;2;S5;9;BLUMENAU;SC;01/03/2018;260662;23301;100045;71868;37004;6814;8813;7418;2608;2790;0;;;;;;;;;;;;;
COOPERATIVA DE CRÉDITO POUPANÇA E INVESTIMENTO PANTANAL DO MATO GROSSO DO SUL - SICREDI PANTANAL MS;26408187;b3S;I;2;S4;9;MARACAJU;MS;01/03/2018;259796;0;44799;127890;41929;20261;9661;2034;1143;12079;0;;;;;;;;;;;;;
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO DE ESPUMOSO – SICREDI ESPUMOSO RS;87900411;b3S;I;2;S4;9;ESPUMOSO;RS;01/03/2018;257751;0;49183;110602;34848;33541;10186;6394;2715;10282;0;;;;;;;;;;;;;
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS DO VALE DO ITAJAÍ E LITORAL CATARINENSE - SICREDI VALE LITORAL SC;10348181;b3S;I;2;S4;9;ITAPEMA;SC;01/03/2018;252005;3;99962;84705;29686;14416;7170;4151;2534;9377;0;;;;;;;;;;;;;
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO ENCOSTA SUPERIOR DO NORDESTE RS – SICREDI NORDESTE RS;95213211;b3S;I;2;S4;9;ROLANTE;RS;01/03/2018;249708;1;82004;117893;22346;14688;2937;2415;2927;4497;0;;;;;;;;;;;;;
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DO PONTAL DO TRIANGULO LTDA - SICOOB CREDIPONTAL;26178533;b3S;I;2;S5;9;ITUIUTABA;MG;01/03/2018;249081;8333;114172;90485;13177;13476;600;2058;2920;3859;0;;;;;;;;;;;;;
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS LITORÂNEA;85291086;b3S;I;2;S5;9;JACINTO MACHADO;SC;01/03/2018;241757;7041;108284;92086;24446;4341;1339;1889;399;1933;0;;;;;;;;;;;;;
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DA REGIÃO DE VARGINHA LTDA - SICOOB CREDIVAR;25798596;b3S;I;2;S5;9;VARGINHA;MG;01/03/2018;239416;4065;47735;126747;47179;3168;2133;1522;875;5991;0;;;;;;;;;;;;;
FACTA FINANCEIRA S.A. - CRÉDITO FINANCIAMENTO E INVESTIMENTO;15581638;n1;I;2;S4;14;PORTO ALEGRE;RS;01/03/2018;238514;0;198204;10074;8228;5328;3376;2821;2474;8010;0;;;;;;;;;;;;;
COOPERATIVA DE CRÉDITO MÚTUO DOS EMPREGADOS DA EMBRAER;46642294;b3S;I;2;S5;9;SAO JOSE DOS CAMPOS;SP;01/03/2018;237654;0;220003;5865;4095;1766;1614;784;847;2680;0;;;;;;;;;;;;;
CSILATINA ARRENDAMENTO MERCANTIL S.A.;5883884;n1;I;3;S4;19;BARUERI;SP;01/03/2018;236665;12579;122845;46180;35722;12780;284;481;115;5678;0;;;;;;;;;;;;;
C H B - COMPANHIA HIPOTECARIA BRASILEIRA;10694628;n1;I;2;S4;29;NATAL;RN;01/03/2018;236591;833;100632;76329;27005;16233;6687;3241;401;5228;0;;;;;;;;;;;;;
NEGRESCO S.A. - CREDITO, FINANCIAMENTO E INVESTIMENTOS;4379829;n1;I;2;S4;14;CURITIBA;PR;01/03/2018;235962;0;139202;17898;14005;9796;7689;7473;7059;32840;0;;;;;;;;;;;;;
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS DO PLANALTO CATARINENSE SICOOB CREDIPLANALTO SC/RS;1389651;b3S;I;2;S5;9;PAPANDUVA;SC;01/03/2018;234559;20556;90193;99832;10976;1101;946;3646;669;6638;0;;;;;;;;;;;;;
