Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total Geral;Prefixado;TR / TBF;TJLP;TLP;Libor;Outras Taxas Pós-Fixadas;Carteira ativa com indexador CDI;SELIC;Outras Taxas Flutuantes;IGPM;IPCA;IPCC;Outros Índices de Preço;Outros Indexadores;Total não Individualizado;Total Exterior;;;
COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS SERVIDORES DA UNESP - COOPUNESP;69136075;b3S;I;2;S5;9;RIO CLARO;SP;01/03/2018;2400;2400;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS FUNCIONÁRIOS DA ASSEMBLÉIA LEGISLATIVA DO ESTADO DA PARAÍBA LTDA. -  COOPERLEGIS;41146382;b3S;I;2;S5;9;JOAO PESSOA;PB;01/03/2018;2339;2339;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;;;
COOPERATIVA DE CRÉDITO RURAL E SERVIDORES PÚBLICOS DE MINEIROS GOIÁS;5491616;b3S;I;2;S5;9;MINEIROS;GO;01/03/2018;2338;0;0;0;0;0;0;0;0;0;0;0;0;0;2335;2;0;;;
COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS EMPREGADOS DA AÇO MINAS GERAIS S.A. - AÇOMINAS E EMPRESAS SUBSIDIÁRIAS EM OURO BRANCO LTDA. - COOPAÇO;17314501;b3S;I;2;S5;9;OURO BRANCO;MG;01/03/2018;2335;0;0;0;0;0;2333;0;0;0;0;0;0;0;0;2;0;;;
SOCRED S.A. - SOCIEDADE DE CRÉDITO AO MICROEMPREENDEDOR;9210106;n1;I;2;S5;10;BELEM;PA;01/03/2018;2328;2328;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
COOPERATIVA DE CRÉDITO MÚTUO DOS EMPREGADOS DA FIAÇÃO ALPINA - COOPERALPINA;55319370;b3S;I;2;S5;9;MORUNGABA;SP;01/03/2018;2270;2270;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS EMPREGADOS DA EATON LTDA.;43553049;b3S;I;2;S5;9;SAO JOSE DOS CAMPOS;SP;01/03/2018;2226;2225;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS FUNCIONÁRIOS DO GRUPO LORENZETTI;44905255;b3S;I;2;S5;9;SAO PAULO;SP;01/03/2018;2181;2179;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;;;
COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS FUNCIONÁRIOS DAS EMPRESAS DE CERÂMICA - COOPASPACER;2541707;b3S;I;2;S5;9;SANTA GERTRUDES;SP;01/03/2018;2159;2159;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
COOPERASA - COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS FUNCIONARIOS DAS EMPRESAS DA AGUIA PARTICIPAÇÕES;5296712;b3S;I;2;S5;9;PONTA GROSSA;PR;01/03/2018;2159;24;2132;0;0;0;0;0;0;0;0;0;0;0;0;2;0;;;
COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS FUNCIONÁRIOS DA DANA;50654300;b3S;I;2;S5;9;OSASCO;SP;01/03/2018;2157;0;0;0;0;0;2157;0;0;0;0;0;0;0;0;1;0;;;
COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS EMPREGADOS DA JOLIMODE ROUPAS E EMPRESAS COLIGADAS LTDA;28244622;b3S;I;2;S5;9;RIO DE JANEIRO;RJ;01/03/2018;2129;2126;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;;;
COOPERATIVA DE ECONOMIA E CREDITO MUTUO DOS FUNCIONARIOS DA GKN DO BRASIL LTDA;5331882;b3S;I;2;S5;9;PORTO ALEGRE;RS;01/03/2018;2120;0;0;0;0;0;2119;0;0;0;0;0;0;0;0;1;0;;;
COOPERATIVA DE CRÉDITO MÚTUO DOS EMPREGADOS EM EMPRESAS ADMINISTRADORAS DE AEROPORTOS - AEROCRED;5292849;b3S;I;2;S5;9;GUARULHOS;SP;01/03/2018;2093;0;0;0;0;0;0;0;0;0;0;0;0;0;2093;0;0;;;
COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS SERVIDORES DA POLÍCIA MILITAR DO ESTADO DE SÃO PAULO DA REGIÃO CENTRO-OESTE PAULISTA - CREDMIL;4152107;b3S;I;2;S5;9;BAURU;SP;01/03/2018;2044;2043;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS EMPREGADOS DA ALCATEL-LUCENT BRASIL;62781232;b3S;I;2;S5;9;SAO PAULO;SP;01/03/2018;2020;2020;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
CENTRAL DAS COOPERATIVAS DE CRÉDITO DO BRASIL CENTRAL, AMAZÔNIA OCIDENTAL E MUNICÍPIO DE UBÁ;4243780;b3C;I;2;S4;9;GOIANIA;GO;01/03/2018;2000;0;0;0;0;0;0;2000;0;0;0;0;0;0;0;0;0;;;
COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS EMPREGADOS DAS INDÚSTRIAS UNILEVER DO BRASIL;53272365;b3S;I;2;S5;9;VALINHOS;SP;01/03/2018;1992;1991;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;;;
COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS FUNCIONÁRIOS DA COMPANHIA PAULISTA DE TRENS METROPOLITANOS - COOPERTREM;1530136;b3S;I;2;S5;9;OSASCO;SP;01/03/2018;1983;1983;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS FUNCIONÁRIOS DA ANDORINHA - COFASA;64761471;b3S;I;2;S5;9;PRESIDENTE PRUDENTE;SP;01/03/2018;1969;1967;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;;;
MONEY PLUS SOCIEDADE DE CRÉDITO AO MICROEMPREENDEDOR E A EMPRESA DE PEQUENO PORTE LTDA.;11581339;n1;I;2;S5;10;SAO PAULO;SP;01/03/2018;1953;1945;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;;;
COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS EMPREGADOS DA PRODAM/SP - CREDIPRODAM;67031757;b3S;I;2;S5;9;SAO PAULO;SP;01/03/2018;1892;1877;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
COOPERATIVA DE ECONOMIA E CREDITO MUTUO DOS SERVIDORES PUBLICOS MUNICIPAIS DE PORTO ALEGRE;3990888;b3S;I;2;S5;9;PORTO ALEGRE;RS;01/03/2018;1863;1862;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;;;
COOPERATIVA DE CRÉDITO RURAL DO SERTÃO ALAGOANO ASCOOB COCREAL;7564184;b3S;I;2;S5;9;PAO DE ACUCAR;AL;01/03/2018;1845;1842;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;;;
COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS FUNCIONÁRIOS DAS EMPRESAS DE ENERGIA ELÉTRICA DO ESTADO DE SÃO PAULO - COOPENERG;52301496;b3S;I;2;S5;9;SAO PAULO;SP;01/03/2018;1834;1428;406;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
COOPERATIVA DE ECONOMIA E CREDITO MUTUO DOS ADVOGADOS DO ESTADO DO RIO DE JANEIRO LTDA.;7755335;b3S;I;2;S5;9;RIO DE JANEIRO;RJ;01/03/2018;1804;1803;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;;;
COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS FUNCIONÁRIOS DOS CORREIOS NOS ESTADOS DO RIO GRANDE DO SUL, SANTA CATARINA E PARANÁ - CREDCORREIOS;87956355;b3S;I;2;S5;9;PORTO ALEGRE;RS;01/03/2018;1771;1769;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;;;
COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS SERVIDORES DA UNIVERSIDADE ESTADUAL DO SUDOESTE DA BAHIA (UESB) - CREDIUESB;3606488;b3S;I;2;S5;9;VITORIA DA CONQUISTA;BA;01/03/2018;1763;1763;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
COOPERATIVA DE CRÉDITO DOS EMPREGADOS DA COELBA E DA CHESF LTDA. - SICOOB COPELBA;86784089;b3S;I;2;S5;9;SALVADOR;BA;01/03/2018;1763;1762;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS EMPREGADOS DO GRUPO PARAMOUNT;88183173;b3S;I;2;S5;9;SAPUCAIA DO SUL;RS;01/03/2018;1756;1753;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;;;
COOPERATIVA DE CRÉDITO MÚTUO DOS EMPREGADOS DAS INDÚSTRIAS DO PAPEL, PAPELÃO E CORTIÇA DE OTACÍLIO COSTA, LAGES E CORREA PINTO - PAPELCREDI;6369729;b3S;I;2;S5;9;OTACILIO COSTA;SC;01/03/2018;1674;0;0;0;0;0;0;0;0;0;0;0;0;0;1673;1;0;;;
COOPERATIVA DE CRÉDITO MÚTUO DOS FUNCIONÁRIOS DA CAMDA-COCREALPA - CREDI-CAMDA;5165103;b3S;I;2;S5;9;ADAMANTINA;SP;01/03/2018;1669;1668;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;;;
COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO SERVIDORES PÚBLICOS ATIVOS, INATIVOS E PENSIONISTAS DA ADMINISTRAÇÃO DIRETA, INDIRETA E ASSEMBLÉIA LEGISLATIVA DO ESTADO DO RIO GRANDE SUL - COOPSERGS;5591437;b3S;I;2;S5;9;PORTO ALEGRE;RS;01/03/2018;1667;1666;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;;;
COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS COLABORADORES DA COOPEDER LTDA - COOPCREDER;21130869;b3S;I;2;S5;9;BELO HORIZONTE;MG;01/03/2018;1654;1654;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS EMPREGADOS DA PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO DE JANEIRO E EMPREGADOS EM ESTABELECIMENTOS PRIVADOS DE ENSINO DO MUNICÍPIO DO RIO DE JANEIRO LTDA.;42445122;b3S;I;2;S5;9;RIO DE JANEIRO;RJ;01/03/2018;1633;1629;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;;;
COOPERATIVA DE CRÉDITO DOS EMPREGADOS DAS EMPRESAS DO GRUPPO M&G NO BRASIL;62605290;b3S;I;2;S5;9;POCOS DE CALDAS;MG;01/03/2018;1607;1607;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
CREDEXTRA - COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS EMPREGADOS DA REALMAR DISTRIBUIDORA LTDA;4899135;b3S;I;2;S5;9;SERRA;ES;01/03/2018;1573;1557;0;0;0;0;0;0;0;0;0;0;0;0;0;16;0;;;
COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS FUNCIONÁRIOS DA SELENE;72952138;b3S;I;2;S5;9;CERQUILHO;SP;01/03/2018;1557;1555;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;;;
COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS EMPREGADOS DA HELIBRAS - HELICOOP;41790809;b3S;I;2;S5;9;ITAJUBA;MG;01/03/2018;1552;1552;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
GLOBAL FINANÇAS SOCIEDADE DE CRÉDITO AO MICROEMPREENDEDOR E À EMPRESA DE PEQUENO PORTE LTDA.;11165756;n1;I;2;S5;10;AMERICANA;SP;01/03/2018;1538;1538;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
COOPERATIVA DE ECONOMIA E CREDITO MUTUO DOS FUNCIONARIOS DO GRUPO MAUA LTDA;5048575;b3S;I;2;S5;9;SAO GONCALO;RJ;01/03/2018;1474;1459;0;0;0;0;0;0;0;0;0;0;0;0;0;15;0;;;
COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS SERVIDORES ESTADUAIS DO PODER EXECUTIVO DO ESTADO DO ACRE EM RIO BRANCO - CBCRED-ACRE;3232959;b3S;I;2;S5;9;RIO BRANCO;AC;01/03/2018;1451;1451;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
COOPERATIVA DE CRÉDITO DOS PLANTADORES DE CANA DA REGIÃO DE LENÇÓIS PAULISTA;50848910;b3S;I;2;S5;9;LENCOIS PAULISTA;SP;01/03/2018;1445;1445;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
COOPERATIVA DE ECONOMIA E CREDITO MUTUO DOS SERVIDORES DO COLEGIO PEDRO II;2910387;b3S;I;2;S5;9;RIO DE JANEIRO;RJ;01/03/2018;1441;1441;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
COOPERATIVA DE CREDITO RURAL COM INTERACAO SOLIDARIA DE OLIVEIRA DOS BREJINHOS - CRESOL OLIVEIRA DOS BREJINHOS;5428587;b3S;I;2;S5;9;OLIVEIRA DOS BREJINHOS;BA;01/03/2018;1425;1422;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;;;
COOPERATIVA DE ECONOMIA E CREDITO MUTUO DOS FUNCIONARIOS DA VIACAO NOSSA SENHORA DO AMPARO LTDA. - COPERFAMP;2192115;b3S;I;2;S5;9;MARICA;RJ;01/03/2018;1413;1411;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;;;
COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS EMPRESÁRIOS DE PRESIDENTE VENCESLAU - SICOOB CREDIACIPREV;8937938;b3S;I;2;S5;9;PRESIDENTE VENCESLAU;SP;01/03/2018;1385;1385;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
COOPERATIVA DE CRÉDITO DOS EMPREGADOS DO IRB-BRASIL RE LTDA.;42153585;b3S;I;2;S5;9;RIO DE JANEIRO;RJ;01/03/2018;1348;1348;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
COOPERATIVA DE CRÉDITO DOS EMPREGADOS DO GRUPO COPERSUCAR E CTC - UNICOPER;977212;b3S;I;2;S5;9;SAO PAULO;SP;01/03/2018;1339;1338;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;;;
COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS EMPREGADOS DA GRID SOLUTIONS TRANSMISSÃO DE ENERGIA LTDA;88043187;b3S;I;2;S5;9;CANOAS;RS;01/03/2018;1334;1334;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
COOPERATIVA DE CRÉDITO RURAL ASCOOB PARAGUASSU;4588258;b3S;I;2;S5;9;GOVERNADOR MANGABEIRA;BA;01/03/2018;1326;1324;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;;;
COOPERATIVA DE CRÉDITO RURAL ASCOOB SUDOESTE;3071386;b3S;I;2;S5;9;BARRA DO CHOCA;BA;01/03/2018;1315;1311;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;;;
ATLANTA SOCIEDADE DE CRÉDITO AO MICROEMPREENDEDOR LTDA;4772908;n1;I;2;S5;10;PASSOS;MG;01/03/2018;1278;1278;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
AGENCIA DE FOMENTO DO ESTADO DE RORAIMA S/A;3058464;n1;I;1;S4;30;BOA VISTA;RR;01/03/2018;1276;1275;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;;;
COOPERATIVA DE ECONOMIA E CREDITO MUTUO DOS SERVIDORES DA ASCAR/EMATER-RS LTDA-CRESAL;90278987;b3S;I;2;S5;9;PORTO ALEGRE;RS;01/03/2018;1270;1269;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS EMPREGADOS DO SEBRAE BAHIA - COOPSOL;5658367;b3S;I;2;S5;9;SALVADOR;BA;01/03/2018;1221;1221;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS EMPREGADOS DA FUNDAÇÃO ARTHUR BERNARDES LTDA. - COOFAB;2738981;b3S;I;2;S5;9;VICOSA;MG;01/03/2018;1213;55;1158;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
COOPERATIVA DE CRÉDITO RURAL DO AGRESTE ALAGOANO - COOPERAGRE;8482873;b3S;I;2;S5;9;IGACI;AL;01/03/2018;1211;0;0;0;0;0;0;0;0;0;0;0;0;0;1209;2;0;;;
LAMARA SOCIEDADE DE CRÉDITO AO MICROEMPREENDEDOR E A EMPRESA DE PEQUENO PORTE LTDA;19324634;n1;I;2;S5;10;FORTALEZA;CE;01/03/2018;1156;1139;0;0;0;0;0;0;0;0;0;0;0;0;0;16;0;;;
COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS FUNCIONÁRIOS DO GRUPO VOTORANTIM LIMITADA.;75174953;b3S;I;2;S5;9;RIO BRANCO DO SUL;PR;01/03/2018;1155;0;0;0;0;0;1155;0;0;0;0;0;0;0;0;0;0;;;
CONFEDERAÇÃO NACIONAL DAS COOPERATIVAS CENTRAIS DE CRÉDITO E ECONOMIA FAMILIAR E SOLIDÁRIA – CRESOL CONFEDERAÇÃO;10398952;b3C;I;2;S4;9;FLORIANOPOLIS;SC;01/03/2018;1140;1140;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS EMPREGADOS DAS EMPRESAS DE DIVERSÕES DO ESTADO DE SÃO PAULO;68314921;b3S;I;2;S5;9;SAO PAULO;SP;01/03/2018;1128;1126;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;;;
COOPERATIVA DE CRÉDITO DOS FUNCIONÁRIOS DO GRUPO PPG;3657230;b3S;I;2;S5;9;SUMARE;SP;01/03/2018;1126;1126;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
CREFAZ SOCIEDADE DE CRÉDITO AO MICROEMPREENDEDOR E A EMPRESA DE PEQUENO PORTE LTDA.;18188384;n1;I;2;S5;10;MARINGA;PR;01/03/2018;1120;1109;0;0;0;0;0;0;0;0;0;0;0;0;0;11;0;;;
COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS SERVENTUÁRIOS DA CIMENTO TUPI S.A. E EMPRESAS COLIGADAS LTDA. - TUPICRED;19551787;b3S;I;2;S5;9;CARANDAI;MG;01/03/2018;1117;1115;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;;;
FUTURA SOCIEDADE DE CREDITO AO MICROEMPREENDEDOR LTDA.;6039009;n1;I;2;S5;10;JOAO PESSOA;PB;01/03/2018;1116;1116;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS EMPREGADOS DO GRUPO ALCOA EM PERNAMBUCO;8931800;b3S;I;2;S5;9;ITAPISSUMA;PE;01/03/2018;1106;1106;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;;;
COOPERATIVA DE ECONOMIA E CREDITO MUTUO DOS EMPREGADOS DA CIA DE ELETRICIDADE DO ESTADO DO RJ CREDICERJ LTDA;30138226;b3S;I;2;S5;9;NITEROI;RJ;01/03/2018;1099;1098;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;;;
COOPERATIVA DE CRÉDITO MÚTUO DOS FUNCIONÁRIOS DA FIEP, SESI, SENAI, IEL E COND EDIFÍCIO AGOSTINHO VELLOSO DA SILVEIRA (CEAVS) - CREDFISP LTDA.;5747018;b3S;I;2;S5;9;CAMPINA GRANDE;PB;01/03/2018;1091;1090;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;;;
COOPERATIVA DE ECONOMIA E CREDITO MUTUO DOS EMPREGADOS DO COLEGIO SANTO INACIO - COESI;2447184;b3S;I;2;S5;9;RIO DE JANEIRO;RJ;01/03/2018;1075;1074;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DE RIO CLARO - COOPRIOCLARO;56396682;b3S;I;2;S5;9;RIO CLARO;SP;01/03/2018;1062;1062;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
COOPERATIVA DE CRÉDITO RURAL ASCOOB COOPEC - ASCOOB COOPEC;9244973;b3S;I;2;S5;9;POCO VERDE;SE;01/03/2018;1027;1026;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;;;
COOPERATIVA DE CRÉDITO RURAL DE PEQUENOS AGRICULTORES E DA REFORMA AGRÁRIA DO CENTRO OESTE DO PARANÁ - CREHNOR LARANJEIRAS;1330387;b3S;I;2;S5;9;LARANJEIRAS DO SUL;PR;01/03/2018;1027;0;0;0;0;0;0;0;0;0;0;0;0;0;1026;1;0;;;
COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS EMPREGADOS DA BECTON DICKINSON INDÚSTRIAS CIRÚRGICAS LTDA., LTDA.;21597133;b3S;I;2;S5;9;JUIZ DE FORA;MG;01/03/2018;1015;1014;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;;;
COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS  EMPREGADOS DO BANCO DA AMAZÔNIA;2827982;b3S;I;2;S5;9;BELEM;PA;01/03/2018;1015;1014;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS FUNCIONÁRIOS DO GRUPO SUGGAR LTDA.;548980;b3S;I;2;S5;9;BELO HORIZONTE;MG;01/03/2018;1013;1010;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;;;
COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS FUNCIONÁRIOS DO RÁPIDO LUXO CAMPINAS;2312896;b3S;I;2;S5;9;VALINHOS;SP;01/03/2018;1009;1008;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;;;
COOPERATIVA DE CREDITO DE MENDES LTDA;28572261;b3S;I;2;S5;9;MENDES;RJ;01/03/2018;1007;1005;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;;;
COOPERATIVA DE CRÉDITO DE CAPITAL E EMPRÉSTIMO DOS FUNCIONÁRIOS DA SAÚDE DO SETOR PRIVADO DE MANAUS LTDA - COOPCRESP MANAUS;34503581;b3S;I;2;S5;9;MANAUS;AM;01/03/2018;999;998;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;;;
COOPERATIVA DE ECONOMIA E CREDITO MUTUO DOS SERVIDORES DA UERJ LTDA. - COOPUERJ;28885036;b3S;I;2;S5;9;RIO DE JANEIRO;RJ;01/03/2018;982;975;0;0;0;0;7;0;0;0;0;0;0;0;0;1;0;;;
COOPERATIVA DE CRÉDITO RURAL DO AGRESTE CENTRAL ALAGOANO LTDA. - COOPCRAL;8202793;b3S;I;2;S5;9;ARAPIRACA;AL;01/03/2018;968;0;0;0;0;0;0;0;0;0;0;0;0;0;968;1;0;;;
COOPERATIVA DE ECONOMIA E CREDITO MUTUO DOS TRABALHADORES DO GRUPO EMPRESARIAL ITATIAIA LTDA. - COOPERITA;20177390;b3S;I;2;S5;9;UBA;MG;01/03/2018;965;964;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;;;
CREDBRASIL - SOCIEDADE DE CRÉDITO AO MICROEMPREENDEDOR LTDA;3635061;n1;I;2;S5;10;PAULINIA;SP;01/03/2018;959;958;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;;;
COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS FUNCIONÁRIOS DAS INSTITUIÇÕES DE SERVIÇO SOCIAL AUTÔNOMO EM MANAUS LTDA.;2321862;b3S;I;2;S5;9;MANAUS;AM;01/03/2018;946;946;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS EMPREGADOS DA EMPRESA SUPERMERCADOS JAU SERVE - COOPERJS;3400651;b3S;I;2;S5;9;JAU;SP;01/03/2018;944;940;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;;;
COOPERATIVA DE ECONOMIA E CREDITO MUTUO DOS EMPREGADOS DO GRUPO USINA PAINEIRAS LTDA - CRED-PAN;27140946;b3S;I;2;S5;9;ITAPEMIRIM;ES;01/03/2018;941;941;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS EMPREGADOS DA SAMARCO MINERAÇÃO S.A. LTDA - CREDISAM;20622809;b3S;I;2;S5;9;BELO HORIZONTE;MG;01/03/2018;939;939;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
PARATI - CREDITO, FINANCIAMENTO E INVESTIMENTO S.A.;3311443;n1;I;2;S4;14;VITORIA;ES;01/03/2018;909;906;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;;;
COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS FUNCIONÁRIOS DE ZANETTINI BAROSSI;52218849;b3S;I;2;S5;9;SAO PAULO;SP;01/03/2018;894;893;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;;;
COOPERATIVA DE ECONOMIA E CREDITO MUTUO DOS EMPREGADOS NAS INDUSTRIAS QUIMICAS, FARMACEUTICAS E SIMILARES DA REGIAO METROPOLITANA DO RIO DE JANEIRO LTDA;5424088;b3S;I;2;S5;9;SAO GONCALO;RJ;01/03/2018;853;853;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS COMERCIANTES DO VESTUÁRIO, CONFECÇÕES E ROCHAS ORNAMENTAIS - CREDSUL.;2330334;b3S;I;2;S5;9;CACHOEIRO DE ITAPEMIRIM;ES;01/03/2018;847;846;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;;;
FAMÍLIA PAULISTA COMPANHIA HIPOTECÁRIA;53146221;n1;I;2;S4;29;SANTOS;SP;01/03/2018;836;0;115;0;0;0;0;0;0;0;102;619;0;0;0;0;0;;;
COOPERATIVA DE CRÉDITO RURAL NORTE DO ITAPICURU;5644916;b3S;I;2;S5;9;JAGUARARI;BA;01/03/2018;832;830;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;;;
COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS EMPREGADOS DAS EMPRESAS SOMART LTDA.;129753;b3S;I;2;S5;9;URUCANIA;MG;01/03/2018;825;817;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;;;
COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS FUNCIONÁRIOS DA USINA SANTA MARIA - PILONCRED;1107759;b3S;I;2;S5;9;CERQUILHO;SP;01/03/2018;816;815;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
COOPERATIVA DE CRÉDITO DOS EMPRESÁRIOS DA GRANDE CAMPO GRANDE - SICOOB ALIANÇA MS;28128009;b3S;I;2;S5;9;CAMPO GRANDE;MS;01/03/2018;800;800;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
